SentenceID	#People	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
52	1	227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
97	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
26	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
56	2	227	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
81	2	999	227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
35	2	227	12	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
93	3	227	220	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
31	1	220	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
145	2	227	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
57	2	227	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
38	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
132	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
163	2	227	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
59	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
67	2	227	12	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
114	3	227	12	18	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
14	1	220	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
123	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
34	1	227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
157	3	220	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
