SentenceID	#People	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
15	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
78	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
123	2	48	55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
151	1	5	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
20	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
193	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
13	2	41	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
7	2	41	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
196	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
61	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
209	1	1000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5	3	999	9	32	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
105	2	999	69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
38	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
84	2	999	69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
206	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
179	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
43	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
169	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
71	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
50	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
195	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
63	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
51	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
156	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
18	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
16	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
165	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
80	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
21	3	999	999	78	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100	2	41	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
118	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
1	3	999	999	41	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2	1	1001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
115	1	69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
200	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
68	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
36	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
144	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
162	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
211	1	55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
65	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
45	2	41	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
74	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
99	2	999	69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
88	3	41	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
173	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
109	1	41	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
194	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
92	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
158	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
134	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
