SentenceID	#People	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
88	2	2	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
237	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
7	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
162	2	2	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
129	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
78	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
64	2	999	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
166	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
127	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
73	1	120	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
65	2	999	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
261	2	2	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
210	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
42	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
57	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
46	2	2	1000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
29	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
6	1	1001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
113	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
137	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
196	2	2	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
116	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
238	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
157	2	999	119	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
264	2	2	120	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
81	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
104	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
1	1	1001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
68	2	999	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
54	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
208	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
39	2	120	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
119	2	999	120	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
22	1	120	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
240	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
83	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
234	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
51	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
153	3	119	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
249	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
173	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
20	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
211	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
221	2	1002	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
235	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
96	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
76	2	2	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
217	2	2	120	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
24	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
186	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
40	2	2	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
134	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
122	3	999	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
259	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
141	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85	2	999	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
105	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
47	2	111	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
124	1	120	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
184	2	999	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
48	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
189	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
8	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
91	1	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
67	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
63	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
