SentenceID	#People	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
384	1	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
385	2	209	211	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
386	1	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
387	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
388	2	22	49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
389	1	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
390	2	114	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
391	1	114	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
392	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
393	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
394	2	22	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
395	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
396	2	211	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
397	3	22	277	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
398	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
399	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
400	1	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
401	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
402	1	211	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
403	2	209	211	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
404	1	209	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
405	3	209	211	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
406	1	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
407	2	211	224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
408	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
409	1	22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
410	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
411	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
412	2	211	128	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
413	3	211	172	999	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
