Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.128821145	384	|The morning had dawned clear and cold , with a crispness that hinted at the end of summer . |	|They set forth at daybreak to see a man beheaded , twenty in all , and Bran rode among them , nervous with excitement . |	|This was the first time he had been deemed old enough to go with his lord father and his brothers to see the king 's justice done . |	1	Bran Stark									
0.136514295	385	|They set forth at daybreak to see a man beheaded , twenty in all , and Bran rode among them , nervous with excitement . |	|This was the first time he had been deemed old enough to go with his lord father and his brothers to see the king 's justice done . |	|It was the ninth year of summer , and the seventh of Bran 's life . |	2	Bran Stark	Lord Eddard Stark								
0.919433263	386	|This was the first time he had been deemed old enough to go with his lord father and his brothers to see the king 's justice done . |	|It was the ninth year of summer , and the seventh of Bran 's life . |	|The man had been taken outside a small holdfast in the hills . |	1	Bran Stark									
0.054168245	387	|It was the ninth year of summer , and the seventh of Bran 's life . |	|The man had been taken outside a small holdfast in the hills . |	|Robb thought he was a wildling , his sword sworn to Mance Rayder , the King-beyond-the-Wall . |	1	Default									
0.81151716	388	|The man had been taken outside a small holdfast in the hills . |	|Robb thought he was a wildling , his sword sworn to Mance Rayder , the King-beyond-the-Wall . |	|It made Bran 's skin prickle to think of it . |	2	Robb Stark	Mance Rayder								
0.668523562	389	|Robb thought he was a wildling , his sword sworn to Mance Rayder , the King-beyond-the-Wall . |	|It made Bran 's skin prickle to think of it . |	|He remembered the hearth tales Old Nan told them . |	1	Bran Stark									
0.02442717	390	|It made Bran 's skin prickle to think of it . |	|He remembered the hearth tales Old Nan told them . |	|The wildlings were cruel men , she said , slavers and slayers and thieves . |	2	Old Nan	Bran Stark								
0.178721139	391	|He remembered the hearth tales Old Nan told them . |	|The wildlings were cruel men , she said , slavers and slayers and thieves . |	|They consorted with giants and ghouls , stole girl children in the dead of night , and drank blood from polished horns . |	1	Old Nan									
0.634063224	392	|The wildlings were cruel men , she said , slavers and slayers and thieves . |	|They consorted with giants and ghouls , stole girl children in the dead of night , and drank blood from polished horns . |	|And their women lay with the Others in the Long Night to sire terrible half-human children . |	0										
0.679365766	393	|They consorted with giants and ghouls , stole girl children in the dead of night , and drank blood from polished horns . |	|And their women lay with the Others in the Long Night to sire terrible half-human children . |	|But the man they found bound hand and foot to the holdfast wall awaiting the king 's justice was old and scrawny , not much taller than Robb . |	0										
