Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.915767243134672	351	|Regal , I had given it no thought . |	|What do I know of children ? |	|I turned him over to Burrich . |	1	DEFAULT									
0.129961191495146	429	|The Lady Patience is not the first woman to have to face her husband 's bastard . |	|Everyone here knows of his existence ; Verity 's clumsiness saw to that . |	|There 's no point to trying to hide him . |	2	Prince Verity	DEFAULT								
0.0927235533363	5	|Taker his name was , quite simply , and perhaps with that naming began the tradition that daughters and sons of his lineage would be given names that would shape their lives and beings . |	|Folk beliefs claim that such names were sealed to the newborn babes by magic , and that these royal offspring were incapable of betraying the virtues whose names they bore . |	|Passed through fire and plunged through salt water and offered to the winds of the air ; thus were names sealed to these chosen children . |	0										
0.294156532104923	393	|But our father the King is not a hasty man , as well we know . |	|Shrewd is as Shrewd does , as the common folk say . |	|He forbade any settling of the matter . |	1	Shrewd									
0.176082764253235	104	|There was a fire burning in a massive fireplace , filling the room with heat and a pleasantly resinous scent . |	|An immense table was placed at an angle to the fire , and behind it sat a stocky man , his brows knit as he bent over a sheaf of papers in front of him . |	|He did not look up immediately , and so I was able to study his rather bushy disarray of dark hair for some moments . |	1	DEFAULT									
0.111052605658651	179	|The room smelled of food , of beer and men 's sweat , of wet wool garments and the smoke of the wood and drip of grease into flames . |	|Hogsheads and small casks ranged against the wall , and smoked joints of meats were dark shapes hung from the rafters . |	|The table bore a clutter of food and dishes . |	0										
0.11948501091049	386	|He glared down at me . |	|I still think it would be better not to have him about . |	|What if Chivalry never does get a legal heir on Patience ? |	2	Chiv	DEFAULT								
0.214807265170499	131	|How old ? |	|he asked the guard . |	|Plowman says six . |	2	DEFAULT	DEFAULT								
0.728929503903841	235	|He brushed them off and handed them back to me . |	|I stared at the thick bandaging on his right calf and over his knee that had kept him from bending his leg . |	|He reseated himself and refilled his mug from a pitcher on the table . |	2	DEFAULT	DEFAULT								
0.285763618398984	85	|Chivalry 's , the old man said , and he was already turning his back on me , taking his measured steps down the graveled pathway . |	|Prince Chivalry , he said , not turning back as he added the qualifier . |	|Him what 's King-in-Waiting . |	2	Chiv	DEFAULT								
0.494212264900605	241	|Burrich swung his gaze to the man as he set his mug down . |	|For a moment he did n't speak , and I sensed that silence hovering again . |	|I 'd say it was Prince Chivalry 's business who the mother was , and not for kitchen talk , Burrich said mildly . |	2	Burrich	DEFAULT								
