Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.71773738522303	299	|You you . '' |	|It took Kip a second . |	|He touched his own chest . |	1	Kip									
0.491993307541353	279	|-- but it was a straight answer . |	|Kip walked over to the dead man . |	|His skin was pallid in the rising light . |	1	Kip									
0.656201792819781	12	|Everyone knew Sundered Rock was haunted . |	|But Ram did n't have to feed his family ; his mother did n't smoke her wages . |	|Gripping his little belt knife tightly , Kip started walking . |	2	Ramir	DEFAULT								
0.639627488933567	256	|`` Shoot . '' |	|`` What 's the plan for Rekton ? '' |	|`` Fire . '' |	0										
0.749416632832252	186	|The color wight was looking at Kip oddly . |	|`` Blue eyes . '' |	|He laughed . |	0										
0.417936722635932	219	|`` Oh , they did n't catch me . |	|They recruited me . '' |	|Who would recruit madmen to join them ? |	1	DEFAULT									
0.467814620394513	177	|`` You 're a color wight . '' |	|`` And now you know why I ran away from the Chromeria , '' the man said . |	|Because the Chromeria put down color wights like a farmer put down a beloved , rabid dog . |	2	DEFAULT	DEFAULT								
0.521367490204706	208	|Kip asked , quiet , hopeful . |	|`` Because you 're an arrogant little shit . '' |	|The color wight laughed . |	1	Kip									
0.42191433230535	222	|`` They did n't know you were a -- '' `` Oh , they knew . '' |	|Dread like a weight dropped into Kip 's stomach . |	|`` You said something about my town . |	1	Kip									
0.995372470201593	176	|I wo n't hurt you . '' |	|`` You 're a color wight . '' |	|`` And now you know why I ran away from the Chromeria , '' the man said . |	1	DEFAULT									
0.367357641286711	193	|Kip looked freakish . |	|`` What 's your name ? '' |	|the color wight asked . |	1	Kip									
0.845312411830477	29	|You could n't help but freeze when you heard it . |	|It was the kind of beauty that made you shit your pants . |	|Wetting his lips , Kip got moving . |	0										
0.71633139808221	54	|Scavengers had long since taken all the valuable arms , mail , and luxin from the battlefield , but as the seasons passed and rains fell , more mysteries surfaced each year . |	|That was what Kip was hoping for -- and what he was seeking was most visible in the first rays of dawn . |	|The wolves stopped howling . |	1	Kip									
0.225949820096857	66	|Some spirit keeping watch at its grave . |	|Look on the bright side . |	|Maybe wolves are scared of ghosts . |	0										
0.21095331769921	263	|`` They 're going to wipe out your village . |	|Make an example so no one else defies King Garadul . |	|Other villages defied the king too , of course . |	1	King Garadul									
0.340880070975939	101	|He let his focus relax and tried to view things from the periphery of his vision . |	|Nothing but an irregularity , perhaps . |	|He moved closer . |	0										
0.322185813394439	306	|`` Tragic mistake , then . |	|Their mistake , your tragedy . '' |	|`` What , you think I 'm lying ?! '' |	1	DEFAULT									
0.847252091990942	285	|Eerie shapes were emerging from the night . |	|The great twin looming masses of Sundered Rock itself were visible mostly as a place where stars were blotted out of the sky . |	|What do I need to ask ? |	0										
0.865319969534737	341	|Glimmers sparkled as broken luxin gleamed , like stars scattered on the ground , answering their brethren in the sky . |	|It was what Kip had come for . |	|Usually when a drafter released luxin , it simply dissolved , no matter what color it was . |	1	Kip									
0.104333842081773	262	|`` That was no answer ! '' |	|`` They 're going to wipe out your village . |	|Make an example so no one else defies King Garadul . |	1	DEFAULT									
0.373494552831874	340	|And even as Kip stood , not two hundred paces from the nearest tent , the plain began winking . |	|Glimmers sparkled as broken luxin gleamed , like stars scattered on the ground , answering their brethren in the sky . |	|It was what Kip had come for . |	0										
0.447626299194208	211	|Kip should n't have been taken off guard . |	|His mother had said worse . |	|Still , it took him a moment . |	1	DEFAULT									
0.998926332482244	233	|`` Would you believe me if I told you there 's a prophecy about you ? '' |	|`` It was n't funny the first time , '' Kip said . |	|`` What 's going to happen to my town ? '' |	1	Kip									
0.555874348873406	19	|The alcaldesa was n't eager for any of her townspeople to throw their lives away . |	|Besides , Kip did n't have a matchlock . |	|Nor were javelinas the only creatures that roamed the night . |	1	Kip									
0.631829908571224	124	|`` Please , help me ! '' |	|Kip stepped forward . |	|The man was suffering . |	1	Kip									
0.405125618905907	236	|Dawn was coming , and Kip was n't going to stick around . |	|Not only would the guard 's replacement come then , but Kip had no idea what the wight would do once he had light . |	|`` You know , '' the wight said , `` you 're the reason I 'm here . |	2	Kip	DEFAULT								
0.476999979743437	132	|`` Please , leave me chained if you must . |	|But please , I do n't want to die in darkness . '' |	|Kip stayed back , though it felt cruel . |	1	DEFAULT									
0.950687430997342	231	|I 've got a mother , '' Kip said . |	|He instantly regretted giving the color wight even that much . |	|`` Would you believe me if I told you there 's a prophecy about you ? '' |	1	DEFAULT									
0.611975202218578	210	|The color wight laughed . |	|Kip should n't have been taken off guard . |	|His mother had said worse . |	1	Kip									
0.047439203877414	180	|Kip was on the verge of bolting , but the man was n't making any threatening moves . |	|And besides , it was still dark . |	|Even color wights needed light to draft . |	0										
0.818020868660142	131	|How ? |	|`` Please , leave me chained if you must . |	|But please , I do n't want to die in darkness . '' |	2	DEFAULT	DEFAULT								
0.261758549473999	324	|His hand emerged with a pair of green spectacles with one cracked lens . |	|`` You could come with me , '' Kip said . |	|`` If what you said is true -- '' `` How close do you think I 'd get to your town before someone came running with a musket ? |	2	Kip	DEFAULT								
0.954144031564213	57	|Nothing was worse than hearing that chilling sound , but at least with the sound he knew where they were . |	|Now ... Kip swallowed on the hard knot in his throat . |	|As he walked in the valley of the shadow of two great unnatural hills -- the remnant of two of the great funeral pyres where tens of thousands had burned -- Kip saw something in the mist . |	1	Kip									
0.179350036105188	109	|He lay on his side , hands manacled behind his back , a black bag over his head and cinched tight around his neck . |	|The prisoner was alive , trembling . |	|No , weeping . |	0										
0.803575384454451	156	|I 've run enough . |	|This time , I fight . '' |	|`` I do n't understand . '' |	1	DEFAULT									
0.140289975078623	305	|The color wight gave a crazy grin , but Kip thought it was a pretense . |	|`` Tragic mistake , then . |	|Their mistake , your tragedy . '' |	0										
0.595521931039967	311	|`` I do n't really care one way or the other . |	|You going to bring that key over here , or do I need to ask real nice ? '' |	|It was a mistake to bring the keys over . |	2	DEFAULT	DEFAULT								
0.658053099685352	239	|Not here here . |	|Not like ` Why do I exist ? ' |	|Not in Tyrea . |	1	DEFAULT									
0.676625654879357	93	|A hundred paces , more , and no one yelled . |	|No shot cracked the night . |	|Farther . |	0										
0.432257209247563	163	|The man sat up , arms still bound behind his back . |	|He was perhaps thirty years old , Tyrean like Kip but with a lighter complexion , his hair wavy rather than kinky , his limbs thin and muscular . |	|Then Kip saw his eyes . |	2	Kip	DEFAULT								
0.446499226463849	76	|Nothing . |	|A quick click , like someone dropping a small stone . |	|And something at the corner of his eye . |	0										
0.867924136927047	100	|Kip tried Master Danavis 's trick for seeing in darkness . |	|He let his focus relax and tried to view things from the periphery of his vision . |	|Nothing but an irregularity , perhaps . |	1	Kip									
0.993060736803984	288	|He was hesitating , not wanting to touch the dead man . |	|He knelt . |	|`` Why my town ? '' |	1	DEFAULT									
0.07033934161582	166	|Men and women who could harness light and make luxin -- drafters -- always had unusual eyes . |	|A little residue of whatever color they drafted ended up in their eyes . |	|Over the course of their life , it would stain the entire iris red , or blue , or whatever their color was . |	0										
0.697146066416796	126	|The man was suffering . |	|Then he stopped . |	|Looked at the dead soldier . |	1	DEFAULT									
0.32394425745769	241	|Not in Tyrea . |	|In chains , I mean . '' |	|`` What ? '' |	1	DEFAULT									
0.337608667437778	349	|The color wight did n't look at Kip . |	|`` What ? '' |	|`` I 'm not just some drafter . |	0										
0.248733625239075	71	|He moved , keeping low . |	|He might be big , but he prided himself on being light on his feet . |	|He tore his eyes away from the hill -- still no sign of the ghost or man or whatever it was . |	1	DEFAULT									
0.098653402762447	308	|`` What , you think I 'm lying ?! '' |	|Kip asked . |	|`` You think I 'd be out here scavenging luxin if I had any other choice ? '' |	1	Kip									
0.229060060599089	187	|`` Blue eyes . '' |	|He laughed . |	|Kip scowled . |	1	DEFAULT									
0.251952866026622	260	|Kip asked . |	|`` Sorry , you said one answer . '' |	|`` That was no answer ! '' |	1	Kip									
0.193678069979504	290	|`` Why my town ? '' |	|He poked through the dead man 's pocket , careful not to touch skin . |	|It was there , two keys . |	1	DEFAULT									
0.750352954408143	27	|Another wolf answered , farther out . |	|A haunting sound , the very voice of the wilderness . |	|You could n't help but freeze when you heard it . |	0										
0.992139468466099	45	|And it had been sixteen years since the final battle -- a year before Kip was even born . |	|But the plain was still torn and scarred . |	|A few burnt timbers of old homes and barns poked out of the dirt . |	0										
0.831842958882206	122	|`` You 're not one of them . '' |	|A note of hope entered the prisoner 's voice . |	|`` Please , help me ! '' |	0										
0.982943646620171	192	|They looked fine on him . |	|Kip looked freakish . |	|`` What 's your name ? '' |	1	Kip									
0.296286793584249	191	|It was one thing when a foreigner like Master Danavis had blue eyes . |	|They looked fine on him . |	|Kip looked freakish . |	1	Master Danavis									
0.650297432490222	359	|As the sun touched the horizon , Gaspar sighed . |	|It was as if Kip had ceased to exist . |	|It was like watching his mother take that first deep breath of haze . |	1	Kip									
0.168218879440058	55	|That was what Kip was hoping for -- and what he was seeking was most visible in the first rays of dawn . |	|The wolves stopped howling . |	|Nothing was worse than hearing that chilling sound , but at least with the sound he knew where they were . |	0										
0.051503993013466	245	|`` There 's power in madness , Kip . |	|Of course ... '' He trailed off , laughed at a private thought . |	|Recovered . |	1	DEFAULT									
0.024110798487294	339	|Lots of soldiers . |	|And even as Kip stood , not two hundred paces from the nearest tent , the plain began winking . |	|Glimmers sparkled as broken luxin gleamed , like stars scattered on the ground , answering their brethren in the sky . |	1	Kip									
0.336176536299625	184	|It was crazy to talk to a madman , but maybe it was n't too crazy . |	|At least until dawn . |	|The color wight was looking at Kip oddly . |	0										
0.67848227475019	104	|Two men lay on the cold ground . |	|One was a soldier . |	|Kip had seen his mother unconscious plenty of times ; he knew instantly this man was n't passed out . |	0										
0.204435104607797	164	|He was perhaps thirty years old , Tyrean like Kip but with a lighter complexion , his hair wavy rather than kinky , his limbs thin and muscular . |	|Then Kip saw his eyes . |	|Men and women who could harness light and make luxin -- drafters -- always had unusual eyes . |	2	Kip	DEFAULT								
0.911281955931555	344	|But in battle , there had been so much chaos , so many drafters , some sealed magic had been buried and protected from the sunlight that would break it down . |	|The recent rain had uncovered more . |	|But Kip 's eyes were pulled from the winking luxin by four soldiers and a man with a stark red cloak and red spectacles walking toward them from the camp . |	0										
0.139091009863662	152	|You sound like one . |	|I 'm going to die today . |	|I ca n't get away . |	1	DEFAULT									
0.214065379507925	39	|Places to be . |	|Animals are more scared of you and all that . |	|Besides , that was one of the tricks about a howl , it always sounded much closer than it really was . |	1	DEFAULT									
0.013119924343821	261	|`` Sorry , you said one answer . '' |	|`` That was no answer ! '' |	|`` They 're going to wipe out your village . |	0										
0.228423862652491	221	|Who would recruit madmen to join them ? |	|`` They did n't know you were a -- '' `` Oh , they knew . '' |	|Dread like a weight dropped into Kip 's stomach . |	1	Kip									
0.364229895110777	138	|He chased me down and got the bag over my head before he died . |	|If dawn 's close , his replacement is coming anytime now . '' |	|Kip still was n't putting it together . |	1	DEFAULT									
0.6848887187721	360	|It was as if Kip had ceased to exist . |	|It was like watching his mother take that first deep breath of haze . |	|Between the sparkling spars of darker green , the whites of Gaspar 's eyes swirled like droplets of green blood hitting water , first dispersing , then staining the whole . |	1	DEFAULT									
0.454891242262383	167	|A little residue of whatever color they drafted ended up in their eyes . |	|Over the course of their life , it would stain the entire iris red , or blue , or whatever their color was . |	|The prisoner was a green drafter -- or had been . |	0										
0.779577385846804	197	|`` Oh , for Orholam 's sake , you think I 'm going to hex you with your name ? |	|How ignorant is this backwater ? |	|That is n't how chromaturgy works -- '' `` Kip . '' |	0										
0.097127662990552	60	|His heart leapt into his throat . |	|The curve of a mail cowl . |	|A glint of eyes searching the darkness . |	0										
0.438476809246369	90	|He had to get deeper into the mist and darkness before the soldier 's night vision recovered , but if he made noise , the man might fire blindly . |	|Kip walked on his toes , silently , his back itching , sure that a lead ball was going to tear through him at any moment . |	|But he made it . |	1	Kip									
0.895447581120179	267	|For every town burning to take vengeance on the Prism , there 's another that wants nothing to do with war . |	|Your village was chosen specially . |	|Anyway , I had a little spasm of conscience and objected . |	1	DEFAULT									
0.493528183777294	185	|At least until dawn . |	|The color wight was looking at Kip oddly . |	|`` Blue eyes . '' |	2	Kip	DEFAULT								
0.088566712898535	106	|Kip had seen his mother unconscious plenty of times ; he knew instantly this man was n't passed out . |	|He was sprawled unnaturally , there were no blankets , and his mouth hung open , slack-jawed , eyes staring unblinking at the night . |	|Next to the dead soldier lay another man , bound in chains but alive . |	1	DEFAULT									
0.378591399796341	128	|Looked at the dead soldier . |	|The front of the soldier 's shirt was soaked with blood . |	|Had this prisoner killed him ? |	0										
0.130459004117855	130	|Had this prisoner killed him ? |	|How ? |	|`` Please , leave me chained if you must . |	0										
0.309619678310925	48	|Deep furrows and craters remained from cannon shells . |	|Filled now with swirling mist , those craters looked like lakes , tunnels , traps . |	|Bottomless . |	0										
0.494578634334542	92	|But he made it . |	|A hundred paces , more , and no one yelled . |	|No shot cracked the night . |	0										
