Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.728049671851585	214	|Arelish , Fjordell , Teoish -- you 'll find them all . |	|I -- '' Raoden cursed quietly , interrupting the man . |	|Galladon raised an eyebrow . |	2	Raoden	DEFAULT								
0.530058155284651	212	|He was covered with slime , and the raw stench of Elantris now rose from him as well . |	|`` Duladel is of mixed blood , sule . |	|Arelish , Fjordell , Teoish -- you 'll find them all . |	1	Duladen									
0.554005706594267	363	|`` The way I see it , '' Raoden said , moving to tuck the meat back in his sash , `` the only food that ever enters this place arrives with the newcomers . |	|One must get pretty hungry with so few offerings and so many mouths to feed . |	|One would think the hunger would be almost maddening . '' |	0										
0.347121004125833	57	|The dawn 's light had grown just strong enough for him to see the reflection that stared back at him . |	|A stranger 's reflection . |	|His blue eyes were the same , though they were wide with terror . |	1	DEFAULT									
0.179519985739234	152	|Raoden left the boy behind , turning to continue down the small street . |	|He had hoped that the city would grow less gruesome as he left the main courtyard -- thinking , perhaps , that the dirt was a result of the area 's relatively frequent use . |	|He had been wrong ; the alley was covered with just as much filth as the courtyard , if not more . |	1	Raoden									
0.819228933705569	132	|The stench was almost overwhelming . |	|The omnipresent sludge had a musty , rotten scent , like that of dying fungus . |	|Raoden was so bothered by the smell that he nearly stepped directly on the gnarled form of an old man huddled next to a building 's wall . |	0										
0.915238202927459	310	|`` I need your help , Galladon , '' Raoden said , squatting on the ground in front of the steps . |	|Galladon snorted . |	|`` This is Elantris , sule . |	1	Galladon									
0.964274947103714	120	|It held the ritual Korathi sacrifice sent with the dead into the next life -- or , in this case , into Elantris . |	|The basket contained a loaf of bread , a few thin vegetables , a handful of grain , and a small flask of wine . |	|Normal death sacrifices were far more extensive , but even a victim of the Shaod had to be given something . |	0										
0.697015496489229	47	|The tray dropped to the ground with a crash , slipping from the stunned maid 's fingers even as Raoden reached out to accept it . |	|Raoden froze , the tray 's metallic ring echoing through the silent morning hallway . |	|`` Merciful Domi ! '' |	1	Raoden									
0.889763390262888	31	|Almost ravenous . |	|He had never liked large breakfasts , but this morning he found himself waiting impatiently for his meal to arrive . |	|Finally , he decided to send someone to see what was taking so long . |	1	DEFAULT									
0.893000052316261	78	|Its high walls were lined with guardhouses and soldiers -- men intended not to keep enemies out of the city , but to keep its inhabitants from escaping . |	|Since the Reod , every person taken by the Shaod had been thrown into Elantris to rot ; the fallen city had become an expansive tomb for those whose bodies had forgotten how to die . |	|Raoden could remember standing on those walls , looking down on Elantris 's dread inhabitants , just as the guards now looked down on him . |	0										
0.570206311169813	154	|He had been wrong ; the alley was covered with just as much filth as the courtyard , if not more . |	|A muffled thump sounded from behind . |	|Raoden turned with surprise . |	0										
0.930907833914048	141	|`` Food ? '' |	|he mumbled through a mouth only half full of teeth . |	|`` Please ? '' |	1	DEFAULT									
0.303344395861883	262	|`` We could try burning him , assuming we could make a fire . |	|Elantrian bodies seem to burn better than those of regular people , and some think that 's a fitting death for our kind . '' |	|`` And ... '' Raoden said , still unable to look at the boy . |	0										
0.408866079000366	200	|Kolo ? '' |	|`` Kolo . '' |	|The foreign word was vaguely familiar , as was the man 's strong accent . |	0										
0.500381700968046	279	|`` Yes , '' Raoden whispered . |	|`` I kolo . '' |	|He turned , finally getting the courage to look back at the wounded boy . |	1	DEFAULT									
0.124511487103711	288	|Kolo ? '' |	|_______ They did n't burn the boy . |	|Not only did they lack the proper implements to make fire , but Galladon forbade it . |	1	DEFAULT									
0.775266413911872	170	|Desperate , Raoden tossed the sacrificial basket over his head . |	|The awkward motion threw him off balance , and an unseen schism in the cobblestones sent him into a maladroit skip that did n't end until he collided with a rotting mass of wood . |	|The wood -- which might once have been a pile of crates -- squished , breaking his fall . |	1	Raoden									
0.59304535981909	40	|Resting in the great city 's shadow , Kae seemed like an insignificant village by comparison . |	|Elantris . |	|An enormous , ebony block -- not really a city anymore , just the corpse of one . |	0										
0.822593444285039	138	|The creature 's soot-covered skin was dark and spotted , but his face was that of a child , not a man . |	|Raoden took an involuntary step backward . |	|The boy , as if realizing that his chance would soon pass , stretched his arm forward with the sudden strength of desperation . |	1	Raoden									
0.011185381703869	375	|Then , though his hand jerked reflexively toward his mouth , he stopped . |	|With a careful motion he tucked the meat into a pocket and stood up . |	|`` So , what should I call you ? '' |	1	DEFAULT									
0.268502572127857	318	|`` Your actions speak much more convincingly than your words . '' |	|`` Perhaps I simply have n't tried to hurt you because I know you do n't have anything to take . '' |	|`` I do n't believe that . '' |	2	DEFAULT	DEFAULT								
0.081818585984024	136	|Raoden looked down , and felt a sudden chill . |	|The `` old man '' was no more than sixteen years old . |	|The creature 's soot-covered skin was dark and spotted , but his face was that of a child , not a man . |	1	DEFAULT									
