Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.601863800644396	400	|The girl raised imploring hands . |	|` Please , ' she begged Cotillion , ` I 've done nothing ! |	|My father 's a poor man , but he 'll pay you all he can . |	2	Cotillion	DEFAULT								
0.999438591298284	338	|The man beside her half turned to the gravel track . |	|` On the other side , ' he said , a smile in his tone . |	|` Waiting , just like you . ' |	1	DEFAULT									
0.009180668641351	242	|` Mark this truth . |	|I am the last to speak to you . |	|You are the last to hear me . |	2	DEFAULT	DEFAULT								
0.600387738743305	332	|Tears filled the girl 's eyes . |	|A wordless anguish seemed to well up from that black stone in her mind . |	|She wiped her cheeks . |	1	DEFAULT									
0.542553566025319	272	|She found she could not retrieve a single word the Seer had said . |	|She reached out and grasped Rigga 's woollen shawl . |	|Carefully , she rolled the old woman over . |	2	DEFAULT	Riggalai								
0.94493374753681	306	|` And we have nets to tie , me and Dadda -- ' ` Let 's get you on your feet , ' the man said , moving his long-fingered hands down under her arms . |	|He straightened , lifting her effortlessly . |	|Her sandalled feet dangled in the air before he set her down . |	2	DEFAULT	DEFAULT								
0.643173998914127	311	|He spoke , his voice reed-thin . |	|` Was n't much of a life , ' he said , not turning to face her . ' |	|A minor talent , long since dried up of the Gift . |	2	DEFAULT	DEFAULT								
0.311714662769968	398	|Ammanas stepped back . |	|` Pity , ' he said again . |	|The girl raised imploring hands . |	1	Ammanas									
0.300794651804329	294	|She stopped , a shiver running through her . |	|The sun 's light was almost gone . |	|An unseasonal chill bled from the shadows , which now flowed like water across the road . |	0										
0.935092571690668	396	|` She 's not some mouse under your paw , Ammanas . |	|Besides , I 've chosen her and I will choose her name as well . ' |	|Ammanas stepped back . |	2	DEFAULT	DEFAULT								
0.752586699644417	349	|Then go ! ' |	|Silently , the Hounds bolted down the road . |	|Their master turned and said to the man beside her , ` Something to gnaw on Laseen 's mind . ' |	0										
0.413922637239302	228	|` You listen to me , lass ! ' |	|The old woman 's sour breath hissed against the girl 's face . |	|` The Empire 's been grinding this land down for a hundred years . |	2	DEFAULT	DEFAULT								
0.035979559748189	427	|` Beware of shadows bearing gifts . ' |	|Cotillion faced the girl again . |	|He lifted his arms out to the sides . |	2	Cotillion	DEFAULT								
0.244280539680897	357	|He cocked his head . |	|From up the road came the scream of horses . |	|He sighed . |	0										
0.424881383822067	288	|Never mind . ' |	|She crawled towards the bundles of twine that had fallen from the breached basket , and when she spoke again her voice was young , normal . |	|` We need the twine . |	1	DEFAULT									
