Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.687173860744148	331	|On the corner he stopped and took out the silver Put-Outer . |	|He clicked it once , and twelve balls of light sped back to their street lamps so that Privet Drive glowed suddenly orange and he could make out a tabby cat slinking around the corner at the other end of the street . |	|He could just see the bundle of blankets on the step of number four . |	1	DEFAULT									
0.419629934531881	289	|In his vast , muscular arms he was holding a bundle of blankets . |	|` Hagrid , ' said Dumbledore , sounding relieved . |	|` At last . |	2	Hagrid	Albus Dumbledore								
0.320377316615039	96	|Experts are unable to explain why the owls have suddenly changed their sleeping pattern . ' |	|The newscaster allowed himself a grin . |	|` Most mysterious . |	1	DEFAULT									
0.537527017696875	126	|I suppose so , ' said Mrs. Dursley stiffly . |	|` What 's his name again ? |	|Howard , is n't it ? ' |	1	Howard									
0.04824492351273	226	|` What they 're saying , ' she pressed on , ` is that last night Voldemort turned up in Godric 's Hollow . |	|He went to find the Potters . |	|The rumor is that Lily and James Potter are -- are -- that they 're -- dead . ' |	1	Voldemort									
0.245240783065162	238	|No one knows why , or how , but they 're saying that when he could n't kill Harry Potter , Voldemort 's power somehow broke -- and that 's why he 's gone . |	|Dumbledore nodded glumly . |	|` It 's -- it 's true ? ' |	1	Albus Dumbledore									
0.345988031575843	302	|` Is that where - ? ' |	|whispered Professor McGonagall . |	|` Yes , ' said Dumbledore . |	1	McGonagall									
0.964418895129236	63	|It might have been Harvey . |	|Or Harold . |	|There was no point in worrying Mrs. Dursley ; she always got so upset at any mention of her sister . |	1	Harold									
0.750858043496592	138	|Could all this have anything to do with the Potters ? |	|If it did ... if it got out that they were related to a pair of -- well , he did n't think he could bear it . |	|The Dursleys got into bed . |	1	DEFAULT									
0.842910937172483	332	|He clicked it once , and twelve balls of light sped back to their street lamps so that Privet Drive glowed suddenly orange and he could make out a tabby cat slinking around the corner at the other end of the street . |	|He could just see the bundle of blankets on the step of number four . |	|` Good luck , Harry , ' he murmured . |	1	DEFAULT									
0.919791715623653	321	|For a full minute the three of them stood and looked at the little bundle ; Hagrid 's shoulders shook , Professor McGonagall blinked furiously , and the twinkling light that usually shone from Dumbledore 's eyes seemed to have gone out . |	|` Well , ' said Dumbledore finally , ` that 's that . |	|We 've no business staying here . |	1	Albus Dumbledore									
0.184237387603827	4	|He was a big , beefy man with hardly any neck , although he did have a very large mustache . |	|Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck , which came in very useful as she spent so much of her time craning over garden fences , spying on the neighbors . |	|The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere . |	1	Mrs. Dursley									
0.191342438578928	257	|cried Professor McGonagall , jumping to her feet and pointing at number four . |	|` Dumbledore -- you ca n't . |	|I 've been watching them all day . |	1	Albus Dumbledore									
0.985627180037821	128	|Howard , is n't it ? ' |	|` Harry . |	|Nasty , common name , if you ask me . ' |	1	Harry Potter									
0.522684953664032	8	|They did n't think they could bear it if anyone found out about the Potters . |	|Mrs. Potter was Mrs. Dursley 's sister , but they had n't met for several years ; in fact , Mrs. Dursley pretended she did n't have a sister , because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be . |	|The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street . |	2	Mrs. Potter	Mrs. Dursley								
0.790461824377713	199	|I suppose he really has gone , Dumbledore ? ' |	|` It certainly seems so , ' said Dumbledore . |	|` We have much to be thankful for . |	1	Albus Dumbledore									
0.024665864194955	103	|Perhaps people have been celebrating Bonfire Night early -- it 's not until next week , folks ! |	|But I can promise a wet night tonight . ' |	|Mr. Dursley sat frozen in his armchair . |	1	Mr. Dursley									
