Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.437382283980795	190	|The Bear was still breathing , but from the way the dagger protruded from his ribs , not for long . |	|The young soldier who had saved Pug 's and Laurie 's lives entered and the others made way for him . |	|He stood over the three combatants and simply asked , ` Is he dead ? ' |	3	DEFAULT	Pug	Laurie							
0.584345529203812	204	|The dying man 's face paled , and his lips quivered . |	|` No , master . |	|I pray , leave me to die by the blade . |	0										
0.878328030900779	66	|A young soldier came walking behind , a look of mild amusement on his face . |	|He was clean-shaven in the manner of a Tsurani freeman , and as he looked up at Pug , the slave could get a good look at him . |	|He had the high cheekbones and nearly black eyes that so many Tsurani possessed . |	2	DEFAULT	Pug								
0.47526414691016	23	|His sinewy muscles strained as he climbed the tree . |	|His skin had been tanned deeply by the harsh sun of the Tsurani homeworld . |	|His face was covered by a slave 's beard . |	1	DEFAULT									
0.133213063153731	185	|Pug felt hands reach for him in the dark , and a sharp pain exploded across his chest . |	|He reached blindly for his assailant and grappled with him for the blade . |	|Another slash , and his right hand was cut across the palm . |	1	Pug									
0.598815984747895	268	|I am Hokanu , of the Shinzawai . |	|My father owns this camp , ' he said without preamble . |	|` He is deeply dissatis - fied with the harvest this year . |	1	Hokanu									
0.047445628786588	45	|He waited , looking out over the tops of trees . |	|All around , strange insects and birdlike creatures flew . |	|In the four years he had been a slave on this world , he had not grown used to the appearance of these life forms . |	0										
0.579173619998252	192	|He stood over the three combatants and simply asked , ` Is he dead ? ' |	|The overseer 's eyes opened and in a faint whisper he said , ' I live , lord . |	|But I die by the blade . ' |	1	DEFAULT									
0.240991357115005	201	|Leave the body there for the insects . |	|It shall be a warning that I am not to be disobeyed . |	|Go . ' |	1	DEFAULT									
0.68069143407435	239	|I can simply have you punished for wounding him . ' |	|He paused . |	|` Consider yourselves punished . ' |	1	DEFAULT									
0.865627575750236	232	|He took a score of stitches in the hand , bandaged it , admonished Pug to keep it clean , and left . |	|Pug ignored the pain , easing his mind with an old mental exercise . |	|After the physician was gone , the soldier studied the two slaves before him . |	1	Pug									
0.437778409092968	2	|The day was unmercifully hot . |	|The other slaves went about their work , ignoring the sound as much as possible . |	|Life in the work camp was cheap , and it did no good to dwell on the fate that awaited so many . |	0										
0.824880634527325	238	|` But as I hung the slave master , I am free to keep you alive , should it suit my purpose . |	|I can simply have you punished for wounding him . ' |	|He paused . |	3	DEFAULT	DEFAULT	DEFAULT							
0.806902030634034	306	|He smiled , looking more like a boy than a man . |	|` This camp is a shambles . |	|I am to prepare a report for my father , the Lord of the Shinzawai . |	0										
0.332425922746291	233	|Pug ignored the pain , easing his mind with an old mental exercise . |	|After the physician was gone , the soldier studied the two slaves before him . |	|` By law , I should have you hung for killing the slave master . ' |	1	DEFAULT									
0.934418318717467	143	|Laurie carried him over to where the young soldier stood . |	|Pug coughed the last water from out of his lungs and gasped , ' I thank the master for my life . ' |	|The man said nothing , but when the overseer ap - proached , directed his remarks to him . |	1	Pug									
0.101243572459899	103	|The air in his lungs exploded from his mouth when he struck , and his senses reeled for a moment . |	|He retained enough presence of mind to sit up and gasped a deep lungful of air . |	|Suddenly a heavy weight hit him across the stomach , knocking the wind from him and pushing his head back underwater . |	1	DEFAULT									
0.942699735714467	78	|Slave Master . ' |	|The overseer shook his fist . |	|` You are all lazy . |	1	DEFAULT									
0.580111313814869	241	|` Consider yourselves punished . ' |	|With a wave of his hand he said , ` Leave me , but return here at daybreak . |	|I have to decide what to do with you . ' |	1	DEFAULT									
0.626163563432598	304	|After a moment he nodded to himself . |	|` There are many considerations that fashion a man 's fortune , slaves . ' |	|He smiled , looking more like a boy than a man . |	0										
0.37057400944936	260	|` Where , singer ? |	|Where could you run ? |	|Toward the rift and ten thousand Tsurani ? ' |	1	DEFAULT									
0.057708556264854	110	|Coughing and sputtering , he tried to keep calm but felt panic rise within him . |	|He frantically pushed at the weight across him but could n't move it . |	|Abruptly he found his head above water ; Laurie said , ` Spit , Pug ! |	1	Pug									
0.504224793181931	155	|It is too much honor . |	|Return to work . ' |	|The overseer 's face grew red in silent shame and rage . |	0										
0.700469212854466	82	|It is fine . |	|You only want to keep from working . |	|Now cut it ! ' |	1	DEFAULT									
0.444660779943835	101	|The blow from the water was immediately followed by the harder impact with the ground . |	|The bottom was mostly mud , so there was little damage done . |	|The air in his lungs exploded from his mouth when he struck , and his senses reeled for a moment . |	0										
0.350811787613123	64	|A rough voice , swearing mightily while its owner splashed through the swamp , announced the arrival of the overseer , Nogamu . |	|He himself was a slave , but he had attained the highest rank a slave could rise to , and while he could never hope to be free , he had many privileges and could order soldiers or freemen placed under his command . |	|A young soldier came walking behind , a look of mild amusement on his face . |	1	Nogamu									
0.252355371505199	295	|` Master , I am a singer , a minstrel in my own land . |	|It is our custom to travel broadly , and we must learn many tongues . |	|I have also a good ear for music . |	0										
0.020134451200256	9	|A hand fell on Pug 's shoulder . |	|Laurie 's voice whispered in his ear , ` Looks like our venerable overseer was disturbed by the sound of Toffston 's dying . ' |	|Pug tied a coil of rope securely around his waist . |	3	Laurie	Pug	Toffston							
0.78301586233611	144	|Pug coughed the last water from out of his lungs and gasped , ' I thank the master for my life . ' |	|The man said nothing , but when the overseer ap - proached , directed his remarks to him . |	|` The slave was right , and you were not . |	2	DEFAULT	DEFAULT								
0.594350427923092	309	|I think I know what the problems are . ' |	|He pointed at Pug . ' |	|I would have your thoughts on the subject . |	2	DEFAULT	Pug								
0.801306289710848	102	|The bottom was mostly mud , so there was little damage done . |	|The air in his lungs exploded from his mouth when he struck , and his senses reeled for a moment . |	|He retained enough presence of mind to sit up and gasped a deep lungful of air . |	2	DEFAULT	DEFAULT								
0.696166139214161	159	|` You two , bac to work . ' |	|Laurie stood , and Pug tried . |	|His knees were wobbly from his near-drowning , but he managed to stand after a few attempts . |	2	Laurie	Pug								
0.950743776584702	120	|Heaving , they managed to move it slightly , but Laurie could n't drag Pug out . |	|` Bring axes ; we 'll have to cut the branch from the tree . ' |	|Other slaves were starting to bring axes over when Nogamu shouted , ` No . |	0										
0.463694613944541	179	|The stranger hesitated over something , and Pug waited , tense with uncertainty . |	|There was a grunt , and without hesita-B tion . |	|Pug rolled off his mat . |	0										
0.89461073120858	296	|It is our custom to travel broadly , and we must learn many tongues . |	|I have also a good ear for music . |	|Your language is what is called a tone language on my world ; words with the same sound save for the pitch with which they are spoken have different meanings . |	1	DEFAULT									
0.513974585916064	140	|When he saw who had spoken , he bit back the words that were on his lips . |	|Bowing his head , he said , ` My lord 's will . ' |	|He signaled for the slaves with the axes to cut Pug loose , and in short order Pug was out from under the branch . |	1	DEFAULT									
0.522362642509297	217	|` Bring your wounded friend , ' the young soldier commanded Laurie . |	|Laurie helped Pug to his feet and they followed the officer out of the slave hut . |	|He led them across the compound to his own quarters and ordered them to enter . |	2	Laurie	Pug								
0.326103625241173	237	|They would remain silent until commanded to speak . |	|` But as I hung the slave master , I am free to keep you alive , should it suit my purpose . |	|I can simply have you punished for wounding him . ' |	2	DEFAULT	DEFAULT								
0.988164114716045	230	|Dress the wounds , and leave us . ' |	|The physician set about cleaning the wounds . |	|He took a score of stitches in the hand , bandaged it , admonished Pug to keep it clean , and left . |	0										
0.840016215499004	173	|Pug could see the slave master watching them with naked hatred in his eyes . |	|There was a creaking of floorboards and Pug came instantly awake . |	|His slave-bred wariness told him that the sound did n't belong in the hut during the dead of night . |	1	Pug									
0.376760896776703	58	|If the overseer had to get himself dirty by wading in the water , then he would be in a foul mood -- which could mean beatings , or a reduction in the chronically meager food . |	|He would already be angered by the delay in the cutting . |	|A family of burrowers , beaverlike six - legged creatures , had made themselves at home in the roots of the great trees . |	1	DEFAULT									
0.699957141142364	68	|He had the high cheekbones and nearly black eyes that so many Tsurani possessed . |	|His dark eyes caught sight of Pug , and he seemed to nod slightly . |	|His blue armor was of a type unknown to Pug , but with the strange Tsurani military organization , that was not surprising . |	2	DEFAULT	Pug								
0.985466424455461	308	|I am to prepare a report for my father , the Lord of the Shinzawai . |	|I think I know what the problems are . ' |	|He pointed at Pug . ' |	1	DEFAULT									
0.353108495219673	286	|he asked of Pug . |	|` Master , I was among the first captured and brought here . |	|There were only seven of us among so many Tsurani slaves . |	1	DEFAULT									
0.39004986255281	231	|The physician set about cleaning the wounds . |	|He took a score of stitches in the hand , bandaged it , admonished Pug to keep it clean , and left . |	|Pug ignored the pain , easing his mind with an old mental exercise . |	2	DEFAULT	Pug								
0.09956110818976	281	|Pug realized with a shock that he was probably older by a year or two than this young lord . |	|He was young for such power . |	|The ways of the Tsurani were very strange . |	1	DEFAULT									
0.319922228370424	104	|He retained enough presence of mind to sit up and gasped a deep lungful of air . |	|Suddenly a heavy weight hit him across the stomach , knocking the wind from him and pushing his head back underwater . |	|He struggled to move and found a large branch across his stomach . |	1	DEFAULT									
0.036461078949515	205	|` No , master . |	|I pray , leave me to die by the blade . |	|A few minutes longer . ' |	1	DEFAULT									
0.885194945021248	175	|His slave-bred wariness told him that the sound did n't belong in the hut during the dead of night . |	|Through the gloom , footfalls could be heard coming closer , then they stopped at the foot of his pallet . |	|From the next pallet , he could hear Laurie 's sharp intake of breath , and he knew the minstrel was awake also . |	1	DEFAULT									
0.18176852802614	136	|Nogamu raised his lash for a third blow , but was halted by a voice from behind . |	|` Cut the slave from under the branch . ' |	|Laurie saw the speaker was the young soldier who had accompanied the slave master . |	0										
0.939390498169184	255	|` It 's much too easy to end up like that . ' |	|Laurie nodded . |	|` Perhaps you 're right . |	1	Laurie									
0.126389695949659	189	|Soldiers rushed into the hut , carrying lanterns , and Pug could see Laurie lying across the still body of Nogamu . |	|The Bear was still breathing , but from the way the dagger protruded from his ribs , not for long . |	|The young soldier who had saved Pug 's and Laurie 's lives entered and the others made way for him . |	0										
0.387216536200991	222	|He was an old Tsurani , dressed in the robes of one of their gods , which one the Midkemians could n't tell . |	|He inspected Pug 's wounds and judged the chest wound superficial . |	|The hand , he said , would be another matter . |	2	DEFAULT	Pug								
0.310627807358739	168	|With a little rest . |	|Pug could have returned to work , but an open wound in the swamp was a death warrant as ; 1 often as not . |	|Infections came quickly in this hot , dirty || place , and there were few ways of dealing with them . |	1	Pug									
0.906142289865937	126	|Laurie nearly screamed at him , ` We ca n't leave him ! |	|He 'll drown ! ' |	|The overseer crossed over and struck Laurie across the face with a lash . |	1	DEFAULT									
0.903060012980585	29	|The troubadour had no business being here , but then he had had no business tagging along with a patrol in the hope of seeing Tsurani soldiers , either . |	|He said he had wanted material for ballads that would make him famous throughout the Kingdom . |	|He had seen more than he had hoped for . |	1	DEFAULT									
0.808274819552744	69	|His dark eyes caught sight of Pug , and he seemed to nod slightly . |	|His blue armor was of a type unknown to Pug , but with the strange Tsurani military organization , that was not surprising . |	|Every family , demesne , area , town , city , and province appeared to have its own army . |	2	DEFAULT	Pug								
0.789683705368872	200	|There will be no honors for his clan to sing . |	|Leave the body there for the insects . |	|It shall be a warning that I am not to be disobeyed . |	0										
0.129842668514618	172	|As they left . |	|Pug could see the slave master watching them with naked hatred in his eyes . |	|There was a creaking of floorboards and Pug came instantly awake . |	2	Pug	DEFAULT								
0.486512336123698	147	|The tree was rotten . |	|It is not proper for you to punish him for your bad judgment and ill-temper . |	|I should have you beaten , but will not spare the time for it . |	2	DEFAULT	DEFAULT								
0.015080444335408	250	|` Whatever . |	|I have long since given up trying to understand our masters . |	|That 's why I 've stayed alive so long , Laurie . |	1	DEFAULT									
0.902203176972276	199	|` Take him outside at once and hang him . |	|There will be no honors for his clan to sing . |	|Leave the body there for the insects . |	1	DEFAULT									
0.506097293706943	42	|A faint pungent odor greeted his careful sniffing . |	|Swearing , he called down to Laurie , ` This one 's rotten . |	|Tell the overseer . ' |	2	DEFAULT	Laurie								
0.25627451401353	289	|We learned to survive . |	|After some time , I was the only one left . |	|The others died of the burning fever or festering wounds , or were killed by the guards . |	1	DEFAULT									
0.317937695875682	248	|Laurie said nothing until they reached the slave hut . ' |	|I think the young lord has something up his sleeve . ' |	|` Whatever . |	2	Laurie	DEFAULT								
