Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.647835170635515	632	|You know the debts your brother left when he ran away . |	|Do you realize that a less merciful man than myself would have sold you to the whoremasters long ago ? |	|How would you like that , serving in some nobleman 's bed until he grew tired of you and had you executed ? '' |	2	DEFAULT	DEFAULT								
0.098353072953381	743	|He cocked his head , looking thoughtful . |	|He opened his mouth to speak , but she pushed against him again , desperately using up her last pinch of Luck . |	|He paused again . |	2	DEFAULT	DEFAULT								
0.513612297097703	458	|But , what man does not ? |	|Even the cutthroat , I have noticed , considers his actions `` moral '' after a fashion . |	|Perhaps another person , reading of my life , would name me a religious tyrant . |	2	DEFAULT	DEFAULT								
0.023841142357006	688	|Camon sat for a moment , stunned . |	|`` I 'm sorry to hear that , Your Grace . '' |	|Laird came to meet you , Vin thought . |	2	Camon	DEFAULT								
0.462503532106547	456	|New days indeed . |	|PART ONE THE SURVIVOR OF HATHSIN I consider myself to be a man of principle . |	|But , what man does not ? |	1	DEFAULT									
0.55915597411587	664	|`` As am I , Your Grace , '' Camon said . |	|`` Why is it , again , that you were unable to come to the Canton building , instead requiring that I visit you here ? '' |	|`` My knees , Your Grace , '' Camon said . |	2	Camon	DEFAULT								
0.879034017687645	593	|Theron eyed Vin , obviously noting her bloodied lip . |	|She glanced away . |	|Theron 's eyes lingered on her , however , running down the length of her body . |	1	Vin									
0.430220491015915	492	|`` You should get going , '' Ulef said . |	|`` The job 's almost ready to begin . '' |	|Ulef was a gangly boy . |	0										
0.019292943672982	572	|a man asked , entering the room . |	|He was tall , dressed in a simple gray shirt and a pair of slacks , with a thin sword tied at his waist . |	|Theron was the other crewleader -- this particular scam was actually his . |	1	DEFAULT									
0.972580046778134	473	|Vin sat quietly in one of the crew 's watch-holes -- a hidden alcove built into the bricks on the side of the safe house . |	|From within it , a crewmember could watch the street for signs of danger . |	|Vin was n't on duty ; the watch-hole was simply one of the few places where she could find solitude.And Vin liked solitude . |	0										
