Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.68995004777334	79	|I went to stand before him , leaning on my sword , tired in my arms and legs all of a sudden . |	|`` Best speak your piece quickly , farmer . |	|Brother Gemt 's a-coming with his axe . |	1	DEFAULT									
0.063256085488508	54	|Liked to see them go out with a smile . |	|`` What treasure ? '' |	|Rike wanted to know , still surly . |	0										
0.075821368438163	59	|Rike lifted his visor , treating us to his ugly face . |	|Well , brutal more than ugly . |	|I think the scars improved him . |	0										
0.798427640320462	104	|I 'd hardly be fifteen and rousting villages . |	|By the time fifteen came around , I 'd be King ! |	|Some people are born to rub you the wrong way . |	1	DEFAULT									
0.239380380859571	51	|He was wont to call Rike `` Little Rikey , '' on account of him being a head taller than any of us and twice as wide . |	|Makin always told jokes . |	|He 'd tell them to those as he killed , if they gave him time . |	1	Makin									
0.535967352915703	83	|He did n't seem too worried . |	|It 's hard to worry a man so close to the worm-feast . |	|Still , it irked me that he held me so lightly and called me `` boy . '' |	0										
0.493777951225609	63	|Makin pursed his lips . |	|I never liked his lips , too thick and fleshy , but I forgave him that , for his joking and his deathly work with that flail of his . |	|`` Well , you can have the cows , Little Rikey . |	2	Makin	Brother Rike								
0.257337574032584	80	|`` Best speak your piece quickly , farmer . |	|Brother Gemt 's a-coming with his axe . |	|Chop-chop . '' |	1	Gemt									
0.134531036782203	41	|I gave him my warning look . |	|His cursing stole the magic from the scene ; besides , I had to be stern with him . |	|Rike was always on the edge after a battle , wanting more . |	2	Brother Rike	DEFAULT								
0.229041551559408	97	|`` Fifteen summers , no more . |	|Could n't be more ... '' His words came slow , from blue lips in a white face . |	|Out by two , I would have told him , but he 'd gone past hearing . |	1	DEFAULT									
0.193659495515365	74	|But we 'd torch the place soon enough and the stink would all turn to wood-smoke . |	|Gold rings ? |	|I needed no more payment . |	0										
0.722270185142118	27	|But look where disagreeing got him . |	|`` Shit-poor farm maggots . '' |	|Rike discarded a handful of fingers over Bovid 's open belly . |	0										
0.260694431808665	33	|One ! |	|A whole village and one fecking gold ring . |	|I 'd like to set the bastards up and knock â€™em down again . |	0										
0.466694033742878	82	|Chop-chop . '' |	|He did n't seem too worried . |	|It 's hard to worry a man so close to the worm-feast . |	1	DEFAULT									
0.409078061342866	29	|Rike discarded a handful of fingers over Bovid 's open belly . |	|He came to me , holding out his takings , as if it was my fault . |	|`` Look ! |	2	Brother Rike	DEFAULT								
0.360019475416477	40	|There 's more than one kind of gold in Mabberton . '' |	|I gave him my warning look . |	|His cursing stole the magic from the scene ; besides , I had to be stern with him . |	2	DEFAULT	DEFAULT								
0.620420717401012	17	|Two hundred dead farmers lying with their scythes and axes . |	|You know , I warned them that we do this for a living . |	|I said it to their leader , Bovid Tor . |	2	DEFAULT	DEFAULT								
0.155025760388323	86	|`` Do you have daughters , farmer ? |	|Hiding in the cellar maybe ? |	|Old Rike will sniff them out . '' |	0										
0.93527903707308	23	|And they got it . |	|War , my friends , is a thing of beauty . |	|Those as says otherwise are losing . |	0										
0.27217946807893	65	|`` Well , you can have the cows , Little Rikey . |	|Me , I 'm going to find a farmer 's daughter or three , before the others use them all up . '' |	|They went off then , Rike doing that laugh of his , `` hur , hur , hur , '' as if he was trying to cough a fishbone out . |	1	DEFAULT									
0.363451078247891	101	|`` Take his head , '' I told them . |	|`` Leave his fat belly for the ravens . '' |	|Fifteen ! |	1	DEFAULT									
0.596826556613922	69	|Bovid followed them with his eyes , but he could n't turn his head . |	|I looked at the ravens , I watched Gemt and his half-wit brother , Maical , taking heads , Maical with the cart and Gemt with the axe . |	|A thing of beauty , I tell you . |	3	DEFAULT	Gemt	Maical							
0.241261423803088	76	|I needed no more payment . |	|`` Boy ! '' |	|Bovid called out , his voice all hollow like , and weak . |	1	DEFAULT									
0.358679850218434	99	|Out by two , I would have told him , but he 'd gone past hearing . |	|The cart creaked up behind me , and Gemt came along with his axe dripping . |	|`` Take his head , '' I told them . |	2	DEFAULT	Gemt								
0.161719319529554	30	|He came to me , holding out his takings , as if it was my fault . |	|`` Look ! |	|One gold ring . |	0										
0.1364356688275	89	|Bovid looked up sharp at that , pained and sharp . |	|`` H-how old are you , boy ? '' |	|Again the `` boy . '' |	1	DEFAULT									
0.73107140422154	84	|It 's hard to worry a man so close to the worm-feast . |	|Still , it irked me that he held me so lightly and called me `` boy . '' |	|`` Do you have daughters , farmer ? |	2	DEFAULT	DEFAULT								
0.322249499810536	18	|You know , I warned them that we do this for a living . |	|I said it to their leader , Bovid Tor . |	|I gave them that chance , I always do . |	2	DEFAULT	Bovid								
0.50467577581605	95	|I do n't think he caught even that . |	|I do n't think he even knew it was me that opened him up not half an hour before . |	|`` Fifteen summers , no more . |	2	DEFAULT	DEFAULT								
0.372687623680984	7	|Blood in the gutters , blood on the flagstones , blood in the fountain . |	|The corpses posed as corpses do . |	|Some comical , reaching for the sky with missing fingers , some peaceful , coiled about their wounds . |	0										
0.048828360462024	16	|And that was Mabberton . |	|Two hundred dead farmers lying with their scythes and axes . |	|You know , I warned them that we do this for a living . |	0										
0.683653219316609	71	|A thing of beauty , I tell you . |	|At least to look at . |	|I 'll agree war smells bad . |	0										
0.711178820496737	15	|Strange , it 's killing that gives me a thirst . |	|And that was Mabberton . |	|Two hundred dead farmers lying with their scythes and axes . |	0										
0.539968790142812	91	|Again the `` boy . '' |	|`` Old enough to slit you open like a fat purse , '' I said , getting angry now . |	|I do n't like to get angry . |	2	DEFAULT	DEFAULT								
0.752055276841306	50	|There 's treasure aplenty to be found . '' |	|He was wont to call Rike `` Little Rikey , '' on account of him being a head taller than any of us and twice as wide . |	|Makin always told jokes . |	1	Brother Rike									
0.482035260489003	28	|`` Shit-poor farm maggots . '' |	|Rike discarded a handful of fingers over Bovid 's open belly . |	|He came to me , holding out his takings , as if it was my fault . |	2	Brother Rike	Bovid								
0.799634379261679	56	|Rike wanted to know , still surly . |	|`` When you get farmers , what else do you always get , Little Rikey ? '' |	|Makin raised his eyebrows all suggestive . |	1	Brother Rike									
0.307687478849433	88	|Old Rike will sniff them out . '' |	|Bovid looked up sharp at that , pained and sharp . |	|`` H-how old are you , boy ? '' |	1	Bovid									
0.941357721070674	60	|Well , brutal more than ugly . |	|I think the scars improved him . |	|`` Cows ? '' |	2	DEFAULT	DEFAULT								
0.635135558603769	92	|`` Old enough to slit you open like a fat purse , '' I said , getting angry now . |	|I do n't like to get angry . |	|It makes me angry . |	1	DEFAULT									
0.457651834610402	43	|Rike was always on the edge after a battle , wanting more . |	|I gave him a look that told him I had more . |	|More than he could handle . |	2	Brother Rike	DEFAULT								
0.25394470606882	49	|`` Brother Jorg is right , Little Rikey . |	|There 's treasure aplenty to be found . '' |	|He was wont to call Rike `` Little Rikey , '' on account of him being a head taller than any of us and twice as wide . |	0										
0.040635943521178	36	|Fecking bog-farmers . '' |	|He would too : he was an evil bastard , and greedy with it . |	|I held his eye . |	1	DEFAULT									
0.929644599093855	68	|I watched them force the door to Bovid 's place opposite the church , a fine house , high roofed with wooden slates and a little flower garden in front . |	|Bovid followed them with his eyes , but he could n't turn his head . |	|I looked at the ravens , I watched Gemt and his half-wit brother , Maical , taking heads , Maical with the cart and Gemt with the axe . |	1	Bovid									
0.149573616301338	20	|I gave them that chance , I always do . |	|But no . |	|They wanted blood and slaughter . |	0										
0.498125756839417	64	|I never liked his lips , too thick and fleshy , but I forgave him that , for his joking and his deathly work with that flail of his . |	|`` Well , you can have the cows , Little Rikey . |	|Me , I 'm going to find a farmer 's daughter or three , before the others use them all up . '' |	1	Brother Rike									
