Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.173200543349965	101	|` I , um , ' she said . |	|` I 'm not sure . |	|I 've lost something , and I think maybe you could help me . ' |	1	DEFAULT									
0.003803897567611	76	|A slow pair of months , actually . |	|My rent from February did n't get paid until the tenth of March , and it was looking like it might be even longer until I got caught up for this month . |	|My only job had been the previous week , when I 'd gone down to Branson , Missouri , to investigate a country singer 's possibly haunted house . |	1	DEFAULT									
0.912891539351988	21	|I sighed , not in the mood to get mocked again , and reached for the mail he held in his hand . |	|` No , not like that . |	|I do n't do parties . ' |	0										
0.597989549173081	64	|But then , if you 'd seen the things I 'd seen , if you knew half of what I knew , you 'd wonder how anyone could not think I was serious . |	|The end of the twentieth century and the dawn of the new millennium had seen something of a renaissance in the public awareness of the paranormal . |	|Psychics , haunts , vampires-you name it . |	0										
0.011304158413151	79	|It had n't been . |	|My client had n't been happy with that answer , and had been even less happy when I suggested he lay off of any intoxicating substances and try to get some exercise and sleep , and see if that did n't help things more than an exorcism . |	|I 'd gotten travel expenses plus an hour 's pay , and gone away feeling I had done the honest , righteous , and impractical thing . |	2	DEFAULT	DEFAULT								
0.367886688533264	14	|` You 're kidding , right ? ' |	|I read the sign -LRB- people change it occasionally -RRB- , and shook my head . |	|` No , I 'm serious . |	1	DEFAULT									
0.457334898182025	52	|Conjure by it at your own risk . |	|I 'm a wizard . |	|I work out of an office in midtown Chicago . |	1	DEFAULT									
0.127440408277974	114	|That is , I have n't . |	|Oh dear , this is all so complicated . |	|Not something someone can talk about on the phone . |	0										
0.089040669181139	13	|He glanced at me and hooked a thumb toward the sign . |	|` You 're kidding , right ? ' |	|I read the sign -LRB- people change it occasionally -RRB- , and shook my head . |	1	DEFAULT									
0.88688609306403	68	|Disease was still a problem . |	|Starvation was still a problem . |	|Violence and crime and war were still problems . |	0										
0.207112106792913	28	|` No , ' I told him . |	|` I 'm not a psychic . ' |	|I tugged at the mail . |	1	DEFAULT									
0.941374357357461	120	|There was that nervous pause again , as though she were checking a sheet of written notes before answering . |	|` Call me Monica . ' |	|People who know diddly about wizards do n't like to give us their names . |	1	Monica No-Last-Name									
0.223576544528713	160	|But two bodies ? |	|Two deaths by means unknown ? |	|I had n't handled anything like that for her before . |	0										
0.685334421956706	147	|The voice on the other end of the line was also a woman 's , cool , brisk , businesslike . |	|` Why , Lieutenant Murphy , ' I gushed , overflowing with saccharine , ` It 's good to hear from you , too . |	|It 's been so long . |	2	Karrin Murphy	DEFAULT								
0.482040757767583	112	|` No , ' she said , quickly . |	|` No , they ca n't . |	|That is , I have n't . |	0										
0.13071726000184	186	|There was a pause , and when she spoke again , there was a sort of greenish tone to her words . |	|` It 's bad . ' |	|` How bad are we talking here , Murph ? ' |	0										
0.471514596378027	36	|` That 's me , ' I confirmed . |	|` An actual wizard ? ' |	|he asked , grinning , as though I should let him in on the joke . |	0										
0.201497483640463	49	|I watched him go . |	|` Typical , ' I muttered , and shut the door . |	|My name is Harry Blackstone Copperfield Dresden . |	1	Harry Blackstone Copperfield Dresden									
0.275542543003047	138	|I peered at it . |	|I do n't trust electronics . |	|Anything manufactured after the forties is suspect-and does n't seem to have much liking for me . |	1	DEFAULT									
0.695174714152304	98	|It is the prerogative of wizards to be grumpy . |	|It is not , however , the prerogative of freelance consultants who are late on their rent , so instead of saying something smart , I told the woman on the phone , ` Yes , ma'am . |	|How can I help you today ? ' |	2	DEFAULT	DEFAULT								
0.719857642673249	61	|Advice . |	|Reasonable Rates . |	|No Love Potions , Endless Purses , Parties , or Other Entertainment You 'd be surprised how many people call just to ask me if I 'm serious . |	0										
0.179003118674066	84	|I finished up my paperback and tossed it into the DONE box . |	|There was a pile of read and discarded paperbacks in a cardboard box on one side of my desk , the spines bent and the pages mangled . |	|I 'm terribly hard on books . |	1	DEFAULT									
0.424790246181087	73	|People were looking for something-I think they just did n't know what . |	|And even though they were once again starting to open their eyes to the world of magic and the arcane that had been with them all the while , they still thought I must be some kind of joke . |	|Anyway , it had been a slow month . |	1	DEFAULT									
0.315677125128091	54	|I work out of an office in midtown Chicago . |	|As far as I know , I 'm the only openly practicing professional wizard in the country . |	|You can find me in the yellow pages , under ` Wizards . ' |	1	DEFAULT									
0.491106982545274	146	|Can you be there ? ' |	|The voice on the other end of the line was also a woman 's , cool , brisk , businesslike . |	|` Why , Lieutenant Murphy , ' I gushed , overflowing with saccharine , ` It 's good to hear from you , too . |	0										
0.059552231681079	96	|It 's Harry Dresden the , ah , lizard . |	|Harry the wizard is one door down . |	|It is the prerogative of wizards to be grumpy . |	1	Harry Blackstone Copperfield Dresden									
0.125851778530712	136	|Plenty of time to go out and get some lunch , then get back to the office to meet her . |	|The phone rang again almost the instant I put it down , making me jump . |	|I peered at it . |	1	DEFAULT									
0.870740134740129	50	|` Typical , ' I muttered , and shut the door . |	|My name is Harry Blackstone Copperfield Dresden . |	|Conjure by it at your own risk . |	1	Harry Blackstone Copperfield Dresden									
0.045326756534906	51	|My name is Harry Blackstone Copperfield Dresden . |	|Conjure by it at your own risk . |	|I 'm a wizard . |	0										
0.400024248348914	202	|Dresden That done , I started down the stairs . |	|I rarely use the elevator , even though I 'm on the fifth floor . |	|Like I said , I do n't trust machines . |	1	Harry Blackstone Copperfield Dresden									
0.647663190878089	67	|People still did n't take them seriously , but all the things Science had promised us had n't come to pass . |	|Disease was still a problem . |	|Starvation was still a problem . |	0										
0.3043498062493	80	|My client had n't been happy with that answer , and had been even less happy when I suggested he lay off of any intoxicating substances and try to get some exercise and sleep , and see if that did n't help things more than an exorcism . |	|I 'd gotten travel expenses plus an hour 's pay , and gone away feeling I had done the honest , righteous , and impractical thing . |	|I heard later that he 'd hired a shyster psychic to come in and perform a ceremony with a lot of incense and black lights . |	1	DEFAULT									
0.631399805032469	197	|` Okay . ' |	|I turned off the lights to my office , went out the door , and locked up behind me , frowning . |	|I was n't sure how long it was going to take to investigate Murphy 's scene , and I did n't want to miss out on speaking with Monica Ask-Me-No-Questions . |	1	DEFAULT									
0.831748814556387	152	|` Save it , Harry . |	|I 've got a couple of bodies here , and I need you to take a look around . ' |	|I sobered immediately . |	2	Harry Blackstone Copperfield Dresden	DEFAULT								
0.647605113253075	35	|Wizard . ' ' |	|` That 's me , ' I confirmed . |	|` An actual wizard ? ' |	1	DEFAULT									
0.428051465047219	108	|She had a voice that was a little hoarse , like a cheerleader who 'd been working a long tournament , but had enough weight of years in it to place her as an adult . |	|My eyebrows went up . |	|` Ma'am , I 'm not really a missing-persons specialist . |	1	DEFAULT									
0.635034309039886	166	|` That 's only a fifteen-minute walk from my office , ' I said . |	|` So you can be here in fifteen minutes . |	|Good . ' |	1	DEFAULT									
0.164177824726741	43	|I jerked the mail out of his hand and looked pointedly at his clipboard . |	|` Can I sign for my mail please . ' |	|The new mailman 's grin vanished , replaced with a scowl . |	1	DEFAULT									
0.816034848161888	143	|I answered the phone with the same false cheer I had summoned up for Monica Husband-Missing . |	|` This is Dresden , may I help you ? ' |	|` Harry , I need you at the Madison in the next ten minutes . |	2	Harry Blackstone Copperfield Dresden	Monica No-Last-Name								
0.795826986693695	91	|` Oh . |	|Is this , um , Harry Dresden ? |	|The , ah , wizard ? ' |	1	Harry Blackstone Copperfield Dresden									
0.126391564406943	37	|` An actual wizard ? ' |	|he asked , grinning , as though I should let him in on the joke . |	|` Spells and potions ? |	2	DEFAULT	DEFAULT								
0.306410676358407	132	|` No charge . ' |	|It must have been the no charge that did it . |	|She agreed to come right out to the office , and told me that she would be there in an hour . |	0										
0.792937622700009	78	|My only job had been the previous week , when I 'd gone down to Branson , Missouri , to investigate a country singer 's possibly haunted house . |	|It had n't been . |	|My client had n't been happy with that answer , and had been even less happy when I suggested he lay off of any intoxicating substances and try to get some exercise and sleep , and see if that did n't help things more than an exorcism . |	0										
0.640108938504917	70	|Violence and crime and war were still problems . |	|In spite of the advance of technology , things just had n't changed the way everyone had hoped and thought they would . |	|Science , the largest religion of the twentieth century , had become somewhat tarnished by images of exploding space shuttles , crack babies , and a generation of complacent Americans who had allowed the television to raise their children . |	0										
0.88125514985915	26	|Some kinda fortune-teller ? |	|Cards and crystal balls and things ? ' |	|` No , ' I told him . |	0										
0.797690433174494	144	|` This is Dresden , may I help you ? ' |	|` Harry , I need you at the Madison in the next ten minutes . |	|Can you be there ? ' |	2	Harry Blackstone Copperfield Dresden	DEFAULT								
0.44738836186942	187	|` It 's bad . ' |	|` How bad are we talking here , Murph ? ' |	|Her voice softened , and that scared me more than any images of gore or violent death could have . |	1	Karrin Murphy									
0.154771379753676	42	|` Not so subtle . ' |	|I jerked the mail out of his hand and looked pointedly at his clipboard . |	|` Can I sign for my mail please . ' |	2	DEFAULT	DEFAULT								
0.479965603800934	210	|Probably . |	|But just because you 're paranoid does n't mean that there is n't an invisible demon about to eat your face . |	|Chapter Two Karrin Murphy was waiting for me outside the Madison . |	1	DEFAULT									
0.377072401265002	111	|Have you contacted the police or a private investigator ? ' |	|` No , ' she said , quickly . |	|` No , they ca n't . |	1	DEFAULT									
0.435620337524237	56	|You can find me in the yellow pages , under ` Wizards . ' |	|Believe it or not , I 'm the only one there . |	|My ad looks like this : HARRY DRESDEN-WIZARD Lost Items Found . |	1	Harry Blackstone Copperfield Dresden									
0.71165162108369	135	|That put her estimated arrival at about two-thirty . |	|Plenty of time to go out and get some lunch , then get back to the office to meet her . |	|The phone rang again almost the instant I put it down , making me jump . |	1	DEFAULT									
0.33724518380581	29	|` I 'm not a psychic . ' |	|I tugged at the mail . |	|He held on to it . |	1	DEFAULT									
0.879647641064818	182	|` What ? ' |	|She repeated the question . |	|` No , ' I said . |	1	DEFAULT									
0.139412488680283	110	|` Ma'am , I 'm not really a missing-persons specialist . |	|Have you contacted the police or a private investigator ? ' |	|` No , ' she said , quickly . |	1	DEFAULT									
0.803278601164225	23	|I do n't do parties . ' |	|He held on to it , his head tilted curiously . |	|` So what ? |	1	DEFAULT									
0.413793608543927	116	|Not something someone can talk about on the phone . |	|I 'm sorry to have taken up your time , Mr. Dresden . ' |	|` Hold on now , ' I said quickly . |	2	DEFAULT	Harry Blackstone Copperfield Dresden								
0.368376945663033	127	|I could probably turn hubby up , if I worked at it . |	|` Okay , Monica , ' I told her , trying to sound as melodious and friendly as I could . |	|` If you feel your situation is of a sensitive nature , maybe you could come by my office and talk about it . |	2	Monica No-Last-Name	DEFAULT								
0.89050530961736	195	|` Seventh floor , ' she reminded me . |	|` See you there . ' |	|` Okay . ' |	1	DEFAULT									
0.368617152897772	34	|` It says ` Harry Dresden . |	|Wizard . ' ' |	|` That 's me , ' I confirmed . |	0										
0.298618572841584	191	|` It 's bad , Harry . |	|Please do n't take too long . |	|Special Crimes is itching to get their fingers on this one , and I know you do n't like people to touch the scene before you can look around . ' |	0										
0.659434000325305	87	|I was eyeing the pile of unread books , considering which to start next , given that I had no real work to do , when my phone rang . |	|I stared at it in a somewhat surly fashion . |	|We wizards are terrific at brooding . |	1	DEFAULT									
0.355299891284612	199	|I was n't sure how long it was going to take to investigate Murphy 's scene , and I did n't want to miss out on speaking with Monica Ask-Me-No-Questions . |	|So I opened the door again , got out a piece of paper and a thumbtack , and wrote : Out briefly . |	|Back for appointment at 2:30 . |	1	DEFAULT									
0.619713160648703	106	|There was a nervous pause . |	|` My husband , ' she said . |	|She had a voice that was a little hoarse , like a cheerleader who 'd been working a long tournament , but had enough weight of years in it to place her as an adult . |	1	DEFAULT									
0.813515076378481	161	|Two deaths by means unknown ? |	|I had n't handled anything like that for her before . |	|` Where are you ? ' |	2	DEFAULT	DEFAULT								
0.463230074035191	208	|I liked my odds on the stairwell a lot better than I did in the cramped confines of the elevator . |	|Paranoid ? |	|Probably . |	0										
0.583895185415734	175	|My temper flared . |	|It does that occasionally . |	|` It ca n't , actually , ' I said . |	0										
0.408810333794977	27	|Cards and crystal balls and things ? ' |	|` No , ' I told him . |	|` I 'm not a psychic . ' |	2	DEFAULT	DEFAULT								
0.095965179759912	100	|How can I help you today ? ' |	|` I , um , ' she said . |	|` I 'm not sure . |	1	DEFAULT									
0.790663980216292	94	|Her tone was apologetic , as though she were terribly afraid she would be insulting me . |	|No , I thought . |	|It 's Harry Dresden the , ah , lizard . |	1	Harry Blackstone Copperfield Dresden									
