Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.111734021583248	189	|An awful lot . |	|He had no idea how long he 'd lain on the river bank . |	|Even if a couple of the boys had got away , the Shanka would be hunting them , hunting them down in the forests . |	1	DEFAULT									
0.618515528211274	112	|Still alive , in spite of the best efforts of nature , Shanka , men and beasts . |	|Soaking wet and flat on his back , he started to chuckle . |	|Reedy , gurgling laughter . |	1	DEFAULT									
0.530592263709261	122	|His side was covered in bruises from the fall . |	|Blue and purple stains all up his ribs . |	|Tender to the touch , and no mistake , but it did n't feel like anything was broken . |	1	DEFAULT									
0.228665040045709	101	|That was the first thing . |	|The lapping of water , the rustling of trees , the odd click and twitter of a bird . |	|Logen opened his eyes a crack . |	0										
0.461116085403463	142	|Like this , he would n't last a day in the mountains . |	|His hands and feet would turn black in the night , and he 'd die bit by bit before he even reached the passes . |	|If he did n't starve first . |	1	DEFAULT									
0.090245256537829	183	|Three dead Shanka , but none of his people . |	|Maybe they were still out there . |	|Maybe if he took a risk , tried to look -- `` No . '' |	0										
0.603559206605823	194	|You have to be realistic . |	|Have to be , however much it hurts . |	|`` It 's just you and me now , '' said Logen as he stuffed the pot into his pack and threw it over his shoulder . |	0										
0.805274297078767	200	|Him and the pot . |	|They were the only survivors . |	|Questions Why do I do this ? |	0										
0.057527131635063	199	|Just the two of them . |	|Him and the pot . |	|They were the only survivors . |	1	DEFAULT									
0.629130116954892	173	|Logen pulled it up , and grinned . |	|His old , battered cook pot was underneath . |	|Lying on its side , kicked off the fire in the fight maybe . |	1	Logen Ninefingers									
0.224449877435014	105	|This was death ? |	|Then why did it hurt so much ? |	|His whole left side was throbbing . |	0										
0.53082322403619	163	|Logen scuttled out from the trees , casting about on the ground . |	|His boots were still there where he 'd left them . |	|He snatched them up and dragged them on to his freezing feet , hopping around , almost slipping in his haste . |	1	Logen Ninefingers									
0.069146306402233	178	|He 'd had that pot a long time . |	|It had followed him all through the wars , across the North and back again . |	|They had all cooked in it together , out on the trail , all eaten out of it . |	1	DEFAULT									
0.098413501884891	171	|All useful . |	|There was a tattered blanket snagged on a branch , wet and half caked in grime . |	|Logen pulled it up , and grinned . |	0										
0.501260797924459	188	|There had been a lot of Flatheads . |	|An awful lot . |	|He had no idea how long he 'd lain on the river bank . |	0										
0.869106601955175	104	|Light , blurry bright through leaves . |	|This was death ? |	|Then why did it hurt so much ? |	0										
0.598950576322775	119	|He tottered to his feet , leaning against the nearest tree trunk . |	|He scraped the dirt out of his nose , his eyes , his ears . |	|He pulled up his wet shirt to take a look at the damage . |	1	DEFAULT									
0.096899504141437	130	|You could never have too many knives in Logen 's experience , and this was a good one , but the outlook was still bleak . |	|He was on his own , in woods crawling with Flatheads . |	|He had no idea where he was , but he could follow the river . |	1	Logen Ninefingers									
0.024686134980877	149	|That was an awful lot of hoping , but he had no choice . |	|He never had any choices . |	|It had started to rain by the time Logen found the place . |	1	DEFAULT									
0.187747543171338	166	|His coat was there too , wedged under the log , battered and scarred from ten years of weather and war , torn and stitched back together , missing half a sleeve . |	|His pack was lying shapeless in the brush nearby , its contents strewn out down the slope . |	|He crouched , breathless , throwing it all back inside . |	0										
0.804161459542979	192	|They were nothing but corpses now , for sure , scattered across the high valleys . |	|All Logen could do was make for the mountains , and try to save his own sorry life . |	|You have to be realistic . |	1	Logen Ninefingers									
0.491662222183148	159	|That was lucky . |	|Just lucky enough to survive , as always . |	|Still , they might be back at any moment . |	0										
0.301765328773485	185	|Maybe if he took a risk , tried to look -- `` No . '' |	|He said it quietly , under his breath . |	|He knew better than that . |	1	DEFAULT									
0.677853674218774	124	|Tender to the touch , and no mistake , but it did n't feel like anything was broken . |	|His leg was a mess . |	|Torn and bloody from the Shanka 's teeth . |	1	DEFAULT									
0.632662891054995	170	|All good . |	|All useful . |	|There was a tattered blanket snagged on a branch , wet and half caked in grime . |	0										
0.265550590734365	147	|He had to hope the Flatheads had moved on , hope they 'd left something behind . |	|Something he could use to survive . |	|That was an awful lot of hoping , but he had no choice . |	1	DEFAULT									
0.019657138081396	118	|He sat up , wincing at the pain . |	|He tottered to his feet , leaning against the nearest tree trunk . |	|He scraped the dirt out of his nose , his eyes , his ears . |	1	DEFAULT									
