Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.995520389061824	151	|said Bravd . |	|`` What a funny name . '' |	|`` You , '' said Rincewind , dismounting , `` do not know the half of it . |	0										
0.328244943337981	163	|When he returned , the being called Twoflower was hanging limply over his shoulder . |	|It was small and skinny , and dressed very oddly in a pair of knee length britches and a shirt in such a violent and vivid conflict of colors that Weasel 's fastidious eye was offended even in the half-light . |	|`` No bones broken , by the feel of things , '' said Rincewind . |	1	Weasel									
0.002591135784575	99	|Few had come that way since the Deosil Gate had been one of the first to collapse in a shower of white-hot embers . |	|But two were coming up it now . |	|The Weasel 's eyes , always at their sharpest in gloom and half-light , made out the shapes of two mounted men and some sort of low beast behind them . |	0										
0.72088272696973	161	|`` One of the things he ca n't do , he ca n't ride a horse , '' he said . |	|Then he stiffened as if sandbagged by a sudden recollection , gave a small yelp of terror and dashed into the gloom . |	|When he returned , the being called Twoflower was hanging limply over his shoulder . |	1	DEFAULT									
0.4844152600847	178	|It 's stronger than you , Bravd . |	|It is , I think , more cunning even than you , Weasel . '' |	|`` What is it called then , this mighty magic ? '' |	2	DEFAULT	Weasel								
0.418250954694877	156	|The wizard groaned . |	|`` That reminds me , '' added the Weasel , snapping his fingers , `` there was a really big explosion about , oh , half an hour ago -- '' `` That was the oil bond store going up , '' said Rincewind , wincing at the memory of the burning rain . |	|Weasel turned and grinned expectantly at his companion , who grunted and handed over a coin from his pouch . |	2	Weasel	Rincewind								
0.694662107114976	116	|He looked around and added : `` That goes for your shadow-loving fleabag partner , too , wherever he 's hiding . '' |	|The Weasel stepped up to the horse and peered at the disheveled figure . |	|`` Why , it 's Rincewind the wizard , is n't it ? '' |	1	Weasel									
0.528233131376572	90	|`` We owed old Fredor at the Crimson Leech eight silver pieces , '' he added . |	|The little man nodded . |	|They were silent for a while as a whole new series of explosions carved a red line across a hitherto dark section of the greatest city in the world . |	1	DEFAULT									
0.920231915377267	108	|The big man looked into a face blotched with superficial burns and punctuated by tufts of singed beard . |	|Even the eyebrows had gone . |	|`` Bugger off , '' said the face . |	0										
0.132408687759128	75	|Money hinged on the fact . |	|Now the big man finished gnawing at the bone and tossed it into the grass , smiling ruefully . |	|`` There go all those little alleyways , '' he said . |	1	DEFAULT									
0.779847982679863	190	|It was closer now , and clearer in the pre-dawn light . |	|It looked for all the world like a -- `` A box on legs ? '' |	|he said . |	0										
0.846851416663861	192	|he said . |	|`` I 'll tell you about it , '' said Rincewind . |	|`` If there 's any wine , that is . '' |	2	Rincewind	DEFAULT								
0.945513544937657	68	|The smoke from the merry burning rose miles high , in a wind-sculpted black column that could be seen across the whole of the Discworld . |	|It was certainly impressive from the cool , dark hilltop a few leagues away , where two figures were watching with considerable interest . |	|The taller of the pair was chewing on a chicken leg and leaning on a sword that was only marginally shorter than the average man . |	0										
0.635587432967544	180	|`` What is it called then , this mighty magic ? '' |	|Rincewind shrugged . |	|`` In our tongue it is called reflected-sound-as-of-underground-spirits . |	1	Rincewind									
0.333244710095766	176	|I mean , it can turn gold into copper while at the same time it is still gold , it makes men rich by destroying their possessions , it allows the weak to walk fearlessly among thieves , it passes through the strongest doors to leach the most protected treasuries . |	|Even now it has me enslaved -- so that I must follow this madman willynilly and protect him from harm . |	|It 's stronger than you , Bravd . |	2	DEFAULT	DEFAULT								
0.549443597114211	130	|The wizard rubbed a red-raw hand across his eyes . |	|`` I was there when it started . |	|See him ? |	1	DEFAULT									
0.662312391301457	146	|`` In exchange for a story . '' |	|`` What 's his name ? '' |	|said Bravd , who tended to lag behind in conversations . |	1	DEFAULT									
0.188472766682094	196	|Someone more thoughtful than the rest had ordered to be shut the big river gates that were at the point where the Ankh flowed out of the twin city . |	|Denied its usual egress , the river had burst its banks and was pouring down the fire-ravaged streets . |	|Soon the continent of flame became a series of islands , each one growing smaller as the dark tide rose . |	0										
0.211727771249761	69	|It was certainly impressive from the cool , dark hilltop a few leagues away , where two figures were watching with considerable interest . |	|The taller of the pair was chewing on a chicken leg and leaning on a sword that was only marginally shorter than the average man . |	|If it was n't for the air of wary intelligence about him it might have been supposed that he was a barbarian from the Hubland wastes . |	0										
0.278718760392033	74	|The two had barely exchanged a word in the last twenty minutes except for a short and inconclusive argument as to whether a particularly powerful explosion had been the oil bond store or the workshop of Kerible the Enchanter . |	|Money hinged on the fact . |	|Now the big man finished gnawing at the bone and tossed it into the grass , smiling ruefully . |	0										
0.522725935289372	87	|`` It was no place to be in high summer . '' |	|`` That , too . |	|One ca n't help feeling , though , a -- well , a momentary -- '' He trailed off , then brightened . |	0										
0.316415588066912	177	|Even now it has me enslaved -- so that I must follow this madman willynilly and protect him from harm . |	|It 's stronger than you , Bravd . |	|It is , I think , more cunning even than you , Weasel . '' |	1	Bravd									
0.858628830748212	107	|The rider reined in his horse and drew back his hood . |	|The big man looked into a face blotched with superficial burns and punctuated by tufts of singed beard . |	|Even the eyebrows had gone . |	1	DEFAULT									
0.412078549202175	106	|`` Your pardon , sir -- '' he began . |	|The rider reined in his horse and drew back his hood . |	|The big man looked into a face blotched with superficial burns and punctuated by tufts of singed beard . |	1	DEFAULT									
0.49761229741005	155	|`` Deviled , '' said Weasel . |	|The wizard groaned . |	|`` That reminds me , '' added the Weasel , snapping his fingers , `` there was a really big explosion about , oh , half an hour ago -- '' `` That was the oil bond store going up , '' said Rincewind , wincing at the memory of the burning rain . |	1	DEFAULT									
0.61625227639687	160	|Rincewind did not look up from his chicken . |	|`` One of the things he ca n't do , he ca n't ride a horse , '' he said . |	|Then he stiffened as if sandbagged by a sudden recollection , gave a small yelp of terror and dashed into the gloom . |	2	Rincewind	DEFAULT								
0.527400501929223	113	|`` Just go away , will you ? '' |	|said the rider . |	|`` I just have n't got time for you , do you understand ? '' |	1	DEFAULT									
0.327910569585981	175	|Not the usual sort . |	|I mean , it can turn gold into copper while at the same time it is still gold , it makes men rich by destroying their possessions , it allows the weak to walk fearlessly among thieves , it passes through the strongest doors to leach the most protected treasuries . |	|Even now it has me enslaved -- so that I must follow this madman willynilly and protect him from harm . |	1	DEFAULT									
0.553739340452859	183	|Is there any wine ? '' |	|`` You must know that I am not without artifice where magic is concerned , '' said Weasel . |	|`` Only last year did I -- assisted by my friend there -- part the notoriously powerful Archmage of Ymitury from his staff , his belt of moon jewels and his life , in that approximate order . |	2	Weasel	DEFAULT								
0.556041832640646	170	|A power protects it . '' |	|`` A spell ? '' |	|said Weasel , squatting down . |	0										
0.579404367795116	86	|`` Rats , I 'll grant you . '' |	|`` It was no place to be in high summer . '' |	|`` That , too . |	0										
0.407382825033326	191	|It looked for all the world like a -- `` A box on legs ? '' |	|he said . |	|`` I 'll tell you about it , '' said Rincewind . |	1	Rincewind									
