Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.129586625065595	59	|He sat down and allowed himself a short pull from the waterbag . |	|He scanned the desert , looked up at the sun , which was now sliding down the far quadrant of the sky . |	|He got up , removed his gloves from his belt , and began to pull devil-grass for his own fire , which he laid over the ashes the man in black had left . |	1	DEFAULT									
0.92473028561378	176	|`` Spring 's under the eaves in back . |	|I 'll start dinner . '' |	|The gunslinger stepped gingerly over the rows of corn and went around back . |	1	DEFAULT									
0.044763069314732	121	|`` Screw you , '' Zoltan croaked brightly . |	|`` Screw you and the horse you rode in on . '' |	|The gunslinger nodded amiably . |	1	DEFAULT									
0.342683441354131	70	|Above , the stars were unwinking , also constant . |	|Suns and worlds by the million . |	|Dizzying constellations , cold fire in every primary hue . |	0										
0.579013211204869	163	|Brown nodded slowly . |	|`` I knew . |	|Are you ? '' |	1	Brown									
0.428765913090053	106	|`` Corn 's free , but you 'll have to kick something in for the beans . |	|A man brings them out once in a while . |	|He do n't stay long . '' |	0										
0.913506375039779	169	|They looked at each other , a sudden depth of feeling between them , the dweller upon his dust-puff-dry ground , the gunslinger on the hardpan that shelved down to the desert . |	|He reached for his flint . |	|`` Here . '' |	1	DEFAULT									
0.989948921035082	31	|His lips stretched in the pitted , flaked remains of his face . |	|He squatted . |	|He had burned the devil-grass , of course . |	1	DEFAULT									
0.678380564638947	28	|His pants were seam-stretched dungarees . |	|He breasted a gently rising dune -LRB- although there was no sand here ; the desert was hardpan , and even the harsh winds that blew when dark came raised only an aggravating harsh dust like scouring powder -RRB- and saw the kicked remains of a tiny campfire on the lee side , the side which the sun would quit earliest . |	|Small signs like this , once more affirming the man in black 's essential humanity , never failed to please him . |	1	DEFAULT									
0.519296426299717	133	|He hunkered down and brought out his makings . |	|Zoltan launched himself from Brown 's head and landed , flittering , on the gunslinger 's shoulder . |	|`` After the other one , I guess . '' |	2	Zoltan	Brown								
0.869382886906826	30	|Small signs like this , once more affirming the man in black 's essential humanity , never failed to please him . |	|His lips stretched in the pitted , flaked remains of his face . |	|He squatted . |	1	DEFAULT									
0.248323675784917	53	|That did n't matter either . |	|He stood up , brushing his hands . |	|No other trace ; the wind , razor-sharp , had of course filed away even what scant tracks the hardpan held . |	1	DEFAULT									
0.648587568343198	142	|Less than two months . |	|The bean man 's been twice since he passed . |	|I 'd guess six weeks . |	1	DEFAULT									
0.470042248626908	186	|A crazy or a rotter would n't do it ; Brown was neither . |	|Yet he liked Brown , and so he pushed the thought out of his mind and got the rest of his water . |	|What came , came . |	2	DEFAULT	Brown								
0.374300787872068	58	|Only these cold campfires along the ancient highway and the relentless range-finder in his own head . |	|He sat down and allowed himself a short pull from the waterbag . |	|He scanned the desert , looked up at the sun , which was now sliding down the far quadrant of the sky . |	1	DEFAULT									
0.971967842766233	196	|The gunslinger grunted a laugh and sat down with his back against one rude wall , folded his arms and closed his eyes . |	|After a little , the smell of roasting corn came to his nose . |	|There was a pebbly rattle as Brown dumped a paper of dry beans into the pot An occasional tak-tak-tak as Zoltan walked restlessly on the roof . |	1	DEFAULT									
0.081606518786231	79	|The fire burned its steady , slow flame , and phantoms danced in its incandescent core . |	|The gunslinger did not see . |	|He slept . |	1	DEFAULT									
0.010347167166898	56	|He had never even been able to find his quarry 's droppings . |	|Nothing . |	|Only these cold campfires along the ancient highway and the relentless range-finder in his own head . |	0										
0.370828806173092	110	|`` Afraid of spirits . '' |	|`` I expect he thinks you 're one . '' |	|`` I expect he does . '' |	2	DEFAULT	DEFAULT								
0.397375899246559	108	|He do n't stay long . '' |	|The dweller laughed shortly . |	|`` Afraid of spirits . '' |	1	DEFAULT									
0.788452895910005	13	|He was fifth . |	|So he was thirsty , although he had no particular urge to drink . |	|In a vague way , all this pleased him . |	1	DEFAULT									
0.135655027577742	48	|Or maybe even , Eat at Joe 's . |	|It did n't matter . |	|He had no understanding of the ideograms , if they were ideograms . |	0										
0.413943236801773	183	|`` Screw you and the horse you rode in on , '' he advised . |	|He looked up , startled . |	|The shaft was about fifteen feet deep : easy enough for Brown to drop a rock on him , break his head , and steal everything on him . |	1	DEFAULT									
0.397209217876078	210	|Tak-tak-tak . |	|-- Lend me your wings , bird . |	|I 'll spread them and fly on the thermals . |	1	DEFAULT									
0.639969573540648	10	|He had progressed through the khef over many years , and had reached the fifth level . |	|At the seventh or eighth , he would not have been thirsty ; he could have watched own body dehydrate with clinical , detached attention , watering its crevices and dark inner hollows only when his logic told him it must be done . |	|He was not seventh or eighth . |	1	DEFAULT									
0.191158117912092	109	|The dweller laughed shortly . |	|`` Afraid of spirits . '' |	|`` I expect he thinks you 're one . '' |	0										
0.763669483820388	181	|The water was clear but slow-moving , and filling the skins was a long chore . |	|While he was topping the second , Zoltan perched on the lip of the well . |	|`` Screw you and the horse you rode in on , '' he advised . |	2	DEFAULT	Zoltan								
0.258443276660879	116	|The gunslinger shook his hand . |	|As he did so , a scrawny raven croaked from the low peak of the sod roof . |	|The dweller gestured at it briefly : `` That 's Zoltan . '' |	1	DEFAULT									
0.463128733430075	96	|The mule let out a wheezing grunt and the dweller looked up , glaring blue eyes coming target-center on the gunslinger in a moment He raised both hands in curt salute and then bent to the corn again , humping up the row next to his hut with back bent , tossing devil-grass and an occasional stunted corn plant over his shoulder . |	|His hair flopped and flew in the wind that now came directly from the desert , with nothing to break it . |	|The gunslinger came down the hill slowly , leading the donkey on which his waterskins sloshed . |	1	DEFAULT									
0.362932940170279	26	|There was no need to make noise in the sterility of the desert His clothes were the no-color of rain or dust . |	|His shirt was open at the throat , with a rawhide thong dangling loosely in hand-punched eyelets . |	|His pants were seam-stretched dungarees . |	1	DEFAULT									
0.858352807454249	185	|The shaft was about fifteen feet deep : easy enough for Brown to drop a rock on him , break his head , and steal everything on him . |	|A crazy or a rotter would n't do it ; Brown was neither . |	|Yet he liked Brown , and so he pushed the thought out of his mind and got the rest of his water . |	1	Brown									
0.195802161757145	88	|The huddles had degenerated into single dwellings , most inhabited by lepers or madmen . |	|He found the madmen better company . |	|One had given him a stainless steel Silva compass and bade him give it to Jesus . |	1	DEFAULT									
0.635466024309523	44	|He had not found a can , a bottle , or a waterbag -LRB- the gunslinger had left four of those behind , like dead snake-skins -RRB- . |	|-- Perhaps the campfires are a message , spelled out letter by letter . |	|Take a powder . |	0										
0.505933464785336	61	|He got up , removed his gloves from his belt , and began to pull devil-grass for his own fire , which he laid over the ashes the man in black had left . |	|He found the irony , like the romance of his thirst , bitterly appealing . |	|He did not use the flint and steel until the remains of the day were only the fugitive heat in the ground beneath him and a sardonic orange line on the monochrome western horizon . |	1	DEFAULT									
0.186045066922035	82	|The two patterns , art and craft , were welded together . |	|The wind moaned . |	|Every now and then a perverse downdraft would make the smoke whirl and eddy toward him , and sporadic whiffs of the smoke touched him . |	0										
0.555132244111578	213	|He slept III Brown woke him up five hours later . |	|It was dark . |	|The only light was the dull cherry glare of the banked embers . |	0										
0.036666238160355	123	|The gunslinger nodded amiably . |	|`` Beans , beans , the musical fruit , '' the raven recited , inspired . |	|`` The more you eat , the more you toot '' `` You teach him that ? '' |	0										
0.026827308885598	164	|`` I knew . |	|Are you ? '' |	|`` I 'm just a man . '' |	1	DEFAULT									
0.08076775031223	128	|His eyes traveled out beyond the hut for a moment , toward the gritty , featureless hardpan . |	|`` Guess this ai n't Lord 's Prayer country . |	|You 're a gunslinger . |	0										
