Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.510375525697984	683	|Part I Ambition `` Why , I can smile , and murder whiles I smile And cry ` Content ' to that which grieves my heart , And wet my cheeks with artificial tears , And frame my face to all occasions . '' |	|King Henry VI , Part III Chapter One The Don Salvara Game 1 LOCKE LAMORA 'S RULE of thumb was this : a good confidence game took three months to plan , three weeks to rehearse , and three seconds to win or lose the victim 's trust forever . |	|This time around , he planned to spend those three seconds getting strangled . |	3	Henry VI	Don Lorenzo Salvara	Locke Lamora							
0.036055967995301	684	|King Henry VI , Part III Chapter One The Don Salvara Game 1 LOCKE LAMORA 'S RULE of thumb was this : a good confidence game took three months to plan , three weeks to rehearse , and three seconds to win or lose the victim 's trust forever . |	|This time around , he planned to spend those three seconds getting strangled . |	|Locke was on his knees , and Calo , standing behind him , had a hemp rope coiled three times around his neck . |	1	Locke Lamora									
0.625780505688029	685	|This time around , he planned to spend those three seconds getting strangled . |	|Locke was on his knees , and Calo , standing behind him , had a hemp rope coiled three times around his neck . |	|The rough stuff looked impressive , and it would leave Locke 's throat a very credible shade of red . |	2	Locke Lamora	Calo Sanza								
0.110713995539395	686	|Locke was on his knees , and Calo , standing behind him , had a hemp rope coiled three times around his neck . |	|The rough stuff looked impressive , and it would leave Locke 's throat a very credible shade of red . |	|No genuine Camorri assassin old enough to waddle in a straight line would garrote with anything but silk or wire , of course -LRB- the better to crease the victim 's windpipe -RRB- . |	1	Locke Lamora									
0.025732530094208	687	|The rough stuff looked impressive , and it would leave Locke 's throat a very credible shade of red . |	|No genuine Camorri assassin old enough to waddle in a straight line would garrote with anything but silk or wire , of course -LRB- the better to crease the victim 's windpipe -RRB- . |	|Yet if Don Lorenzo Salvara could tell a fake strangling from the real thing in the blink of an eye at thirty paces , they 'd badly misjudged the man they planned to rob and the whole game would be shot anyway . |	0										
0.327442123764955	688	|No genuine Camorri assassin old enough to waddle in a straight line would garrote with anything but silk or wire , of course -LRB- the better to crease the victim 's windpipe -RRB- . |	|Yet if Don Lorenzo Salvara could tell a fake strangling from the real thing in the blink of an eye at thirty paces , they 'd badly misjudged the man they planned to rob and the whole game would be shot anyway . |	|`` Can you see him yet ? |	1	Don Lorenzo Salvara									
0.531738477292939	689	|Yet if Don Lorenzo Salvara could tell a fake strangling from the real thing in the blink of an eye at thirty paces , they 'd badly misjudged the man they planned to rob and the whole game would be shot anyway . |	|`` Can you see him yet ? |	|Or Bug 's signal ? '' |	2	DEFAULT	DEFAULT								
0.586856519920835	690	|`` Can you see him yet ? |	|Or Bug 's signal ? '' |	|Locke hissed his question as lightly as he could , then made a few impressive gurgling sounds . |	1	Bug									
0.280483661091655	691	|Or Bug 's signal ? '' |	|Locke hissed his question as lightly as he could , then made a few impressive gurgling sounds . |	|`` No signal . |	1	Locke Lamora									
0.781889351170291	692	|Locke hissed his question as lightly as he could , then made a few impressive gurgling sounds . |	|`` No signal . |	|No Don Salvara . |	0										
0.687251527245747	693	|`` No signal . |	|No Don Salvara . |	|Can you breathe ? '' |	1	Don Lorenzo Salvara									
0.499410207026609	694	|No Don Salvara . |	|Can you breathe ? '' |	|`` Fine , just fine , '' Locke whispered , `` but shake me some more . |	1	Locke Lamora									
0.623763760609288	695	|Can you breathe ? '' |	|`` Fine , just fine , '' Locke whispered , `` but shake me some more . |	|That 's the convincer . '' |	1	Locke Lamora									
0.048163735073346	696	|`` Fine , just fine , '' Locke whispered , `` but shake me some more . |	|That 's the convincer . '' |	|They were in the dead-end alley beside the old Temple of Fortunate Waters ; the temple 's prayer waterfalls could be heard gushing somewhere behind the high plaster wall . |	0										
0.39455298923414	697	|That 's the convincer . '' |	|They were in the dead-end alley beside the old Temple of Fortunate Waters ; the temple 's prayer waterfalls could be heard gushing somewhere behind the high plaster wall . |	|Locke clutched once again at the harmless coils of rope circling his neck and spared a glance for the horse staring at him from just a few paces away , laden down with a rich-looking cargo of merchant 's packs . |	0										
0.902802323939627	698	|They were in the dead-end alley beside the old Temple of Fortunate Waters ; the temple 's prayer waterfalls could be heard gushing somewhere behind the high plaster wall . |	|Locke clutched once again at the harmless coils of rope circling his neck and spared a glance for the horse staring at him from just a few paces away , laden down with a rich-looking cargo of merchant 's packs . |	|The poor dumb animal was Gentled ; there was neither curiosity nor fear behind the milk-white shells of its unblinking eyes . |	1	Locke Lamora									
0.358869347803359	699	|Locke clutched once again at the harmless coils of rope circling his neck and spared a glance for the horse staring at him from just a few paces away , laden down with a rich-looking cargo of merchant 's packs . |	|The poor dumb animal was Gentled ; there was neither curiosity nor fear behind the milk-white shells of its unblinking eyes . |	|It would n't have cared even had the strangling been real . |	0										
0.014785811965952	700	|The poor dumb animal was Gentled ; there was neither curiosity nor fear behind the milk-white shells of its unblinking eyes . |	|It would n't have cared even had the strangling been real . |	|Precious seconds passed ; the sun was high and bright in a sky scalded free of clouds , and the grime of the alley clung like wet cement to the legs of Locke 's breeches . |	0										
0.587695630380836	701	|It would n't have cared even had the strangling been real . |	|Precious seconds passed ; the sun was high and bright in a sky scalded free of clouds , and the grime of the alley clung like wet cement to the legs of Locke 's breeches . |	|Nearby , Jean Tannen lay in the same moist muck while Galdo pretended -LRB- mostly -RRB- to kick his ribs in . |	1	Locke Lamora									
0.550709041161511	702	|Precious seconds passed ; the sun was high and bright in a sky scalded free of clouds , and the grime of the alley clung like wet cement to the legs of Locke 's breeches . |	|Nearby , Jean Tannen lay in the same moist muck while Galdo pretended -LRB- mostly -RRB- to kick his ribs in . |	|He 'd been merrily kicking away for at least a minute , just as long as his twin brother had supposedly been strangling Locke . |	2	Jean Tannen	Galdo Sanza								
0.501171225897779	703	|Nearby , Jean Tannen lay in the same moist muck while Galdo pretended -LRB- mostly -RRB- to kick his ribs in . |	|He 'd been merrily kicking away for at least a minute , just as long as his twin brother had supposedly been strangling Locke . |	|Don Salvara was supposed to pass the mouth of the alley at any second and , ideally , rush in to rescue Locke and Jean from their `` assailants . '' |	2	Galdo Sanza									
0.3619143558444	704	|He 'd been merrily kicking away for at least a minute , just as long as his twin brother had supposedly been strangling Locke . |	|Don Salvara was supposed to pass the mouth of the alley at any second and , ideally , rush in to rescue Locke and Jean from their `` assailants . '' |	|At this rate , he would end up rescuing them from boredom . |	3	Don Lorenzo Salvara	Locke Lamora	Jean Tannen							
0.497669022764267	705	|Don Salvara was supposed to pass the mouth of the alley at any second and , ideally , rush in to rescue Locke and Jean from their `` assailants . '' |	|At this rate , he would end up rescuing them from boredom . |	|`` Gods , '' Calo whispered , bending his mouth to Locke 's ear as though he might be hissing some demand , `` where the hell is that damn Salvara ? |	1	Don Lorenzo Salvara									
0.276743928057232	706	|At this rate , he would end up rescuing them from boredom . |	|`` Gods , '' Calo whispered , bending his mouth to Locke 's ear as though he might be hissing some demand , `` where the hell is that damn Salvara ? |	|And where 's Bug ? |	2	Calo Sanza	Locke Lamora								
0.584849682207718	707	|`` Gods , '' Calo whispered , bending his mouth to Locke 's ear as though he might be hissing some demand , `` where the hell is that damn Salvara ? |	|And where 's Bug ? |	|We ca n't keep this shit up all day ; other people do walk by the mouth of this damned alley ! '' |	1	Bug									
0.506783354244817	708	|And where 's Bug ? |	|We ca n't keep this shit up all day ; other people do walk by the mouth of this damned alley ! '' |	|`` Keep strangling me , '' Locke whispered . |	0										
0.765881629171839	709	|We ca n't keep this shit up all day ; other people do walk by the mouth of this damned alley ! '' |	|`` Keep strangling me , '' Locke whispered . |	|`` Just think of twenty thousand full crowns and keep strangling me . |	1	Locke Lamora									
0.866646445752385	710	|`` Keep strangling me , '' Locke whispered . |	|`` Just think of twenty thousand full crowns and keep strangling me . |	|I can choke all day if I have to . '' |	1	Locke Lamora									
0.377387984318247	711	|`` Just think of twenty thousand full crowns and keep strangling me . |	|I can choke all day if I have to . '' |	|2 EVERYTHING HAD gone beautifully that morning in the run-up to the game itself , even allowing for the natural prickliness of a young thief finally allowed a part in his first big score . |	1	DEFAULT									
0.867666811476928	712	|I can choke all day if I have to . '' |	|2 EVERYTHING HAD gone beautifully that morning in the run-up to the game itself , even allowing for the natural prickliness of a young thief finally allowed a part in his first big score . |	|`` Of course I know where I 'm supposed to be when the action starts , '' Bug whined . |	0										
0.68485107763773	713	|2 EVERYTHING HAD gone beautifully that morning in the run-up to the game itself , even allowing for the natural prickliness of a young thief finally allowed a part in his first big score . |	|`` Of course I know where I 'm supposed to be when the action starts , '' Bug whined . |	|`` I 've spent more time perched up on that temple roof than I did in my mother 's gods-damned womb ! '' |	1	Bug									
0.962173302358447	714	|`` Of course I know where I 'm supposed to be when the action starts , '' Bug whined . |	|`` I 've spent more time perched up on that temple roof than I did in my mother 's gods-damned womb ! '' |	|Jean Tannen let his right hand trail in the warm water of the canal while he took another bite of the sour marsh apple held in his left . |	1	Bug									
0.489907095059214	715	|`` I 've spent more time perched up on that temple roof than I did in my mother 's gods-damned womb ! '' |	|Jean Tannen let his right hand trail in the warm water of the canal while he took another bite of the sour marsh apple held in his left . |	|The forward gunwale of the flat-bottomed barge was a choice spot for relaxation in the watered-wine light of early morning , allowing all sixteen stone of Jean 's frame to sprawl comfortably -- keg belly , heavy arms , bandy legs , and all . |	1	Jean Tannen									
0.160493404741785	716	|Jean Tannen let his right hand trail in the warm water of the canal while he took another bite of the sour marsh apple held in his left . |	|The forward gunwale of the flat-bottomed barge was a choice spot for relaxation in the watered-wine light of early morning , allowing all sixteen stone of Jean 's frame to sprawl comfortably -- keg belly , heavy arms , bandy legs , and all . |	|The only other person -LRB- and the one doing all of the work -RRB- in the empty barge was Bug : a lanky , mop-headed twelve-year-old braced against the steering pole at the stern . |	1	Jean Tannen									
0.351981761156535	717	|The forward gunwale of the flat-bottomed barge was a choice spot for relaxation in the watered-wine light of early morning , allowing all sixteen stone of Jean 's frame to sprawl comfortably -- keg belly , heavy arms , bandy legs , and all . |	|The only other person -LRB- and the one doing all of the work -RRB- in the empty barge was Bug : a lanky , mop-headed twelve-year-old braced against the steering pole at the stern . |	|`` Your mother was in an understandable hurry to get rid of you , Bug . '' |	1	Bug									
0.585616343909362	718	|The only other person -LRB- and the one doing all of the work -RRB- in the empty barge was Bug : a lanky , mop-headed twelve-year-old braced against the steering pole at the stern . |	|`` Your mother was in an understandable hurry to get rid of you , Bug . '' |	|Jean 's voice was soft and even and wildly incongruous . |	1	Bug									
0.834658380515704	719	|`` Your mother was in an understandable hurry to get rid of you , Bug . '' |	|Jean 's voice was soft and even and wildly incongruous . |	|He spoke like a teacher of music or a copier of scrolls . |	1	Jean Tannen									
0.161945148805527	720	|Jean 's voice was soft and even and wildly incongruous . |	|He spoke like a teacher of music or a copier of scrolls . |	|`` We 're not . |	1	Jean Tannen									
0.484943247002516	721	|He spoke like a teacher of music or a copier of scrolls . |	|`` We 're not . |	|So indulge me once more with proof of your penetrating comprehension of our game . '' |	0										
0.958075262739504	722	|`` We 're not . |	|So indulge me once more with proof of your penetrating comprehension of our game . '' |	|`` Dammit , '' Bug replied , giving the barge another push against the gentle current of the seaward-flowing canal . |	2	DEFAULT	Bug								
0.284596333664354	723	|So indulge me once more with proof of your penetrating comprehension of our game . '' |	|`` Dammit , '' Bug replied , giving the barge another push against the gentle current of the seaward-flowing canal . |	|`` You and Locke and Calo and Galdo are down in the alley between Fortunate Waters and the gardens for the Temple of Nara , right ? |	1	Bug									
0.755854601841775	724	|`` Dammit , '' Bug replied , giving the barge another push against the gentle current of the seaward-flowing canal . |	|`` You and Locke and Calo and Galdo are down in the alley between Fortunate Waters and the gardens for the Temple of Nara , right ? |	|I 'm up on the roof of the temple across the way . '' |	4	DEFAULT	Locke Lamora	Calo Sanza	Galdo						
0.928576029158674	725	|`` You and Locke and Calo and Galdo are down in the alley between Fortunate Waters and the gardens for the Temple of Nara , right ? |	|I 'm up on the roof of the temple across the way . '' |	|`` Go on , '' Jean said around a mouthful of marsh apple . |	1	DEFAULT									
0.411650630270425	726	|I 'm up on the roof of the temple across the way . '' |	|`` Go on , '' Jean said around a mouthful of marsh apple . |	|`` Where 's Don Salvara ? '' |	1	Jean Tannen									
0.037809253997282	727	|`` Go on , '' Jean said around a mouthful of marsh apple . |	|`` Where 's Don Salvara ? '' |	|Other barges , heavily laden with everything from ale casks to bleating cows , were slipping past the two of them on the clay-colored water of the canal . |	1	Don Lorenzo Salvara									
0.842428990375142	728	|`` Where 's Don Salvara ? '' |	|Other barges , heavily laden with everything from ale casks to bleating cows , were slipping past the two of them on the clay-colored water of the canal . |	|Bug was poling them north along Camorr 's main commercial waterway , the Via Camorrazza , toward the Shifting Market , and the city was lurching into life around them . |	0										
0.792692970039549	729	|Other barges , heavily laden with everything from ale casks to bleating cows , were slipping past the two of them on the clay-colored water of the canal . |	|Bug was poling them north along Camorr 's main commercial waterway , the Via Camorrazza , toward the Shifting Market , and the city was lurching into life around them . |	|The leaning gray tenements of water-slick stone were spitting their inhabitants out into the sunlight and the rising summer warmth . |	1	Bug									
0.099557197786458	730	|Bug was poling them north along Camorr 's main commercial waterway , the Via Camorrazza , toward the Shifting Market , and the city was lurching into life around them . |	|The leaning gray tenements of water-slick stone were spitting their inhabitants out into the sunlight and the rising summer warmth . |	|The month was Parthis , meaning that the night-sweat of condensation already boiling off the buildings as a soupy mist would be greatly missed by the cloudless white heat of early afternoon . |	0										
0.634453976700772	731	|The leaning gray tenements of water-slick stone were spitting their inhabitants out into the sunlight and the rising summer warmth . |	|The month was Parthis , meaning that the night-sweat of condensation already boiling off the buildings as a soupy mist would be greatly missed by the cloudless white heat of early afternoon . |	|`` He 's coming out of the Temple of Fortunate Waters , like he does every Penance Day right around noon . |	0										
0.015213307574872	732	|The month was Parthis , meaning that the night-sweat of condensation already boiling off the buildings as a soupy mist would be greatly missed by the cloudless white heat of early afternoon . |	|`` He 's coming out of the Temple of Fortunate Waters , like he does every Penance Day right around noon . |	|He 's got two horses and one man with him , if we 're lucky . '' |	1	DEFAULT									
0.672811417278932	733	|`` He 's coming out of the Temple of Fortunate Waters , like he does every Penance Day right around noon . |	|He 's got two horses and one man with him , if we 're lucky . '' |	|`` A curious ritual , '' Jean said . |	1	DEFAULT									
0.730974032984403	734	|He 's got two horses and one man with him , if we 're lucky . '' |	|`` A curious ritual , '' Jean said . |	|`` Why would he do a thing like that ? '' |	1	Jean Tannen									
0.281314397805245	735	|`` A curious ritual , '' Jean said . |	|`` Why would he do a thing like that ? '' |	|`` Deathbed promise to his mother . '' |	1	DEFAULT									
0.790590573847823	736	|`` Why would he do a thing like that ? '' |	|`` Deathbed promise to his mother . '' |	|Bug drove his pole down into the canal , struggled against it for a moment , and managed to shove them along once more . |	1	DEFAULT									
0.682638556684516	737	|`` Deathbed promise to his mother . '' |	|Bug drove his pole down into the canal , struggled against it for a moment , and managed to shove them along once more . |	|`` She kept the Vadran religion after she married the old Don Salvara . |	1	Bug									
0.039052362894136	738	|Bug drove his pole down into the canal , struggled against it for a moment , and managed to shove them along once more . |	|`` She kept the Vadran religion after she married the old Don Salvara . |	|So he leaves an offering at the Vadran temple once a week and gets home as fast as he can so nobody pays too much attention to him . |	2	DEFAULT	Don Lorenzo Salvara								
0.071480306284475	739	|`` She kept the Vadran religion after she married the old Don Salvara . |	|So he leaves an offering at the Vadran temple once a week and gets home as fast as he can so nobody pays too much attention to him . |	|Dammit , Jean , I already know this shit . |	1	Don Lorenzo Salvara									
0.773458591213478	740	|So he leaves an offering at the Vadran temple once a week and gets home as fast as he can so nobody pays too much attention to him . |	|Dammit , Jean , I already know this shit . |	|Why would I be here if you did n't trust me ? |	1	Jean Tannen									
0.51779103613797	741	|Dammit , Jean , I already know this shit . |	|Why would I be here if you did n't trust me ? |	|And why am I the one who gets to push this stupid barge all the way to the market ? '' |	2	Jean Tannen	DEFAULT								
0.108586860571815	742	|Why would I be here if you did n't trust me ? |	|And why am I the one who gets to push this stupid barge all the way to the market ? '' |	|`` Oh , you can stop poling the barge any time you can beat me hand to hand three falls out of five . '' |	1	DEFAULT									
0.715798620529117	743	|And why am I the one who gets to push this stupid barge all the way to the market ? '' |	|`` Oh , you can stop poling the barge any time you can beat me hand to hand three falls out of five . '' |	|Jean grinned , showing two rows of crooked brawler 's teeth in a face that looked as though someone had set it on an anvil and tried to pound it into a more pleasing shape . |	2	DEFAULT	Jean Tannen								
0.008201906180434	744	|`` Oh , you can stop poling the barge any time you can beat me hand to hand three falls out of five . '' |	|Jean grinned , showing two rows of crooked brawler 's teeth in a face that looked as though someone had set it on an anvil and tried to pound it into a more pleasing shape . |	|`` Besides , you 're an apprentice in a proud trade , learning under the finest and most demanding masters it has to offer . |	1	Jean Tannen									
0.317334244110161	745	|Jean grinned , showing two rows of crooked brawler 's teeth in a face that looked as though someone had set it on an anvil and tried to pound it into a more pleasing shape . |	|`` Besides , you 're an apprentice in a proud trade , learning under the finest and most demanding masters it has to offer . |	|Getting all the shit-work is excellent for your moral education . '' |	1	DEFAULT									
0.428572419997029	746	|`` Besides , you 're an apprentice in a proud trade , learning under the finest and most demanding masters it has to offer . |	|Getting all the shit-work is excellent for your moral education . '' |	|`` You have n't given me any bloody moral education . '' |	1	DEFAULT									
0.608485100406488	747	|Getting all the shit-work is excellent for your moral education . '' |	|`` You have n't given me any bloody moral education . '' |	|`` Yes . |	2	DEFAULT	DEFAULT								
0.353790147888342	748	|`` You have n't given me any bloody moral education . '' |	|`` Yes . |	|Well , that 's probably because Locke and I have been dodging our own for most of our lives now . |	0										
0.644803026050157	749	|`` Yes . |	|Well , that 's probably because Locke and I have been dodging our own for most of our lives now . |	|As for why we 're going over the plan again , let me remind you that one good screwup will make the fate of those poor bastards look sunny in comparison to what we 'll get . '' |	2	Locke Lamora	DEFAULT								
0.583584240063846	750	|Well , that 's probably because Locke and I have been dodging our own for most of our lives now . |	|As for why we 're going over the plan again , let me remind you that one good screwup will make the fate of those poor bastards look sunny in comparison to what we 'll get . '' |	|Jean pointed at one of the city 's slop wagons , halted on a canal-side boulevard to receive a long dark stream of night soil from the upper window of a public alehouse . |	2	Jean Tannen	DEFAULT								
0.604546670431293	751	|As for why we 're going over the plan again , let me remind you that one good screwup will make the fate of those poor bastards look sunny in comparison to what we 'll get . '' |	|Jean pointed at one of the city 's slop wagons , halted on a canal-side boulevard to receive a long dark stream of night soil from the upper window of a public alehouse . |	|These wagons were crewed by petty criminals whose offenses were too meager to justify continual incarceration in the Palace of Patience . |	1	Jean Tannen									
