Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.703341449503041	135	|Carter stepped into the light , his face pale and smeared with blood . |	|He clutched an old saddle blanket to his chest . |	|It was an odd , awkward shape , as if it were wrapped around a tangle of kindling sticks . |	1	Carter									
0.320464128777908	56	|The innkeeper appeared with five bowls of stew and two warm , round loaves of bread . |	|He pulled more beer for Jake , Shep , and Old Cob , moving with an air of bustling efficiency . |	|The story was set aside while the men tended to their dinners . |	4	DEFAULT	Jake	Shep	Old Cob						
0.084567484113062	319	|It 's almost steel . '' |	|`` He 's right , '' the smith 's prentice said . |	|`` Except it 's not carbon . |	2	DEFAULT	DEFAULT								
0.263559271903715	224	|No , of course not . '' |	|Seeing that he was the only one within arm 's length of the dark thing , he took a measured step away . |	|`` Just something I heard . '' |	1	DEFAULT									
0.037810591518653	149	|What happened to you ? |	|Sit down . '' |	|Carter shook his head stubbornly . |	0										
0.519866825790067	317	|`` I do n't want good iron , '' the innkeeper said . |	|`` A drab has too much carbon in it . |	|It 's almost steel . '' |	0										
0.512576236109209	211	|Their eyes pulled away from the thing on the table to stare mutely at the red-haired man . |	|Jake found his voice first . |	|`` You know what this is ? '' |	1	Jake									
0.760955222919391	252	|Shep said darkly . |	|The innkeeper continued to eye the thing curiously . |	|He leaned closer , stretching out a hand . |	1	DEFAULT									
0.936018165037951	261	|`` Do n't go messing with it , '' the smith 's prentice said . |	|Moving carefully , the innkeeper took one of the long , smooth legs and tried to break it with both hands like a stick . |	|`` Not pottery , '' he amended . |	1	DEFAULT									
0.436955876390024	307	|`` There 's one way to tell for sure , '' he said , reaching into his pocket . |	|`` Iron or fire . '' |	|He brought out a bulging leather purse . |	0										
0.445824998285983	325	|`` You 'd know best , young master . |	|It 's your business after all . '' |	|His long fingers finally found a shim in the pile of coins . |	1	DEFAULT									
0.608222458933139	324	|The innkeeper nodded deferentially to the boy . |	|`` You 'd know best , young master . |	|It 's your business after all . '' |	1	DEFAULT									
0.476835112236576	201	|It was a spider as large as a wagon wheel , black as slate . |	|The smith 's prentice jumped backward and hit a table , knocking it over and almost falling to the ground himself . |	|Cob 's face went slack . |	1	DEFAULT									
0.56746629877614	71	|`` He did n't ! '' |	|Cob nodded seriously . |	|`` So Taborlin fell , but he did not despair . |	1	Old Cob									
0.222348711535334	57	|He pulled more beer for Jake , Shep , and Old Cob , moving with an air of bustling efficiency . |	|The story was set aside while the men tended to their dinners . |	|Old Cob tucked away his bowl of stew with the predatory efficiency of a lifetime bachelor . |	0										
0.264223373183515	127	|`` Though every half-wit claims he knows ... . '' |	|The story fell further into bickering at this point , about the nature of the Chandrian , the signs that showed their presence to the wary , and whether the amulet would protect Taborlin from bandits , or mad dogs , or falling off a horse . |	|Things were getting heated when the front door banged open . |	1	Taborlin									
0.728131456441108	171	|A moment of serious silence followed the news . |	|The smith 's prentice laid a sympathetic hand on Carter 's shoulder . |	|`` Damn . |	2	DEFAULT	Carter								
0.976031178731009	271	|`` It jumped out of a tree and started to climb all over her , cutting her up with its feet . |	|It moved so fast . |	|I did n't even know what was going on . '' |	0										
