Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.236885388248294	30	|She could never fool him , but she always knew what to say just the same . |	|A pillar of greasy smoke told them more than they wanted to know long before they reached their destination . |	|They were burning the dead . |	0										
0.409100925737586	44	|Her long gray hair was pulled into a tight bun , and she wore her shawl like a badge of office . |	|She brooked no nonsense , as Arlen had learned more than once at the end of her stick , but today he was comforted by her presence . |	|Like Arlen 's father , something about Selia made him feel safe . |	2	Selia	Arlen								
0.388389244166708	256	|`` Do you have a wife , Ragen ? '' |	|she asked . |	|`` Ay , '' the Messenger said , `` though to her pleasure and my pain , I see my mare more than my bride . '' |	1	DEFAULT									
0.181417153377394	246	|And what of our letters ? '' |	|`` Sorry , maâ€™am , '' Ragen said . |	|`` Your towns are well off the common roads , and paying a Messenger to commit for a month and more of travel each year is costly . |	2	DEFAULT	Ragen								
0.428556808954013	37	|Fifteen houses , all reduced to rubble and ash . |	|`` The woodpiles , too , '' Arlen 's father said , spitting over the side of the cart . |	|He gestured with his chin toward the blackened ruin that remained of a season 's cutting . |	1	Arlen									
0.486258057449057	149	|They were finishing a cold midday meal when a horn sounded on the far side of the Brook . |	|`` Not two in one day ? '' |	|Silvy gasped , covering her mouth . |	0										
0.517194536256695	70	|No one had ever run so far and lived . |	|`` The wards on Brine Cutter 's house held for most of the night , '' Selia went on . |	|`` He and his family watched everything . |	1	Brine Cutter	Selia								
0.661999818625348	126	|Immediately , everyone dropped what they were doing and rushed over . |	|Clearing the rubble would take too long , so the men began to dig , bending their backs with silent fervor . |	|Soon after , they broke through the side of the cellar , and began hauling out the survivors . |	0										
0.403056429750522	162	|`` They prob ' ly saw the smoke . |	|Keven 's telling â€™em what 's happened and where everyone is . '' |	|`` A Messenger in spring ? '' |	1	Keven									
0.473625816992859	127	|Clearing the rubble would take too long , so the men began to dig , bending their backs with silent fervor . |	|Soon after , they broke through the side of the cellar , and began hauling out the survivors . |	|They were filthy and terrified , but all were very much alive . |	0										
0.753796718816395	82	|`` We 'll dig them out , '' Jeph agreed grimly , looking at the collapsed houses , many still smoldering . |	|The cutters built their homes mostly out of stone to protect against fire , but even stone would burn if the wards failed and enough flame demons gathered in one place . |	|Jeph joined the other men and a few of the stronger women in clearing the rubble and carting the dead to the pyre . |	0										
0.420114050789798	119	|Cobie was the first one struck , a hard blow that left him crying in the dirt with blood running from his ear . |	|Willum received a broken finger , and Gart walked with a limp for over a week . |	|It had done nothing to improve Arlen 's popularity among the other children , and Arlen 's father had caned him , but the other boys never bothered him again . |	2	Willum	Gart								
0.826652865809025	221	|`` Not you , Arlen , '' Selia said . |	|`` Come here . '' |	|Arlen pulled his eyes from the Jongleur and went to her as the Messenger arrived . |	0										
0.686859316944607	2	|Arlen paused in his work , looking up at the lavender wash of the dawn sky . |	|Mist still clung to the air , bringing with it a damp , acrid taste that was all too familiar . |	|A quiet dread built in his gut as he waited in the morning stillness , hoping that it had been his imagination . |	0										
