Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.64178957904432	156	|Maybe it will turn out to be true . '' |	|Kalak watched Jezrien depart across the burned landscape . |	|Finally , he summoned his own Blade and slammed it into the stone beside the other eight . |	2	Kalak	Jezrien								
0.284333987128751	39	|The survivors would make their way here . |	|Oddly , only one of the others was waiting for him . |	|Jezrien . |	1	DEFAULT									
0.467880087280085	37	|The place of meeting was in the shadow of a large rock formation , a spire rising into the sky . |	|As always , the ten of them had decided upon it before the battle . |	|The survivors would make their way here . |	0										
0.63137477533538	74	|Kalak nodded . |	|Taln had a tendency to choose seemingly hopeless fights and win them . |	|He also had a tendency to die in the process . |	1	Taln									
0.660435322676612	259	|Loose white trousers tied at the waist with a rope , and over them a filmy shirt with long sleeves , open at the front . |	|White clothing for a killer was a tradition among the Parshendi . |	|Although Szeth had not asked , his masters had explained why . |	0										
0.154291368699531	275	|Double guard , for there were savages abroad in Kholinar this night . |	|True , those savages were supposed to be allies now . |	|But alliances could be shallow things indeed . |	0										
0.141474036462313	292	|It streamed into him , siphoned from the twin sapphire lamps on the walls , sucked in as if by his deep inhalation . |	|The Stormlight raged inside of him , and the hallway suddenly grew darker , falling into shade like a hilltop cut off from the sun by a transient cloud . |	|Szeth could feel the Light 's warmth , its fury , like a tempest that had been injected directly into his veins . |	1	Szeth									
0.863353589930993	201	|As he walked , Szeth was forced to step around Dalinar Kholin -- the king 's own brother -- who slumped drunken at a small table . |	|The aging but powerfully built man kept waving away those who tried to encourage him to bed . |	|Where was Jasnah , the king 's daughter ? |	1	Dalinar									
0.913453226108546	202	|The aging but powerfully built man kept waving away those who tried to encourage him to bed . |	|Where was Jasnah , the king 's daughter ? |	|Elhokar , the king 's son and heir , sat at the high table , ruling the feast in his father 's absence . |	1	Jasnah									
0.312423564435808	289	|the guard said . |	|`` What are you waiting for ? '' |	|Szeth breathed in deeply , drawing forth the Stormlight . |	1	Szeth									
0.195737408023891	38	|As always , the ten of them had decided upon it before the battle . |	|The survivors would make their way here . |	|Oddly , only one of the others was waiting for him . |	0										
0.29445861462073	63	|`` Where are the others ? '' |	|`` Departed . '' |	|Jezrien 's voice was calm , deep , regal . |	0										
0.704407564842953	245	|Jezerezeh , Ishi , Kelek , Talenelat . |	|He counted off each one , and realized there were only nine here . |	|One was conspicuously missing . |	0										
0.43823755231917	82	|Kalak whispered the words , stepping up and gripping the other man 's arm . |	|`` I ca n't . '' |	|Kalak felt something within him break at the admission . |	1	Kalak									
