Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.569560560932955	214	|-LRB- From Charal Drianaan te Calamon , The Cycle of the Dragon . |	|Author unknown , the Fourth Age -RRB- CHAPTER 1 An Empty Road The Wheel of Time turns , and Ages come and pass , leaving memories that become legend . |	|Legend fades to myth , and even myth is long forgotten when the Age that gave it birth comes again . |	0										
0.018144677487888	215	|Author unknown , the Fourth Age -RRB- CHAPTER 1 An Empty Road The Wheel of Time turns , and Ages come and pass , leaving memories that become legend . |	|Legend fades to myth , and even myth is long forgotten when the Age that gave it birth comes again . |	|In one Age , called the Third Age by some , an Age yet to come , an Age long past , a wind rose in the Mountains of Mist . |	0										
0.265598212547917	216	|Legend fades to myth , and even myth is long forgotten when the Age that gave it birth comes again . |	|In one Age , called the Third Age by some , an Age yet to come , an Age long past , a wind rose in the Mountains of Mist . |	|The wind was not the beginning . |	0										
0.631905028316503	217	|In one Age , called the Third Age by some , an Age yet to come , an Age long past , a wind rose in the Mountains of Mist . |	|The wind was not the beginning . |	|There are neither beginnings nor endings to the turning of the Wheel of Time . |	0										
0.275534734559518	218	|The wind was not the beginning . |	|There are neither beginnings nor endings to the turning of the Wheel of Time . |	|But it was a beginning . |	0										
0.436225266055349	219	|There are neither beginnings nor endings to the turning of the Wheel of Time . |	|But it was a beginning . |	|Born below the ever cloud-capped peaks that gave the mountains their name , the wind blew east , out across the Sand Hills , once the shore of a great ocean , before the Breaking of the World . |	0										
0.566296319536025	220	|But it was a beginning . |	|Born below the ever cloud-capped peaks that gave the mountains their name , the wind blew east , out across the Sand Hills , once the shore of a great ocean , before the Breaking of the World . |	|Down it flailed into the Two Rivers , into the tangled forest called the Westwood , and beat at two men walking with a cart and horse down the rock-strewn track called the Quarry Road . |	0										
0.908528047007407	221	|Born below the ever cloud-capped peaks that gave the mountains their name , the wind blew east , out across the Sand Hills , once the shore of a great ocean , before the Breaking of the World . |	|Down it flailed into the Two Rivers , into the tangled forest called the Westwood , and beat at two men walking with a cart and horse down the rock-strewn track called the Quarry Road . |	|For all that spring should have come a good month since , the wind carried an icy chill as if it would rather bear snow . |	0										
0.953963921757904	222	|Down it flailed into the Two Rivers , into the tangled forest called the Westwood , and beat at two men walking with a cart and horse down the rock-strewn track called the Quarry Road . |	|For all that spring should have come a good month since , the wind carried an icy chill as if it would rather bear snow . |	|Gusts plastered Rand al ' Thor 's cloak to his back , whipped the earth-colored wool around his legs , then streamed it out behind him . |	0										
0.857910479821956	223	|For all that spring should have come a good month since , the wind carried an icy chill as if it would rather bear snow . |	|Gusts plastered Rand al ' Thor 's cloak to his back , whipped the earth-colored wool around his legs , then streamed it out behind him . |	|He wished his coat were heavier , or that he had worn an extra shirt . |	1	Rand al'Thor									
0.011744173983528	224	|Gusts plastered Rand al ' Thor 's cloak to his back , whipped the earth-colored wool around his legs , then streamed it out behind him . |	|He wished his coat were heavier , or that he had worn an extra shirt . |	|Half the time when he tried to tug the cloak back around him it caught on the quiver swinging at his hip . |	1	Rand al'Thor									
0.416121599507867	225	|He wished his coat were heavier , or that he had worn an extra shirt . |	|Half the time when he tried to tug the cloak back around him it caught on the quiver swinging at his hip . |	|Trying to hold the cloak one-handed did not do much good anyway ; he had his bow in the other , an arrow nocked and ready to draw . |	1	DEFAULT									
0.243392393022892	226	|Half the time when he tried to tug the cloak back around him it caught on the quiver swinging at his hip . |	|Trying to hold the cloak one-handed did not do much good anyway ; he had his bow in the other , an arrow nocked and ready to draw . |	|As a particularly strong blast tugged the cloak out of his hand , he glanced at his father over the back of the shaggy brown mare . |	1	DEFAULT									
0.446679266441582	227	|Trying to hold the cloak one-handed did not do much good anyway ; he had his bow in the other , an arrow nocked and ready to draw . |	|As a particularly strong blast tugged the cloak out of his hand , he glanced at his father over the back of the shaggy brown mare . |	|He felt a little foolish about wanting to reassure himself that Tam was still there , but it was that kind of day . |	1	DEFAULT									
0.194072495966002	228	|As a particularly strong blast tugged the cloak out of his hand , he glanced at his father over the back of the shaggy brown mare . |	|He felt a little foolish about wanting to reassure himself that Tam was still there , but it was that kind of day . |	|The wind howled when it rose , but aside from that , quiet lay heavy on the land . |	2	Tam al'Thor	DEFAULT								
0.19408658950477	229	|He felt a little foolish about wanting to reassure himself that Tam was still there , but it was that kind of day . |	|The wind howled when it rose , but aside from that , quiet lay heavy on the land . |	|The soft creak of the axle sounded loud by comparison . |	0										
0.78705025467003	230	|The wind howled when it rose , but aside from that , quiet lay heavy on the land . |	|The soft creak of the axle sounded loud by comparison . |	|No birds sang in the forest , no squirrels chittered from a branch . |	0										
0.127510787947061	231	|The soft creak of the axle sounded loud by comparison . |	|No birds sang in the forest , no squirrels chittered from a branch . |	|Not that he expected them , really ; not this spring . |	0										
0.385477701528871	232	|No birds sang in the forest , no squirrels chittered from a branch . |	|Not that he expected them , really ; not this spring . |	|Only trees that kept leaf or needle through the winter had any green about them . |	1	DEFAULT									
0.034840934000139	233	|Not that he expected them , really ; not this spring . |	|Only trees that kept leaf or needle through the winter had any green about them . |	|Snarls of last year 's bramble spread brown webs over stone outcrops under the trees . |	0										
0.41878342936395	234	|Only trees that kept leaf or needle through the winter had any green about them . |	|Snarls of last year 's bramble spread brown webs over stone outcrops under the trees . |	|Nettles numbered most among the few weeds ; the rest were the sorts with sharp burrs or thorns , or stinkweed , which left a rank smell on the unwary boot that crushed it . |	0										
0.049871597332752	235	|Snarls of last year 's bramble spread brown webs over stone outcrops under the trees . |	|Nettles numbered most among the few weeds ; the rest were the sorts with sharp burrs or thorns , or stinkweed , which left a rank smell on the unwary boot that crushed it . |	|Scattered white patches of snow still dotted the ground where tight clumps of trees kept deep shade . |	0										
0.248787779089397	236	|Nettles numbered most among the few weeds ; the rest were the sorts with sharp burrs or thorns , or stinkweed , which left a rank smell on the unwary boot that crushed it . |	|Scattered white patches of snow still dotted the ground where tight clumps of trees kept deep shade . |	|Where sunlight did reach , it held neither strength nor warmth . |	0										
0.853899900955275	237	|Scattered white patches of snow still dotted the ground where tight clumps of trees kept deep shade . |	|Where sunlight did reach , it held neither strength nor warmth . |	|The pale sun sat above the trees to the east , but its light was crisply dark , as if mixed with shadow . |	0										
0.301396902078538	238	|Where sunlight did reach , it held neither strength nor warmth . |	|The pale sun sat above the trees to the east , but its light was crisply dark , as if mixed with shadow . |	|It was an awkward morning , made for unpleasant thoughts . |	0										
0.882855949553145	239	|The pale sun sat above the trees to the east , but its light was crisply dark , as if mixed with shadow . |	|It was an awkward morning , made for unpleasant thoughts . |	|Without thinking he touched the nock of the arrow ; it was ready to draw to his cheek in one smooth movement , the way Tam had taught him . |	0										
0.963400172831622	240	|It was an awkward morning , made for unpleasant thoughts . |	|Without thinking he touched the nock of the arrow ; it was ready to draw to his cheek in one smooth movement , the way Tam had taught him . |	|Winter had been bad enough on the farms , worse than even the oldest folk remembered , but it must have been harsher still in the mountains , if the number of wolves driven down into the Two Rivers was any guide . |	2	Tam al'Thor	DEFAULT								
0.494796828448318	241	|Without thinking he touched the nock of the arrow ; it was ready to draw to his cheek in one smooth movement , the way Tam had taught him . |	|Winter had been bad enough on the farms , worse than even the oldest folk remembered , but it must have been harsher still in the mountains , if the number of wolves driven down into the Two Rivers was any guide . |	|Wolves raided the sheep pens and chewed their way into barns to get the cattle and horses . |	0										
0.372083562690738	242	|Winter had been bad enough on the farms , worse than even the oldest folk remembered , but it must have been harsher still in the mountains , if the number of wolves driven down into the Two Rivers was any guide . |	|Wolves raided the sheep pens and chewed their way into barns to get the cattle and horses . |	|Bears had been after the sheep , too , where a bear had not been seen in years . |	0										
0.834825288907607	243	|Wolves raided the sheep pens and chewed their way into barns to get the cattle and horses . |	|Bears had been after the sheep , too , where a bear had not been seen in years . |	|It was no longer safe to be out after dark . |	0										
0.397129226635192	244	|Bears had been after the sheep , too , where a bear had not been seen in years . |	|It was no longer safe to be out after dark . |	|Men were the prey as often as sheep , and the sun did not always have to be down . |	0										
0.917068751666159	245	|It was no longer safe to be out after dark . |	|Men were the prey as often as sheep , and the sun did not always have to be down . |	|Tam was taking steady strides on the other side of Bela , using his spear as a walking staff , ignoring the wind that made his brown cloak flap like a banner . |	0										
0.355499479672874	246	|Men were the prey as often as sheep , and the sun did not always have to be down . |	|Tam was taking steady strides on the other side of Bela , using his spear as a walking staff , ignoring the wind that made his brown cloak flap like a banner . |	|Now and again he touched the mare 's flank lightly , to remind her to keep moving . |	2	Tam al'Thor	Bela								
0.873520457780105	247	|Tam was taking steady strides on the other side of Bela , using his spear as a walking staff , ignoring the wind that made his brown cloak flap like a banner . |	|Now and again he touched the mare 's flank lightly , to remind her to keep moving . |	|With his thick chest and broad face , he was a pillar of reality in that morning , like a stone in the middle of a drifting dream . |	2	Tam al'Thor	Bela								
0.071606228812802	248	|Now and again he touched the mare 's flank lightly , to remind her to keep moving . |	|With his thick chest and broad face , he was a pillar of reality in that morning , like a stone in the middle of a drifting dream . |	|His sun-roughened cheeks might be lined and his hair have only a sprinkling of black among the gray , but there was a solidness to him , as though a flood could wash around him without uprooting his feet . |	1	DEFAULT									
0.142423909737598	249	|With his thick chest and broad face , he was a pillar of reality in that morning , like a stone in the middle of a drifting dream . |	|His sun-roughened cheeks might be lined and his hair have only a sprinkling of black among the gray , but there was a solidness to him , as though a flood could wash around him without uprooting his feet . |	|He stumped down the road now impassively . |	1	DEFAULT									
