Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.251819532095857	173	|cried Alice hastily , afraid that she had hurt the poor animal 's feelings . |	|` I quite forgot you did n't like cats . ' |	|` Not like cats ! ' |	2	Alice	DEFAULT								
0.72345262046609	275	|` I beg your pardon , ' said Alice very humbly : ` you had got to the fifth bend , I think ? ' |	|` I had NOT ! ' |	|cried the Mouse , sharply and very angrily . |	1	Mouse									
0.955597684994317	127	|However , the Multiplication Table does n't signify : let 's try Geography . |	|London is the capital of Paris , and Paris is the capital of Rome , and Rome -- no , THAT 'S all wrong , I 'm certain ! |	|I must have been changed for Mabel ! |	1	DEFAULT									
0.367403399772485	94	|And she went on planning to herself how she would manage it . |	|` They must go by the carrier , ' she thought ; ` and how funny it 'll seem , sending presents to one 's own feet ! |	|And how odd the directions will look ! |	1	DEFAULT									
0.238828178341934	172	|` Oh , I beg your pardon ! ' |	|cried Alice hastily , afraid that she had hurt the poor animal 's feelings . |	|` I quite forgot you did n't like cats . ' |	1	Alice									
0.853373931444408	39	|I wish you were down here with me ! |	|There are no mice in the air , I 'm afraid , but you might catch a bat , and that 's very like a mouse , you know . |	|But do cats eat bats , I wonder ? ' |	2	DEFAULT	DEFAULT								
0.945278745636054	174	|` I quite forgot you did n't like cats . ' |	|` Not like cats ! ' |	|cried the Mouse , in a shrill , passionate voice . |	0										
0.083936216476864	154	|However , she soon made out that she was in the pool of tears which she had wept when she was nine feet high . |	|` I wish I had n't cried so much ! ' |	|said Alice , as she swam about , trying to find her way out . |	1	Alice									
0.528079646779918	69	|First , however , she waited for a few minutes to see if she was going to shrink any further : she felt a little nervous about this ; ` for it might end , you know , ' said Alice to herself , ` in my going out altogether , like a candle . |	|I wonder what I should be like then ? ' |	|And she tried to fancy what the flame of a candle is like after the candle is blown out , for she could not remember ever having seen such a thing . |	1	Alice									
0.304951505091682	179	|And yet I wish I could show you our cat Dinah : I think you 'd take a fancy to cats if you could only see her . |	|She is such a dear quiet thing , ' Alice went on , half to herself , as she swam lazily about in the pool , ` and she sits purring so nicely by the fire , licking her paws and washing her face -- and she is such a nice soft thing to nurse -- and she 's such a capital one for catching mice -- oh , I beg your pardon ! ' |	|cried Alice again , for this time the Mouse was bristling all over , and she felt certain it must be really offended . |	3	Dinah	Alice	Mouse							
0.71223998432551	195	|cried Alice in a sorrowful tone , ` I 'm afraid I 've offended it again ! ' |	|For the Mouse was swimming away from her as hard as it could go , and making quite a commotion in the pool as it went . |	|So she called softly after it , ` Mouse dear ! |	2	Alice	Mouse								
0.900678969799007	57	|Alice opened the door and found that it led into a small passage , not much larger than a rat-hole : she knelt down and looked along the passage into the loveliest garden you ever saw . |	|How she longed to get out of that dark hall , and wander about among those beds of bright flowers and those cool fountains , but she could not even get her head through the doorway ; ` and even if my head would go through , ' thought poor Alice , ` it would be of very little use without my shoulders . |	|Oh , how I wish I could shut up like a telescope ! |	1	Alice									
0.578790043239526	203	|A Caucus-Race and a Long Tale They were indeed a queer-looking party that assembled on the bank -- the birds with draggled feathers , the animals with their fur clinging close to them , and all dripping wet , cross , and uncomfortable . |	|The first question of course was , how to get dry again : they had a consultation about this , and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them , as if she had known them all her life . |	|Indeed , she had quite a long argument with the Lory , who at last turned sulky , and would only say , ` I am older than you , and must know better ' ; and this Alice would not allow without knowing how old it was , and , as the Lory positively refused to tell its age , there was no more to be said . |	1	Alice									
