Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.804066690276743	92	|When she came to herself , or when Miss Betsey had restored her , whichever it was , she found the latter standing at the window . |	|The twilight was by this time shading down into darkness ; and dimly as they saw each other , they could not have done that without the aid of the fire . |	|` Well ? ' |	0										
0.966317365097905	56	|said Miss Betsey , in a hurry . |	|` Do n't do that ! |	|Come , come ! ' |	0										
0.208754124221278	200	|replied my aunt , pulling the cotton out of one ear like a cork . |	|Mr. Chillip was so alarmed by her abruptness -- as he told my mother afterwards -- that it was a mercy he did n't lose his presence of mind . |	|But he repeated sweetly : ` Some local irritation , maâ€™am ? ' |	3	Mr. Chillip	DEFAULT	DEFAULT							
0.303197050496036	136	|` And was David good to you , child ? ' |	|asked Miss Betsey , when she had been silent for a little while , and these motions of her head had gradually ceased . |	|` Were you comfortable together ? ' |	1	Betsey Trotwood Copperfield									
0.163670747748335	189	|Peggotty knowing nothing about her , and my mother saying nothing about her , she was quite a mystery in the parlour ; and the fact of her having a magazine of jewellers ' cotton in her pocket , and sticking the article in her ears in that way , did not detract from the solemnity of her presence . |	|The doctor having been upstairs and come down again , and having satisfied himself , I suppose , that there was a probability of this unknown lady and himself having to sit there , face to face , for some hours , laid himself out to be polite and social . |	|He was the meekest of his sex , the mildest of little men . |	3	DEFAULT	DEFAULT	DEFAULT							
0.42988011774618	13	|The caul was won , I recollect , by an old lady with a hand-basket , who , very reluctantly , produced from it the stipulated five shillings , all in halfpence , and twopence halfpenny short -- as it took an immense time and a great waste of arithmetic , to endeavour without any effect to prove to her . |	|It is a fact which will be long remembered as remarkable down there , that she was never drowned , but died triumphantly in bed , at ninety-two . |	|I have understood that it was , to the last , her proudest boast , that she never had been on the water in her life , except upon a bridge ; and that over her tea -LRB- to which she was extremely partial -RRB- she , to the last , expressed her indignation at the impiety of mariners and others , who had the presumption to go ` meandering ' about the world . |	1	DEFAULT									
0.473322834004371	201	|Mr. Chillip was so alarmed by her abruptness -- as he told my mother afterwards -- that it was a mercy he did n't lose his presence of mind . |	|But he repeated sweetly : ` Some local irritation , maâ€™am ? ' |	|` Nonsense ! ' |	2	Mr. Chillip	DEFAULT								
0.488412087115909	253	|Mr. Chillip laid his head a little more on one side , and looked at my aunt like an amiable bird . |	|` The baby , ' said my aunt . |	|` How is she ? ' |	2	DEFAULT	DEFAULT								
0.070923599589455	172	|-- ` And I am sure we never had a word of difference respecting it , except when Mr. Copperfield objected to my threes and fives being too much like each other , or to my putting curly tails to my sevens and nines , ' resumed my mother in another burst , and breaking down again . |	|` You 'll make yourself ill , ' said Miss Betsey , ` and you know that will not be good either for you or for my god-daughter . |	|Come ! |	3	Betsey Trotwood Copperfield	DEFAULT	DEFAULT							
0.887934990842073	79	|asked Miss Betsey . |	|` The -- ? ' |	|My mother had been thinking of something else . |	0										
0.257197707086132	174	|Come ! |	|You must n't do it ! ' |	|This argument had some share in quieting my mother , though her increasing indisposition had a larger one . |	1	DEFAULT									
0.227650929532579	87	|cried Miss Betsey . |	|` David Copperfield from head to foot ! |	|Calls a house a rookery when there 's not a rook near it , and takes the birds on trust , because he sees the nests ! ' |	1	David Copperfield									
0.768817481204603	29	|My father had once been a favourite of hers , I believe ; but she was mortally affronted by his marriage , on the ground that my mother was ` a wax doll ' . |	|She had never seen my mother , but she knew her to be not yet twenty . |	|My father and Miss Betsey never met again . |	2	DEFAULT	DEFAULT								
0.048076961874641	117	|cried Miss Betsey , opening the parlour door . |	|` Tea . |	|Your mistress is a little unwell . |	0										
0.328196966913201	206	|After some quarter of an hour 's absence , he returned . |	|` Well ? ' |	|said my aunt , taking the cotton out of the ear nearest to him . |	0										
0.867712702131794	7	|On the second branch of the question , I will only remark , that unless I ran through that part of my inheritance while I was still a baby , I have not come into it yet . |	|But I do not at all complain of having been kept out of this property ; and if anybody else should be in the present enjoyment of it , he is heartily welcome to keep it . |	|I was born with a caul , which was advertised for sale , in the newspapers , at the low price of fifteen guineas . |	2	DEFAULT	DEFAULT								
0.594389403530729	84	|` There have not been any since we have lived here , ' said my mother . |	|` We thought -- Mr. Copperfield thought -- it was quite a large rookery ; but the nests were very old ones , and the birds have deserted them a long while . ' |	|` David Copperfield all over ! ' |	1	Mr. Copperfield									
0.551758728749381	147	|` You were not equally matched , child -- if any two people can be equally matched -- and so I asked the question . |	|You were an orphan , were n't you ? ' |	|` Yes . ' |	1	DEFAULT									
0.577915210482033	151	|` I was nursery-governess in a family where Mr. Copperfield came to visit . |	|Mr. Copperfield was very kind to me , and took a great deal of notice of me , and paid me a good deal of attention , and at last proposed to me . |	|And I accepted him . |	2	Mr. Copperfield	DEFAULT								
0.814842011778613	230	|` What upon ? ' |	|said my aunt , sharply . |	|Mr. Chillip was fluttered again , by the extreme severity of my aunt 's manner ; so he made her a little bow and gave her a little smile , to mollify her . |	1	DEFAULT									
0.798077500222997	203	|` Nonsense ! ' |	|replied my aunt , and corked herself again , at one blow . |	|Mr. Chillip could do nothing after this , but sit and look at her feebly , as she sat and looked at the fire , until he was called upstairs again . |	1	DEFAULT									
0.479838074441303	187	|My mother was so much worse that Peggotty , coming in with the teaboard and candles , and seeing at a glance how ill she was , -- as Miss Betsey might have done sooner if there had been light enough , -- conveyed her upstairs to her own room with all speed ; and immediately dispatched Ham Peggotty , her nephew , who had been for some days past secreted in the house , unknown to my mother , as a special messenger in case of emergency , to fetch the nurse and doctor . |	|Those allied powers were considerably astonished , when they arrived within a few minutes of each other , to find an unknown lady of portentous appearance , sitting before the fire , with her bonnet tied over her left arm , stopping her ears with jewellers ' cotton . |	|Peggotty knowing nothing about her , and my mother saying nothing about her , she was quite a mystery in the parlour ; and the fact of her having a magazine of jewellers ' cotton in her pocket , and sticking the article in her ears in that way , did not detract from the solemnity of her presence . |	1	DEFAULT									
0.941280638624959	219	|` Ya -- a -- ah ! ' |	|said my aunt . |	|With such a snarl at him , that Mr. Chillip absolutely could not bear it . |	1	DEFAULT									
0.88042707029408	70	|asked my mother . |	|` Why Rookery ? ' |	|said Miss Betsey . |	0										
0.794617418563998	216	|` Well ? ' |	|said my aunt , taking out the cotton on that side again . |	|` Well , maâ€™am , ' returned Mr. Chillip , ` we are -- we are progressing slowly , maâ€™am . ' |	1	DEFAULT									
0.428032317902813	240	|She only shook her own head at him , but in a way that made him quail . |	|` Well , maâ€™am , ' resumed Mr. Chillip , as soon as he had courage , ` I am happy to congratulate you . |	|All is now over , maâ€™am , and well over . ' |	2	Mr. Chillip	DEFAULT								
0.573604590347143	195	|It is nothing to say that he had n't a word to throw at a dog . |	|He could n't have thrown a word at a mad dog . |	|He might have offered him one gently , or half a one , or a fragment of one ; for he spoke as slowly as he walked ; but he would n't have been rude to him , and he could n't have been quick with him , for any earthly consideration . |	1	DEFAULT									
0.482803257228773	161	|` Not much , I fear , ' returned my mother . |	|` Not so much as I could wish . |	|But Mr. Copperfield was teaching me -- ' -LSB- ` Much he knew about it himself ! ' -RRB- |	1	DEFAULT									
0.334620459854017	77	|As the elms bent to one another , like giants who were whispering secrets , and after a few seconds of such repose , fell into a violent flurry , tossing their wild arms about , as if their late confidences were really too wicked for their peace of mind , some weatherbeaten ragged old rooks ' - nests , burdening their higher branches , swung like wrecks upon a stormy sea . |	|` Where are the birds ? ' |	|asked Miss Betsey . |	0										
0.519101590413336	179	|` David had bought an annuity for himself with his money , I know , ' said she , by and by . |	|` What did he do for you ? ' |	|` Mr. Copperfield , ' said my mother , answering with some difficulty , ` was so considerate and good as to secure the reversion of a part of it to me . ' |	2	David Copperfield	DEFAULT								
0.063830374511926	120	|Do n't dawdle . ' |	|Having issued this mandate with as much potentiality as if she had been a recognized authority in the house ever since it had been a house , and having looked out to confront the amazed Peggotty coming along the passage with a candle at the sound of a strange voice , Miss Betsey shut the door again , and sat down as before : with her feet on the fender , the skirt of her dress tucked up , and her hands folded on one knee . |	|` You were speaking about its being a girl , ' said Miss Betsey . |	2	Betsey Trotwood Copperfield	Ham Pegotty								
0.097948204935269	53	|My mother bent her head , and begged her to walk in . |	|They went into the parlour my mother had come from , the fire in the best room on the other side of the passage not being lighted -- not having been lighted , indeed , since my father 's funeral ; and when they were both seated , and Miss Betsey said nothing , my mother , after vainly trying to restrain herself , began to cry . |	|` Oh tut , tut , tut ! ' |	4	Betsey Trotwood Copperfield	DEFAULT	DEFAULT	DEFAULT						
0.787952060975133	137	|asked Miss Betsey , when she had been silent for a little while , and these motions of her head had gradually ceased . |	|` Were you comfortable together ? ' |	|` We were very happy , ' said my mother . |	1	DEFAULT									
0.02430526505158	121	|Having issued this mandate with as much potentiality as if she had been a recognized authority in the house ever since it had been a house , and having looked out to confront the amazed Peggotty coming along the passage with a candle at the sound of a strange voice , Miss Betsey shut the door again , and sat down as before : with her feet on the fender , the skirt of her dress tucked up , and her hands folded on one knee . |	|` You were speaking about its being a girl , ' said Miss Betsey . |	|` I have no doubt it will be a girl . |	2	Betsey Trotwood Copperfield	DEFAULT								
0.567467900791613	106	|` Bless the Baby ! ' |	|exclaimed Miss Betsey , unconsciously quoting the second sentiment of the pincushion in the drawer upstairs , but applying it to my mother instead of me , ` I do n't mean that . |	|I mean your servant-girl . ' |	2	Betsey Trotwood Copperfield	DEFAULT								
0.737274936786905	191	|He was the meekest of his sex , the mildest of little men . |	|He sidled in and out of a room , to take up the less space . |	|He walked as softly as the Ghost in Hamlet , and more slowly . |	1	DEFAULT									
0.71876723097087	97	|I shall die , I am sure ! ' |	|` No , no , no , ' said Miss Betsey . |	|` Have some tea . ' |	1	Betsey Trotwood Copperfield									
0.366977728472326	176	|This argument had some share in quieting my mother , though her increasing indisposition had a larger one . |	|There was an interval of silence , only broken by Miss Betsey 's occasionally ejaculating ` Ha ! ' |	|as she sat with her feet upon the fender . |	1	Betsey Trotwood Copperfield									
0.372218702885341	168	|-- ` I kept my housekeeping-book regularly , and balanced it with Mr. Copperfield every night , ' cried my mother in another burst of distress , and breaking down again . |	|` Well , well ! ' |	|said Miss Betsey . |	0										
0.746596219312978	114	|` Mr. Copperfield called her by it , because her Christian name was the same as mine . ' |	|` Here ! |	|Peggotty ! ' |	0										
0.691434897517825	105	|` I do n't know that it will be a girl , yet , maâ€™am , ' said my mother innocently . |	|` Bless the Baby ! ' |	|exclaimed Miss Betsey , unconsciously quoting the second sentiment of the pincushion in the drawer upstairs , but applying it to my mother instead of me , ` I do n't mean that . |	0										
0.173955113463842	95	|said Miss Betsey , coming back to her chair , as if she had only been taking a casual look at the prospect ; ` and when do you expect -- ' ` I am all in a tremble , ' faltered my mother . |	|` I do n't know what 's the matter . |	|I shall die , I am sure ! ' |	1	DEFAULT									
0.373188297343651	129	|I intend to be her godmother , and I beg you 'll call her Betsey Trotwood Copperfield . |	|There must be no mistakes in life with THIS Betsey Trotwood . |	|There must be no trifling with HER affections , poor dear . |	1	Betsey Trotwood Copperfield									
0.750692151840399	258	|My aunt said never a word , but took her bonnet by the strings , in the manner of a sling , aimed a blow at Mr. Chillip 's head with it , put it on bent , walked out , and never came back . |	|She vanished like a discontented fairy ; or like one of those supernatural beings , whom it was popularly supposed I was entitled to see ; and never came back any more . |	|No . |	1	DEFAULT									
0.474714687426607	224	|Ham Peggotty , who went to the national school , and was a very dragon at his catechism , and who may therefore be regarded as a credible witness , reported next day , that happening to peep in at the parlour-door an hour after this , he was instantly descried by Miss Betsey , then walking to and fro in a state of agitation , and pounced upon before he could make his escape . |	|That there were now occasional sounds of feet and voices overhead which he inferred the cotton did not exclude , from the circumstance of his evidently being clutched by the lady as a victim on whom to expend her superabundant agitation when the sounds were loudest . |	|That , marching him constantly up and down by the collar -LRB- as if he had been taking too much laudanum -RRB- , she , at those times , shook him , rumpled his hair , made light of his linen , stopped his ears as if she confounded them with her own , and otherwise tousled and maltreated him . |	2	Ham Pegotty	Betsey Trotwood Copperfield								
0.744324646107493	243	|During the five minutes or so that Mr. Chillip devoted to the delivery of this oration , my aunt eyed him narrowly . |	|` How is she ? ' |	|said my aunt , folding her arms with her bonnet still tied on one of them . |	1	DEFAULT									
0.563593950622368	20	|I was a posthumous child . |	|My father 's eyes had closed upon the light of this world six months , when mine opened on it . |	|There is something strange to me , even now , in the reflection that he never saw me ; and something stranger yet in the shadowy remembrance that I have of my first childish associations with his white grave-stone in the churchyard , and of the indefinable compassion I used to feel for it lying out alone there in the dark night , when our little parlour was warm and bright with fire and candle , and the doors of our house were -- almost cruelly , it seemed to me sometimes -- bolted and locked against it . |	2	DEFAULT	DEFAULT								
0.172441035389629	177	|There was an interval of silence , only broken by Miss Betsey 's occasionally ejaculating ` Ha ! ' |	|as she sat with her feet upon the fender . |	|` David had bought an annuity for himself with his money , I know , ' said she , by and by . |	1	Betsey Trotwood Copperfield									
0.374526295350698	40	|My father had often hinted that she seldom conducted herself like any ordinary Christian ; and now , instead of ringing the bell , she came and looked in at that identical window , pressing the end of her nose against the glass to that extent , that my poor dear mother used to say it became perfectly flat and white in a moment . |	|She gave my mother such a turn , that I have always been convinced I am indebted to Miss Betsey for having been born on a Friday . |	|My mother had left her chair in her agitation , and gone behind it in the corner . |	2	Betsey Trotwood Copperfield	DEFAULT								
0.021986131537936	162	|` Not so much as I could wish . |	|But Mr. Copperfield was teaching me -- ' -LSB- ` Much he knew about it himself ! ' -RRB- |	|said Miss Betsey in a parenthesis . |	2	Mr. Copperfield	Betsey Trotwood Copperfield								
0.451613326316399	111	|repeated Miss Betsey , with some indignation . |	|` Do you mean to say , child , that any human being has gone into a Christian church , and got herself named Peggotty ? ' |	|` It 's her surname , ' said my mother , faintly . |	1	DEFAULT									
0.89961435209706	196	|He could n't have thrown a word at a mad dog . |	|He might have offered him one gently , or half a one , or a fragment of one ; for he spoke as slowly as he walked ; but he would n't have been rude to him , and he could n't have been quick with him , for any earthly consideration . |	|Mr. Chillip , looking mildly at my aunt with his head on one side , and making her a little bow , said , in allusion to the jewellers ' cotton , as he softly touched his left ear : ` Some local irritation , maâ€™am ? ' |	2	Mr. Chillip	DEFAULT								
0.88547026216322	130	|There must be no mistakes in life with THIS Betsey Trotwood . |	|There must be no trifling with HER affections , poor dear . |	|She must be well brought up , and well guarded from reposing any foolish confidences where they are not deserved . |	1	Betsey Trotwood Copperfield									
0.018614124617764	34	|This was the state of matters , on the afternoon of , what I may be excused for calling , that eventful and important Friday . |	|I can make no claim therefore to have known , at that time , how matters stood ; or to have any remembrance , founded on the evidence of my own senses , of what follows . |	|My mother was sitting by the fire , but poorly in health , and very low in spirits , looking at it through her tears , and desponding heavily about herself and the fatherless little stranger , who was already welcomed by some grosses of prophetic pins , in a drawer upstairs , to a world not at all excited on the subject of his arrival ; my mother , I say , was sitting by the fire , that bright , windy March afternoon , very timid and sad , and very doubtful of ever coming alive out of the trial that was before her , when , lifting her eyes as she dried them , to the window opposite , she saw a strange lady coming up the garden . |	1	DEFAULT									
0.436808125892356	251	|How is SHE ? ' |	|said my aunt , sharply . |	|Mr. Chillip laid his head a little more on one side , and looked at my aunt like an amiable bird . |	0										
0.952586207943416	184	|` A hundred and five pounds a year , ' said my mother . |	|` He might have done worse , ' said my aunt . |	|The word was appropriate to the moment . |	2	DEFAULT	DEFAULT								
