Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.191668633505568	6	|I feared to go very far from the station , as we had arrived late and would start as near the correct time as possible . |	|The impression I had was that we were leaving the West and entering the East ; the most western of splendid bridges over the Danube , which is here of noble width and depth , took us among the traditions of Turkish rule . |	|We left in pretty good time , and came after nightfall to Klausenburgh . |	1	DEFAULT									
0.013691099016048	54	|She smiled , and gave some message to an elderly man in white shirt-sleeves , who had followed her to the door . |	|He went , but immediately returned with a letter : -- ` My Friend . |	|-- Welcome to the Carpathians . |	1	DEFAULT									
0.53928964753798	213	|He went rapidly to where the blue flame arose -- it must have been very faint , for it did not seem to illumine the place around it at all -- and gathering a few stones , formed them into some device . |	|Once there appeared a strange optical effect : when he stood between me and the flame he did not obstruct it , for I could see its ghostly flicker all the same . |	|This startled me , but as the effect was only momentary , I took it that my eyes deceived me straining through the darkness . |	2	DEFAULT	DEFAULT								
0.388492924568841	101	|The wine was Golden Mediasch , which produces a queer sting on the tongue , which is , however , not disagreeable . |	|I had only a couple of glasses of this , and nothing else . |	|When I got on the coach the driver had not taken his seat , and I saw him talking with the landlady . |	1	DEFAULT									
0.514193618634627	53	|` Yes , ' I said , ` Jonathan Harker . ' |	|She smiled , and gave some message to an elderly man in white shirt-sleeves , who had followed her to the door . |	|He went , but immediately returned with a letter : -- ` My Friend . |	1	DEFAULT									
0.783568956972008	109	|With some difficulty I got a fellow-passenger to tell me what they meant ; he would not answer at first , but on learning that I was English , he explained that it was a charm or guard against the evil eye . |	|This was not very pleasant for me , just starting for an unknown place to meet an unknown man ; but every one seemed so kind-hearted , and so sorrowful , and so sympathetic that I could not but be touched . |	|I shall never forget the last glimpse which I had of the inn-yard and its crowd of picturesque figures , all crossing themselves , as they stood round the wide archway , with its background of rich foliage of oleander and orange trees in green tubs clustered in the centre of the yard . |	1	DEFAULT									
0.096114319832848	118	|I could not understand then what the haste meant , but the driver was evidently bent on losing no time in reaching Borgo Prund . |	|I was told that this road is in summertime excellent , but that it had not yet been put in order after the winter snows . |	|In this respect it is different from the general run of roads in the Carpathians , for it is an old tradition that they are not to be kept in too good order . |	1	DEFAULT									
0.451037770945131	122	|Beyond the green swelling hills of the Mittel Land rose mighty slopes of forest up to the lofty steeps of the Carpathians themselves . |	|Right and left of us they towered , with the afternoon sun falling full upon them and bringing out all the glorious colours of this beautiful range , deep blue and purple in the shadows of the peaks , green and brown where grass and rock mingled , and an endless perspective of jagged rock and pointed crags , till these were themselves lost in the distance , where the snowy peaks rose grandly . |	|Here and there seemed mighty rifts in the mountains , through which , as the sun began to sink , we saw now and again the white gleam of falling water . |	0										
0.827688563848286	86	|However , there was business to be done , and I could allow nothing to interfere with it . |	|I therefore tried to raise her up , and said , as gravely as I could , that I thanked her , but my duty was imperative , and that I must go . |	|She then rose and dried her eyes , and taking a crucifix from her neck offered it to me . |	2	DEFAULT	DEFAULT								
0.532989185067602	199	|The driver again took his seat , and shaking his reins , started off at a great pace . |	|This time , after going to the far side of the Pass , he suddenly turned down a narrow roadway which ran sharply to the right . |	|Soon we were hemmed in with trees , which in places arched right over the roadway till we passed as through a tunnel ; and again great frowning rocks guarded us boldly on either side . |	1	DEFAULT									
0.364809235760986	87	|I therefore tried to raise her up , and said , as gravely as I could , that I thanked her , but my duty was imperative , and that I must go . |	|She then rose and dried her eyes , and taking a crucifix from her neck offered it to me . |	|I did not know what to do , for , as an English Churchman , I have been taught to regard such things as in some measure idolatrous , and yet it seemed so ungracious to refuse an old lady meaning so well and in such a state of mind . |	2	DEFAULT	DEFAULT								
0.637919786384644	36	|It takes a lot of water , and running strong , to sweep the outside edge of a river clear . |	|At every station there were groups of people , sometimes crowds , and in all sorts of attire . |	|Some of them were just like the peasants at home or those I saw coming through France and Germany , with short jackets and round hats and home-made trousers ; but others were very picturesque . |	0										
0.223109901013215	203	|It grew colder and colder still , and fine , powdery snow began to fall , so that soon we and all around us were covered with a white blanket . |	|The keen wind still carried the howling of the dogs , though this grew fainter as we went on our way . |	|The baying of the wolves sounded nearer and nearer , as though they were closing round on us from every side . |	0										
0.529517171670374	158	|The only light was the flickering rays of our own lamps , in which the steam from our hard-driven horses rose in a white cloud . |	|We could see now the sandy road lying white before us , but there was on it no sign of a vehicle . |	|The passengers drew back with a sigh of gladness , which seemed to mock my own disappointment . |	0										
0.995488787862192	152	|It was evident that something very exciting was either happening or expected , but though I asked each passenger , no one would give me the slightest explanation . |	|This state of excitement kept on for some little time ; and at last we saw before us the Pass opening out on the eastern side . |	|There were dark , rolling clouds overhead , and in the air the heavy , oppressive sense of thunder . |	0										
0.70322154739594	159	|We could see now the sandy road lying white before us , but there was on it no sign of a vehicle . |	|The passengers drew back with a sigh of gladness , which seemed to mock my own disappointment . |	|I was already thinking what I had best do , when the driver , looking at his watch , said to the others something which I could hardly hear , it was spoken so quietly and in so low a tone ; I thought it was ` An hour less than the time . ' |	1	DEFAULT									
0.912855708312398	14	|I found my smattering of German very useful here ; indeed , I do n't know how I should be able to get on without it . |	|Having had some time at my disposal when in London , I had visited the British Museum , and made search among the books and maps in the library regarding Transylvania ; it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country . |	|I find that the district he named is in the extreme east of the country , just on the borders of three states , Transylvania , Moldavia and Bukovina , in the midst of the Carpathian mountains ; one of the wildest and least known portions of Europe . |	1	DEFAULT									
0.434790772007049	161	|I was already thinking what I had best do , when the driver , looking at his watch , said to the others something which I could hardly hear , it was spoken so quietly and in so low a tone ; I thought it was ` An hour less than the time . ' |	|Then turning to me , he said in German worse than my own : -- ` There is no carriage here . |	|The Herr is not expected after all . |	2	DEFAULT	DEFAULT								
0.770058681010339	82	|Do you know where you are going , and what you are going to ? ' |	|She was in such evident distress that I tried to comfort her , but without effect . |	|Finally she went down on her knees and implored me not to go ; at least to wait a day or two before starting . |	2	DEFAULT	DEFAULT								
0.649048271706906	176	|The passenger turned his face away , at the same time putting out his two fingers and crossing himself . |	|` Give me the Herr 's luggage , ' said the driver ; and with exceeding alacrity my bags were handed out and put in the cal̬che . |	|Then I descended from the side of the coach , as the cal̬che was close alongside , the driver helping me with a hand which caught my arm in a grip of steel ; his strength must have been prodigious . |	2	DEFAULT	DEFAULT								
