Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.081433538968548	124	|I made the match , you know , four years ago ; and to have it take place , and be proved in the right , when so many people said Mr. Weston would never marry again , may comfort me for any thing . '' |	|Mr. Knightley shook his head at her . |	|Her father fondly replied , `` Ah ! |	2	Mr. Knightley	DEFAULT								
0.333261379615748	105	|What a horrible idea ! |	|Oh no ! |	|I meant only myself . |	0										
0.115899401894619	57	|And as for James , you may be very sure he will always like going to Randalls , because of his daughter 's being housemaid there . |	|I only doubt whether he will ever take us anywhere else . |	|That was your doing , papa . |	2	James	DEFAULT								
0.731481475306904	131	|And after such success , you know ! |	|-- Every body said that Mr. Weston would never marry again . |	|Oh dear , no ! |	1	Mr. Weston									
0.035484020657867	1	|CHAPTER I Emma Woodhouse , handsome , clever , and rich , with a comfortable home and happy disposition , seemed to unite some of the best blessings of existence ; and had lived nearly twenty-one years in the world with very little to distress or vex her . |	|She was the youngest of the two daughters of a most affectionate , indulgent father ; and had , in consequence of her sister 's marriage , been mistress of his house from a very early period . |	|Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses ; and her place had been supplied by an excellent woman as governess , who had fallen little short of a mother in affection . |	3	Emma Woodhouse	DEFAULT	DEFAULT							
0.548549263100582	129	|`` I promise you to make none for myself , papa ; but I must , indeed , for other people . |	|It is the greatest amusement in the world ! |	|And after such success , you know ! |	0										
0.946016275939017	202	|There was not a dissentient voice on the subject , either when Mrs. Perry drank tea with Mrs. and Miss Bates , or when Mrs. and Miss Bates returned the visit . |	|Now was the time for Mr. Frank Churchill to come among them ; and the hope strengthened when it was understood that he had written to his new mother on the occasion . |	|For a few days , every morning visit in Highbury included some mention of the handsome letter Mrs. Weston had received . |	1	Mr. Frank Churchill									
0.528232671820081	7	|The real evils , indeed , of Emma 's situation were the power of having rather too much her own way , and a disposition to think a little too well of herself ; these were the disadvantages which threatened alloy to her many enjoyments . |	|The danger , however , was at present so unperceived , that they did not by any means rank as misfortunes with her . |	|Sorrow came -- a gentle sorrow -- but not at all in the shape of any disagreeable consciousness . |	1	DEFAULT									
0.998091871905184	187	|It was a concern which brought just employment enough . |	|He had still a small house in Highbury , where most of his leisure days were spent ; and between useful occupation and the pleasures of society , the next eighteen or twenty years of his life passed cheerfully away . |	|He had , by that time , realised an easy competence -- enough to secure the purchase of a little estate adjoining Highbury , which he had always longed for -- enough to marry a woman as portionless even as Miss Taylor , and to live according to the wishes of his own friendly and social disposition . |	1	DEFAULT									
0.313944856044687	41	|-- But where is the advantage of a house of her own ? |	|This is three times as large . |	|-- And you have never any odd humours , my dear . '' |	0										
0.803514442985696	205	|`` I suppose you have heard of the handsome letter Mr. Frank Churchill has written to Mrs. Weston ? |	|I understand it was a very handsome letter , indeed . |	|Mr. Woodhouse told me of it . |	1	DEFAULT									
0.002231605117212	137	|Some people even talked of a promise to his wife on her deathbed , and others of the son and the uncle not letting him . |	|All manner of solemn nonsense was talked on the subject , but I believed none of it . |	|`` Ever since the day -- about four years ago -- that Miss Taylor and I met with him in Broadway Lane , when , because it began to drizzle , he darted away with so much gallantry , and borrowed two umbrellas for us from Farmer Mitchell 's , I made up my mind on the subject . |	1	DEFAULT									
0.386075879471543	128	|Pray do not make any more matches . '' |	|`` I promise you to make none for myself , papa ; but I must , indeed , for other people . |	|It is the greatest amusement in the world ! |	2	DEFAULT	DEFAULT								
0.344305759778402	107	|I meant only myself . |	|Mr. Knightley loves to find fault with me , you know -- in a joke -- it is all a joke . |	|We always say what we like to one another . '' |	3	Mr. Knightley	DEFAULT	DEFAULT							
0.62939598807408	181	|Captain Weston , who had been considered , especially by the Churchills , as making such an amazing match , was proved to have much the worst of the bargain ; for when his wife died , after a three years ' marriage , he was rather a poorer man than at first , and with a child to maintain . |	|From the expense of the child , however , he was soon relieved . |	|The boy had , with the additional softening claim of a lingering illness of his mother 's , been the means of a sort of reconciliation ; and Mr. and Mrs. Churchill , having no children of their own , nor any other young creature of equal kindred to care for , offered to take the whole charge of the little Frank soon after her decease . |	1	Mr. Weston									
0.363234978049861	111	|`` Emma knows I never flatter her , '' said Mr. Knightley , `` but I meant no reflection on any body . |	|Miss Taylor has been used to have two persons to please ; she will now have but one . |	|The chances are that she must be a gainer . '' |	1	Miss Taylor									
0.541132180195752	167	|But if you want to shew him any attention , my dear , ask him to come and dine with us some day . |	|That will be a much better thing . |	|I dare say Mr. Knightley will be so kind as to meet him . '' |	0										
0.23903354896398	198	|He was looked on as sufficiently belonging to the place to make his merits and prospects a kind of common concern . |	|Mr. Frank Churchill was one of the boasts of Highbury , and a lively curiosity to see him prevailed , though the compliment was so little returned that he had never been there in his life . |	|His coming to visit his father had been often talked of but never achieved . |	1	Mr. Frank Churchill									
0.144515320513067	38	|`` I can not agree with you , papa ; you know I can not . |	|Mr. Weston is such a good-humoured , pleasant , excellent man , that he thoroughly deserves a good wife ; -- and you would not have had Miss Taylor live with us for ever , and bear all my odd humours , when she might have a house of her own ? '' |	|`` A house of her own ! |	2	Mr. Weston	Miss Taylor								
0.377377040013029	118	|`` But , Mr. Knightley , she is really very sorry to lose poor Miss Taylor , and I am sure she _ will _ miss her more than she thinks for . '' |	|Emma turned away her head , divided between tears and smiles . |	|`` It is impossible that Emma should not miss such a companion , '' said Mr. Knightley . |	1	Emma Woodhouse									
0.715385811802161	172	|Depend upon it , a man of six or seven-and-twenty can take care of himself . '' |	|CHAPTER II Mr. Weston was a native of Highbury , and born of a respectable family , which for the last two or three generations had been rising into gentility and property . |	|He had received a good education , but , on succeeding early in life to a small independence , had become indisposed for any of the more homely pursuits in which his brothers were engaged , and had satisfied an active , cheerful mind and social temper by entering into the militia of his county , then embodied . |	1	Mr. Weston									
0.41876973888082	48	|Randalls is such a distance . |	|I could not walk half so far . '' |	|`` No , papa , nobody thought of your walking . |	1	DEFAULT									
0.167713940208964	45	|-- We shall be always meeting ! |	|_ We _ must begin ; we must go and pay wedding visit very soon . '' |	|`` My dear , how am I to get so far ? |	0										
0.385238656336717	192	|He had never been an unhappy man ; his own temper had secured him from that , even in his first marriage ; but his second must shew him how delightful a well-judging and truly amiable woman could be , and must give him the pleasantest proof of its being a great deal better to choose than to be chosen , to excite gratitude than to feel it . |	|He had only himself to please in his choice : his fortune was his own ; for as to Frank , it was more than being tacitly brought up as his uncle 's heir , it had become so avowed an adoption as to have him assume the name of Churchill on coming of age . |	|It was most unlikely , therefore , that he should ever want his father 's assistance . |	1	Mr. Frank Churchill									
