|YOU do n't know about me without you have read a book by the name of The Adventures of Tom Sawyer ; but that ai n't no matter . |	DEFAULT	DEFAULT	Tom Sawyer							
|That book was made by Mr. Mark Twain , and he told the truth , mainly . |	Mr. Mark Twain									
|There was things which he stretched , but mainly he told the truth . |	Mr. Mark Twain									
|That is nothing . |										
|I never seen anybody but lied one time or another , without it was Aunt Polly , or the widow , or maybe Mary . |	DEFAULT	Aunt Polly	Mary							
|Aunt Polly -- Tom 's Aunt Polly , she is -- and Mary , and the Widow Douglas is all told about in that book , which is mostly a true book , with some stretchers , as I said before . |	Aunt Polly	Tom Sawyer	Mary	Douglas	DEFAULT					
|Now the way that the book winds up is this : Tom and me found the money that the robbers hid in the cave , and it made us rich . |	Tom Sawyer	DEFAULT								
|We got six thousand dollars apiece -- all gold . |										
|It was an awful sight of money when it was piled up . |										
|Well , Judge Thatcher he took it and put it out at interest , and it fetched us a dollar a day apiece all the year round -- more than a body could tell what to do with . |	Thatcher									
|The Widow Douglas she took me for her son , and allowed she would sivilize me ; but it was rough living in the house all the time , considering how dismal regular and decent the widow was in all her ways ; and so when I could n't stand it no longer I lit out . |	DEFAULT	Douglas								
|I got into my old rags and my sugar-hogshead again , and was free and satisfied . |	DEFAULT									
|But Tom Sawyer he hunted me up and said he was going to start a band of robbers , and I might join if I would go back to the widow and be respectable . |	Tom Sawyer	DEFAULT								
|So I went back . |	DEFAULT									
|The widow she cried over me , and called me a poor lost lamb , and she called me a lot of other names , too , but she never meant no harm by it . |	DEFAULT	DEFAULT								
|She put me in them new clothes again , and I could n't do nothing but sweat and sweat , and feel all cramped up . |	DEFAULT	DEFAULT								
|Well , then , the old thing commenced again . |										
|The widow rung a bell for supper , and you had to come to time . |										
|When you got to the table you could n't go right to eating , but you had to wait for the widow to tuck down her head and grumble a little over the victuals , though there war n't really anything the matter with them , -- that is , nothing only everything was cooked by itself . |	DEFAULT	DEFAULT								
|In a barrel of odds and ends it is different ; things get mixed up , and the juice kind of swaps around , and the things go better . |										
