Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.658221653418668	93	|It was a man of the name of Hyde . '' |	|`` Hm , '' said Mr. Utterson . |	|`` What sort of a man is he to see ? '' |	1	Mr. Utterson									
0.795970783864577	102	|And it 's not want of memory ; for I declare I can see him this moment . '' |	|Mr. Utterson again walked some way in silence and obviously under a weight of consideration . |	|`` You are sure he used a key ? '' |	1	Mr. Utterson									
0.679435685973252	83	|`` But I have studied the place for myself , '' continued Mr. Enfield . |	|`` It seems scarcely a house . |	|There is no other door , and nobody goes in or out of that one but , once in a great while , the gentleman of my adventure . |	0										
0.655879449293209	51	|No gentleman but wishes to avoid a scene , ' says he . |	|` Name your figure . ' |	|Well , we screwed him up to a hundred pounds for the child 's family ; he would have clearly liked to stick out ; but there was something about the lot of us that meant mischief , and at last he struck . |	1	DEFAULT									
0.321296950499513	80	|You sit quietly on the top of a hill ; and away the stone goes , starting others ; and presently some bland old bird -LRB- the last you would have thought of -RRB- is knocked on the head in his own back garden and the family have to change their name . |	|No sir , I make it a rule of mine : the more it looks like Queer Street , the less I ask . '' |	|`` A very good rule , too , '' said the lawyer . |	2	DEFAULT	DEFAULT								
0.139572414191528	104	|`` You are sure he used a key ? '' |	|he inquired at last . |	|`` My dear sir ... '' began Enfield , surprised out of himself . |	1	DEFAULT									
0.405435324511846	114	|I saw him use it not a week ago . '' |	|Mr. Utterson sighed deeply but said never a word ; and the young man presently resumed . |	|`` Here is another lesson to say nothing , '' said he . |	1	Mr. Utterson									
0.108815445975952	96	|`` He is not easy to describe . |	|There is something wrong with his appearance ; something displeasing , something down-right detestable . |	|I never saw a man I so disliked , and yet I scarce know why . |	1	DEFAULT									
0.452862433983086	37	|The people who had turned out were the girl 's own family ; and pretty soon , the doctor , for whom she had been sent put in his appearance . |	|Well , the child was not much the worse , more frightened , according to the Sawbones ; and there you might have supposed would be an end to it . |	|But there was one curious circumstance . |	1	DEFAULT									
0.977078143143978	12	|It was a nut to crack for many , what these two could see in each other , or what subject they could find in common . |	|It was reported by those who encountered them in their Sunday walks , that they said nothing , looked singularly dull and would hail with obvious relief the appearance of a friend . |	|For all that , the two men put the greatest store by these excursions , counted them the chief jewel of each week , and not only set aside occasions of pleasure , but even resisted the calls of business , that they might enjoy them uninterrupted . |	0										
0.13341233355161	53	|Well , we screwed him up to a hundred pounds for the child 's family ; he would have clearly liked to stick out ; but there was something about the lot of us that meant mischief , and at last he struck . |	|The next thing was to get the money ; and where do you think he carried us but to that place with the door ? |	|-- whipped out a key , went in , and presently came back with the matter of ten pounds in gold and a cheque for the balance on Coutts 's , drawn payable to bearer and signed with a name that I ca n't mention , though it 's one of the points of my story , but it was a name at least very well known and often printed . |	2	DEFAULT	DEFAULT								
0.543506763311288	118	|Let us make a bargain never to refer to this again . '' |	|`` With all my heart , '' said the lawyer . |	|`` I shake hands on that , Richard . '' |	1	DEFAULT									
