Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.033125639896968	373	|Now , while all these ideas were passing through me like lightning , this harpooneer never noticed me at all . |	|But , after some difficulty having opened his bag , he commenced fumbling in it , and presently pulled out a sort of tomahawk , and a seal-skin wallet with the hair on . |	|Placing these on the old chest in the middle of the room , he then took the New Zealand head -- a ghastly thing enough -- and crammed it down into the bag . |	1	DEFAULT									
0.889490856714843	399	|First he takes about a double handful of shavings out of his grego pocket , and places them carefully before the idol ; then laying a bit of ship biscuit on top and applying the flame from the lamp , he kindled the shavings into a sacrificial blaze . |	|Presently , after many hasty snatches into the fire , and still hastier withdrawals of his fingers -LRB- whereby he seemed to be scorching them badly -RRB- , he at last succeeded in drawing out the biscuit ; then blowing off the heat and ashes a little , he made a polite offer of it to the little negro . |	|But the little devil did not seem to fancy such dry sort of fare at all ; he never moved his lips . |	1	DEFAULT									
0.869483220383092	161	|Let them talk of their oriental summer climes of everlasting conservatories ; give me the privilege of making my own summer with my own coals . |	|But what thinks Lazarus ? |	|Can he warm his blue hands by holding them up to the grand northern lights ? |	1	Lazarus									
0.318823991846812	23	|What do they here ? |	|But look ! |	|here come more crowds , pacing straight for the water , and seemingly bound for a dive . |	0										
0.599608742517465	42	|He desires to paint you the dreamiest , shadiest , quietest , most enchanting bit of romantic landscape in all the valley of the Saco . |	|What is the chief element he employs ? |	|There stand his trees , each with a hollow trunk , as if a hermit and a crucifix were within ; and here sleeps his meadow , and there sleep his cattle ; and up from yonder cottage goes a sleepy smoke . |	1	DEFAULT									
0.11085113912465	307	|`` I tell you what it is , landlord , '' said I quite calmly , `` you 'd better stop spinning that yarn to me -- I 'm not green . '' |	|`` May be not , '' taking out a stick and whittling a toothpick , `` but I rayther guess you 'll be done brown if that ere harpooneer hears you a slanderin ' his head . '' |	|`` I 'll break it for him , '' said I , now flying into a passion again at this unaccountable farrago of the landlord 's . |	2	DEFAULT	DEFAULT								
0.117118613187709	379	|Had not the stranger stood between me and the door , I would have bolted out of it quicker than ever I bolted a dinner . |	|Even as it was , I thought something of slipping out of the window , but it was the second floor back . |	|I am no coward , but what to make of this head-peddling purple rascal altogether passed my comprehension . |	1	DEFAULT									
0.241310829363863	438	|It 's dangerous . |	|Besides , I ai n't insured . '' |	|This being told to Queequeg , he at once complied , and again politely motioned me to get into bed -- rolling over to one side as much as to say -- `` I wo n't touch a leg of ye . '' |	1	DEFAULT									
0.668007621262303	95	|I take it that this part of the bill must have run something like this : `` Grand Contested Election for the Presidency of the United States . |	|`` WHALING VOYAGE BY ONE ISHMAEL . |	|`` BLOODY BATTLE IN AFFGHANISTAN . '' |	1	Ishmael									
0.053953358333725	37	|There is magic in it . |	|Let the most absent-minded of men be plunged in his deepest reveries -- stand that man on his legs , set his feet a-going , and he will infallibly lead you to water , if water there be in all that region . |	|Should you ever be athirst in the great American desert , try this experiment , if your caravan happen to be supplied with a metaphysical professor . |	1	DEFAULT									
0.19008153157244	317	|I now demand of you to speak out and tell me who and what this harpooneer is , and whether I shall be in all respects safe to spend the night with him . |	|And in the first place , you will be so good as to unsay that story about selling his head , which if true I take to be good evidence that this harpooneer is stark mad , and I 've no idea of sleeping with a madman ; and you , sir , you I mean , landlord , you , sir , by trying to induce me to do so knowingly , would thereby render yourself liable to a criminal prosecution . '' |	|`` Wall , '' said the landlord , fetching a long breath , `` that 's a purty long sarmon for a chap that rips a little now and then . |	2	DEFAULT	DEFAULT								
0.069896262072259	39	|Should you ever be athirst in the great American desert , try this experiment , if your caravan happen to be supplied with a metaphysical professor . |	|Yes , as every one knows , meditation and water are wedded for ever . |	|But here is an artist . |	0										
