Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.668028917352965	21	|They had been strangers too long . |	|` It 's all over , Mrs. Thingummy ! ' |	|said the surgeon at last . |	1	Mrs. Thingummy									
0.719507745445534	113	|` I -- I drink your health with cheerfulness , Mrs. Mann ' ; and he swallowed half of it . |	|` And now about business , ' said the beadle , taking out a leathern pocket-book . |	|` The child that was half-baptized Oliver Twist , is nine year old to-day . ' |	1	Beadle									
0.960590491634432	114	|` And now about business , ' said the beadle , taking out a leathern pocket-book . |	|` The child that was half-baptized Oliver Twist , is nine year old to-day . ' |	|` Bless him ! ' |	1	Oliver Twist									
0.379435501732191	56	|Occasionally , when there was some more than usually interesting inquest upon a parish child who had been overlooked in turning up a bedstead , or inadvertently scalded to death when there happened to be a washing -- though the latter accident was very scarce , anything approaching to a washing being of rare occurrence in the farm -- the jury would take it into their heads to ask troublesome questions , or the parishioners would rebelliously affix their signatures to a remonstrance . |	|But these impertinences were speedily checked by the evidence of the surgeon , and the testimony of the beadle ; the former of whom had always opened the body and found nothing inside -LRB- which was very probable indeed -RRB- , and the latter of whom invariably swore whatever the parish wanted ; which was very self-devotional . |	|Besides , the board made periodical pilgrimages to the farm , and always sent the beadle the day before , to say they were going . |	1	Beadle									
0.855372461337455	141	|Oliver was about to say that he would go along with anybody with great readiness , when , glancing upward , he caught sight of Mrs. Mann , who had got behind the beadle 's chair , and was shaking her fist at him with a furious countenance . |	|He took the hint at once , for the fist had been too often impressed upon his body not to be deeply impressed upon his recollection . |	|` Will she go with me ? ' |	1	Beadle									
0.905328760906155	203	|The relief was inseparable from the workhouse and the gruel ; and that frightened people . |	|For the first six months after Oliver Twist was removed , the system was in full operation . |	|It was rather expensive at first , in consequence of the increase in the undertaker 's bill , and the necessity of taking in the clothes of all the paupers , which fluttered loosely on their wasted , shrunken forms , after a week or two 's gruel . |	1	Oliver Twist									
0.982031189811185	6	|There being nobody by , however , but a pauper old woman , who was rendered rather misty by an unwonted allowance of beer ; and a parish surgeon who did such matters by contract ; Oliver and Nature fought out the point between them . |	|The result was , that , after a few struggles , Oliver breathed , sneezed , and proceeded to advertise to the inmates of the workhouse the fact of a new burden having been imposed upon the parish , by setting up as loud a cry as could reasonably have been expected from a male infant who had not been possessed of that very useful appendage , a voice , for a much longer space of time than three minutes and a quarter . |	|As Oliver gave this first proof of the free and proper action of his lungs , the patchwork coverlet which was carelessly flung over the iron bedstead , rustled ; the pale face of a young woman was raised feebly from the pillow ; and a faint voice imperfectly articulated the words , ` Let me see the child , and die . ' |	1	Oliver Twist									
0.640780813795475	154	|Wretched as were the little companions in misery he was leaving behind , they were the only friends he had ever known ; and a sense of his loneliness in the great wide world , sank into the child 's heart for the first time . |	|Mr. Bumble walked on with long strides ; little Oliver , firmly grasping his gold-laced cuff , trotted beside him , inquiring at the end of every quarter of a mile whether they were ` nearly there . ' |	|To these interrogations Mr. Bumble returned very brief and snappish replies ; for the temporary blandness which gin-and-water awakens in some bosoms had by this time evaporated ; and he was once again a beadle . |	2	Mr. Bumble	Oliver Twist								
0.758234894427858	228	|Oliver Twist has asked for more ! ' |	|There was a general start . |	|Horror was depicted on every countenance . |	0										
0.693560225907382	10	|As the young woman spoke , he rose , and advancing to the bed 's head , said , with more kindness than might have been expected of him : ` Oh , you must not talk about dying yet . ' |	|` Lor bless her dear heart , no ! ' |	|interposed the nurse , hastily depositing in her pocket a green glass bottle , the contents of which she had been tasting in a corner with evident satisfaction . |	0										
0.930632282390918	91	|` Not a drop . |	|Nor a drop , ' said Mr. Bumble , waving his right hand in a dignified , but placid manner . ' |	|I think you will , ' said Mrs. Mann , who had noticed the tone of the refusal , and the gesture that had accompanied it . |	1	Mr. Bumble									
0.930879502587978	196	|It was a regular place of public entertainment for the poorer classes ; a tavern where there was nothing to pay ; a public breakfast , dinner , tea , and supper all the year round ; a brick and mortar elysium , where it was all play and no work . |	|` Oho ! ' |	|said the board , looking very knowing ; ` we are the fellows to set this to rights ; we 'll stop it all , in no time . ' |	0										
0.38699726960271	50	|Sevenpence-halfpenny 's worth per week is a good round diet for a child ; a great deal may be got for sevenpence-halfpenny , quite enough to overload its stomach , and make it uncomfortable . |	|The elderly female was a woman of wisdom and experience ; she knew what was good for children ; and she had a very accurate perception of what was good for herself . |	|So , she appropriated the greater part of the weekly stipend to her own use , and consigned the rising parochial generation to even a shorter allowance than was originally provided for them . |	1	DEFAULT									
0.067409799620098	39	|What an excellent example of the power of dress , young Oliver Twist was ! |	|Wrapped in the blanket which had hitherto formed his only covering , he might have been the child of a nobleman or a beggar ; it would have been hard for the haughtiest stranger to have assigned him his proper station in society . |	|But now that he was enveloped in the old calico robes which had grown yellow in the same service , he was badged and ticketed , and fell into his place at once -- a parish child -- the orphan of a workhouse -- the humble , half-starved drudge -- to be cuffed and buffeted through the world -- despised by all , and pitied by none . |	1	Oliver Twist									
