Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.727342011598537	139	|When the man brought him water he drank eagerly , and later bolted a generous meal of raw meat , chunk by chunk , from the man 's hand . |	|He was beaten -LRB- he knew that -RRB- ; but he was not broken . |	|He saw , once for all , that he stood no chance against a man with a club . |	1	DEFAULT									
0.461901655619129	58	|His hand was wrapped in a bloody handkerchief , and the right trouser leg was ripped from knee to ankle . |	|`` How much did the other mug get ? '' |	|the saloon-keeper demanded . |	0										
0.756034711601185	147	|Again and again , as he looked at each brutal performance , the lesson was driven home to Buck : a man with a club was a lawgiver , a master to be obeyed , though not necessarily conciliated . |	|Of this last Buck was never guilty , though he did see beaten dogs that fawned upon the man , and wagged their tails , and licked his hand . |	|Also he saw one dog , that would neither conciliate nor obey , finally killed in the struggle for mastery . |	2	Buck	DEFAULT								
0.292617082627228	14	|It was true , there were other dogs , There could not but be other dogs on so vast a place , but they did not count . |	|They came and went , resided in the populous kennels , or lived obscurely in the recesses of the house after the fashion of Toots , the Japanese pug , or Ysabel , the Mexican hairless , -- strange creatures that rarely put nose out of doors or set foot to ground . |	|On the other hand , there were the fox terriers , a score of them at least , who yelped fearful promises at Toots and Ysabel looking out of the windows at them and protected by a legion of housemaids armed with brooms and mops . |	2	Toots	Ysabel								
0.933282167697055	65	|`` If I do n't get the hydrophoby -- '' `` It 'll be because you was born to hang , '' laughed the saloon-keeper . |	|`` Here , lend me a hand before you pull your freight , '' he added . |	|Dazed , suffering intolerable pain from throat and tongue , with the life half throttled out of him , Buck attempted to face his tormentors . |	2	Buck	DEFAULT								
0.525537450560236	186	|More of this white stuff was falling through the air . |	|He shook himself , but more of it fell upon him . |	|He sniffed it curiously , then licked some up on his tongue . |	1	DEFAULT									
0.945527181551916	146	|As the days went by , other dogs came , in crates and at the ends of ropes , some docilely , and some raging and roaring as he had come ; and , one and all , he watched them pass under the dominion of the man in the red sweater . |	|Again and again , as he looked at each brutal performance , the lesson was driven home to Buck : a man with a club was a lawgiver , a master to be obeyed , though not necessarily conciliated . |	|Of this last Buck was never guilty , though he did see beaten dogs that fawned upon the man , and wagged their tails , and licked his hand . |	1	Buck									
0.712525600312381	61	|`` A hundred , '' was the reply . |	|`` Would n't take a sou less , so help me . '' |	|`` That makes a hundred and fifty , '' the saloon-keeper calculated ; `` and he 's worth it , or I 'm a squarehead . '' |	1	DEFAULT									
0.601402655874146	23	|Nevertheless , one hundred and forty pounds , to which was added the dignity that comes of good living and universal respect , enabled him to carry himself in right royal fashion . |	|During the four years since his puppyhood he had lived the life of a sated aristocrat ; he had a fine pride in himself , was even a trifle egotistical , as country gentlemen sometimes become because of their insular situation . |	|But he had saved himself by not becoming a mere pampered house-dog . |	1	DEFAULT									
0.200299695006438	125	|Buck described a complete circle in the air , and half of another , then crashed to the ground on his head and chest . |	|For the last time he rushed . |	|The man struck the shrewd blow he had purposely withheld for so long , and Buck crumpled up and went down , knocked utterly senseless . |	1	DEFAULT									
