Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.420694768277783	52	|`` Yes , '' said Danglars , darting at Edmond a look gleaming with hate . |	|`` Yes , he is young , and youth is invariably self-confident . |	|Scarcely was the captain 's breath out of his body when he assumed the command without consulting anyone , and he caused us to lose a day and a half at the Island of Elba , instead of making for Marseilles direct . '' |	1	Edmond Dant̬s									
0.510859231705066	97	|But , pardon me , here are the health officers and the customs inspectors coming alongside . '' |	|And the young man went to the gangway . |	|As he departed , Danglars approached , and said , -- `` Well , it appears that he has given you satisfactory reasons for his landing at Porto-Ferrajo ? '' |	1	DEFAULT									
0.853718132982487	26	|All hands obeyed , and at once the eight or ten seamen who composed the crew , sprang to their respective stations at the spanker brails and outhaul , topsail sheets and halyards , the jib downhaul , and the topsail clewlines and buntlines . |	|The young sailor gave a look to see that his orders were promptly and accurately obeyed , and then turned again to the owner . |	|`` And how did this misfortune occur ? '' |	1	DEFAULT									
0.206717649674906	56	|`` The vessel was in as good condition as I am , and as , I hope you are , M. Morrel , and this day and a half was lost from pure whim , for the pleasure of going ashore , and nothing else . '' |	|`` Dant̬s , '' said the shipowner , turning towards the young man , `` come this way ! '' |	|`` In a moment , sir , '' answered Dant̬s , `` and I 'm with you . '' |	2	Edmond Dant̬s	DEFAULT								
0.235307534601014	81	|`` And you spoke to him ? '' |	|`` Why , it was he who spoke to me , sir , '' said Dant̬s , with a smile . |	|`` And what did he say to you ? '' |	2	DEFAULT	Edmond Dant̬s								
0.860035568151348	35	|It was worth while , truly , '' added the young man with a melancholy smile , `` to make war against the English for ten years , and to die in his bed at last , like everybody else . '' |	|`` Why , you see , Edmond , '' replied the owner , who appeared more comforted at every moment , `` we are all mortal , and the old must make way for the young . |	|If not , why , there would be no promotion ; and since you assure me that the cargo -- '' `` Is all safe and sound , M. Morrel , take my word for it ; and I advise you not to take 25,000 francs for the profits of the voyage . '' |	2	Edmond Dant̬s	M. Morrel								
0.8004144176801	93	|Dant̬s , you must tell my uncle that the emperor remembered him , and you will see it will bring tears into the old soldier 's eyes . |	|Come , come , '' continued he , patting Edmond 's shoulder kindly , `` you did very right , Dant̬s , to follow Captain Leclere 's instructions , and touch at Elba , although if it were known that you had conveyed a packet to the marshal , and had conversed with the emperor , it might bring you into trouble . '' |	|`` How could that bring me into trouble , sir ? '' |	3	Edmond Dant̬s	Leclere	DEFAULT							
0.091396945175035	31	|After a long talk with the harbor-master , Captain Leclere left Naples greatly disturbed in mind . |	|In twenty-four hours he was attacked by a fever , and died three days afterwards . |	|We performed the usual burial service , and he is at his rest , sewn up in his hammock with a thirty-six pound shot at his head and his heels , off El Giglio island . |	1	Leclere									
0.93029408575938	145	|`` Sometimes one and the same thing , '' said Morrel , with a smile . |	|`` Not with us , sir , '' replied Dant̬s . |	|`` Well , well , my dear Edmond , '' continued the owner , `` do n't let me detain you . |	2	Edmond Dant̬s	DEFAULT								
0.635717839359841	57	|`` Dant̬s , '' said the shipowner , turning towards the young man , `` come this way ! '' |	|`` In a moment , sir , '' answered Dant̬s , `` and I 'm with you . '' |	|Then calling to the crew , he said -- `` Let go ! '' |	2	Edmond Dant̬s	DEFAULT								
