Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.185289995873563	126	|The late afternoon was bright and peaceful . |	|The flowers glowed red and golden : snap-dragons and sun-flowers , and nasturtiums trailing all over the turf walls and peeping in at the round windows . |	|` How bright your garden looks ! ' |	0										
0.375266911397973	521	|` Put it on the mantelpiece . |	|It will be safe enough there , till Frodo comes . |	|I shall wait for him . ' |	1	Frodo Baggins									
0.987835320517435	117	|They knew him by sight , though he only appeared in Hobbiton occasionally and never stopped long ; but neither they nor any but the oldest of their elders had seen one of his firework displays - they now belonged to the legendary past . |	|When the old man , helped by Bilbo and some dwarves , had finished unloading . |	|Bilbo gave a few pennies away ; but not a single squib or cracker was forthcoming , to the disappointment of the onlookers . |	1	Mr. Bilbo Baggins									
0.054354711717669	62	|Old Master Gorbadoc never had fewer than a couple of hundred relations in the place . |	|Mr. Bilbo never did a kinder deed than when he brought the lad back to live among decent folk . |	|` But I reckon it was a nasty shock for those Sackville-Bagginses . |	1	Mr. Bilbo Baggins									
0.822295524596992	607	|Inside in the hall there was piled a large assortment of packages and parcels and small articles of furniture . |	|On every item there was a label tied . |	|There were several labels of this sort : For ADELARD TOOK , for his VERY OWN , from Bilbo , on an umbrella . |	0										
0.835431528946639	146	|Before long the invitations began pouring out , and the Hobbiton post-office was blocked , and the Bywater post-office was snowed under , and voluntary assistant postmen were called for . |	|There was a constant stream of them going up the Hill , carrying hundreds of polite variations on Thank you , I shall certainly come . |	|A notice appeared on the gate at Bag End : NO ADMITTANCE EXCEPT ON PARTY BUSINESS . |	0										
0.798768242128539	409	|And I do n't really see why I should . |	|Why do you want me to ? ' |	|he asked , and a curious change came over his voice . |	2	DEFAULT	DEFAULT								
0.217113319594559	632	|Old Rory Brandybuck , in return for much hospitality , got a dozen bottles of Old Winyards : a strong red wine from the Southfarthing , and now quite mature , as it had been laid down by Bilbo 's father . |	|Rory quite forgave Bilbo , and voted him a capital fellow after the first bottle . |	|There was plenty of everything left for Frodo . |	2	Rory Brandybuck	Mr. Bilbo Baggins								
0.781576298671121	739	|He got up . |	|` At once ! |	|` cried Frodo . |	0										
0.821800821708254	94	|There 's some not far away that would n't offer a pint of beer to a friend , if they lived in a hole with golden walls . |	|But they do things proper at Bag End . |	|Our Sam says that everyone 's going to be invited to the party , and there 's going to be presents , mark you , presents for all - this very month as is . ' |	0										
0.963598936107376	43	|But be that as it may , Mr. Frodo is as nice a young hobbit as you could wish to meet . |	|Very much like Mr. Bilbo , and in more than looks . |	|After all his father was a Baggins . |	1	Mr. Bilbo Baggins									
0.004539533488635	314	|He called loudly to Frodo to send the wine round again . |	|Frodo was the only one present who had said nothing . |	|For some time he had sat silent beside Bilbo 's empty chair , and ignored all remarks and questions . |	1	Frodo Baggins									
0.58884964072233	365	|I need a change , or something . ' |	|Gandalf looked curiously and closely at him . |	|` No , it does not seem right , ' he said thoughtfully . |	2	Gandalf	DEFAULT								
0.821238292488706	412	|It was sharp with suspicion and annoyance . |	|` You are always badgering me about my ring ; but you have never bothered me about the other things that I got on my journey . ' |	|` No , but I had to badger you , ' said Gandalf . ' |	2	DEFAULT	Gandalf								
0.089907198318277	284	|I was only fifty-one then , and birthdays did not seem so important . |	|The banquet was very splendid , however , though I had a bad cold at the time , I remember , and could only say ` thagyou very buch ' . |	|I now repeat it more correctly : Thank you very much for coming to my little party . |	1	DEFAULT									
0.022766074605944	431	|` Yes , yes , ' said Gandalf . |	|` But there is no need to get angry . ' |	|` If I am it is your fault , ' said Bilbo . |	0										
0.760580056032454	243	|I hope you are all enjoying yourselves as much as I am . |	|Deafening cheers . |	|Cries of Yes -LRB- and No -RRB- . |	0										
0.693440247897757	70	|` All the top of your hill is full of tunnels packed with chests of gold and silver , and jools , by what I 've heard . ' |	|` Then you 've heard more than I can speak to , ' answered the Gaffer . |	|I know nothing about jools . |	1	DEFAULT									
0.432560650878416	693	|` If you do n't let me in , Frodo , I shall blow your door right down your hole and out through the hill , ' he said . |	|` My dear Gandalf ! |	|Half a minute ! ' |	2	Frodo Baggins	Gandalf								
0.408310445559626	318	|He had difficulty in keeping from laughter at the indignant surprise of the guests . |	|But at the same time he felt deeply troubled : he realized suddenly that he loved the old hobbit dearly . |	|Most of the guests went on eating and drinking and discussing Bilbo Baggins ' oddities , past and present ; but the Sackville-Bagginses had already departed in wrath . |	1	DEFAULT									
0.520254078435504	584	|` Has he left me that ? |	|I wonder why . |	|Still , it may be useful . ' |	1	DEFAULT									
0.668431468559883	726	|It may have other powers than just making you vanish when you wish to . ' ' |	|I do n't understand , ' said Frodo . |	|` Neither do I , ' answered the wizard . ' |	1	Frodo Baggins									
0.308915457053271	518	|You had better take it and deliver it for me . |	|That will be safest . ' |	|` No , do n't give the ring to me , ' said Gandalf . |	0										
0.612869885018569	546	|` Good-bye , Gandalf ! ' |	|` Good-bye , for the present , Bilbo . |	|Take care of yourself ! |	1	Mr. Bilbo Baggins									
0.535570596890294	275	|The Sackville-Bagginses scowled , and wondered what was meant by ` coming into his inheritance ' . |	|Together we score one hundred and forty-four . |	|Your numbers were chosen to fit this remarkable total : One Gross , if I may use the expression . |	0										
0.803059711342637	242	|This was the sort of stuff they liked : short and obvious . |	|I hope you are all enjoying yourselves as much as I am . |	|Deafening cheers . |	1	DEFAULT									
0.336094755665276	419	|I should like to know where it is , if you go wandering again . |	|Also I think you have had it quite long enough . |	|You wo n't need it any more . |	2	DEFAULT	DEFAULT								
0.363509974494685	466	|If you say that again , I shall . |	|Then you will see Gandalf the Grey uncloaked . ' |	|He took a step towards the hobbit , and he seemed to grow tall and menacing ; his shadow filled the little room . |	1	Gandalf									
0.853297794381678	595	|Gardeners came by arrangement , and removed in wheel-barrows those that had inadvertently remained behind . |	|Night slowly passed . |	|The sun rose . |	0										
