Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.021189921404628	88	|But at the same moment , his two auditors , accompanied by the host , fell upon dâ€™Artagnan with sticks , shovels and tongs . |	|This caused so rapid and complete a diversion from the attack that dâ€™Artagnan 's adversary , while the latter turned round to face this shower of blows , sheathed his sword with the same precision , and instead of an actor , which he had nearly been , became a spectator of the fight -- a part in which he acquitted himself with his usual impassiveness , muttering , nevertheless , `` A plague upon these Gascons ! |	|Replace him on his orange horse , and let him begone ! '' |	2	M. dâ€™Artagnan	DEFAULT								
0.926548486751518	237	|He would not have risked more if he had said twenty thousand ; but a certain juvenile modesty restrained him . |	|A ray of light all at once broke upon the mind of the host as he was giving himself to the devil upon finding nothing . |	|`` That letter is not lost ! '' |	1	DEFAULT									
0.041900031104075	7	|It resulted , then , from this habit that on the said first Monday of April , 1625 , the citizens , on hearing the clamor , and seeing neither the red-and-yellow standard nor the livery of the Duc de Richelieu , rushed toward the hostel of the Jolly Miller . |	|When arrived there , the cause of the hubbub was apparent to all . |	|A young man -- we can sketch his portrait at a dash . |	0										
0.396452756801171	162	|Giving him to understand that the police would deal with him pretty severely for having sought a quarrel with a great lord -- for in the opinion of the host the stranger could be nothing less than a great lord -- he insisted that notwithstanding his weakness dâ€™Artagnan should get up and depart as quickly as possible . |	|Dâ€™Artagnan , half stupefied , without his doublet , and with his head bound up in a linen cloth , arose then , and urged by the host , began to descend the stairs ; but on arriving at the kitchen , the first thing he saw was his antagonist talking calmly at the step of a heavy carriage , drawn by two large Norman horses . |	|His interlocutor , whose head appeared through the carriage window , was a woman of from twenty to two-and-twenty years . |	2	M. dâ€™Artagnan	DEFAULT								
0.780555064460216	129	|The latter rose from the front of the window , upon the sill of which he had leaned with his elbow , and knitted his brow like a man disquieted . |	|`` The devil ! '' |	|murmured he , between his teeth . |	0										
0.478999516004526	78	|and turning on his heel , was about to re-enter the hostelry by the front gate , beneath which dâ€™Artagnan on arriving had observed a saddled horse . |	|But , dâ€™Artagnan was not of a character to allow a man to escape him thus who had the insolence to ridicule him . |	|He drew his sword entirely from the scabbard , and followed him , crying , `` Turn , turn , Master Joker , lest I strike you behind ! '' |	1	M. dâ€™Artagnan									
0.504385461864651	64	|Unfortunately , as he advanced , his anger increased at every step ; and instead of the proper and lofty speech he had prepared as a prelude to his challenge , he found nothing at the tip of his tongue but a gross personality , which he accompanied with a furious gesture . |	|`` I say , sir , you sir , who are hiding yourself behind that shutter -- yes , you , sir , tell me what you are laughing at , and we will laugh together ! '' |	|The gentleman raised his eyes slowly from the nag to his cavalier , as if he required some time to ascertain whether it could be to him that such strange reproaches were addressed ; then , when he could not possibly entertain any doubt of the matter , his eyebrows slightly bent , and with an accent of irony and insolence impossible to be described , he replied to dâ€™Artagnan , `` I was not speaking to you , sir . '' |	2	DEFAULT	M. dâ€™Artagnan								
0.989349212563547	166	|He perceived then , at a glance , that this woman was young and beautiful ; and her style of beauty struck him more forcibly from its being totally different from that of the southern countries in which dâ€™Artagnan had hitherto resided . |	|She was pale and fair , with long curls falling in profusion over her shoulders , had large , blue , languishing eyes , rosy lips , and hands of alabaster . |	|She was talking with great animation with the stranger . |	1	DEFAULT									
0.361537003768952	127	|`` Exactly as I have the honor to tell your Excellency . '' |	|The host , who was not endowed with great perspicacity , did not observe the expression which his words had given to the physiognomy of the stranger . |	|The latter rose from the front of the window , upon the sill of which he had leaned with his elbow , and knitted his brow like a man disquieted . |	1	DEFAULT									
0.065813534611329	73	|`` It is a color very well known in botany , but till the present time very rare among horses . '' |	|`` There are people who laugh at the horse that would not dare to laugh at the master , '' cried the young emulator of the furious Treville . |	|`` I do not often laugh , sir , '' replied the stranger , `` as you may perceive by the expression of my countenance ; but nevertheless I retain the privilege of laughing when I please . '' |	1	Monsieur de Treville									
0.037172148315997	65	|`` I say , sir , you sir , who are hiding yourself behind that shutter -- yes , you , sir , tell me what you are laughing at , and we will laugh together ! '' |	|The gentleman raised his eyes slowly from the nag to his cavalier , as if he required some time to ascertain whether it could be to him that such strange reproaches were addressed ; then , when he could not possibly entertain any doubt of the matter , his eyebrows slightly bent , and with an accent of irony and insolence impossible to be described , he replied to dâ€™Artagnan , `` I was not speaking to you , sir . '' |	|`` But I am speaking to you ! '' |	2	DEFAULT	M. dâ€™Artagnan								
