|Many citizens , seeing the women flying toward the High Street , leaving their children crying at the open doors , hastened to don the cuirass , and supporting their somewhat uncertain courage with a musket or a partisan , directed their steps toward the hostelry of the Jolly Miller , before which was gathered , increasing every minute , a compact group , vociferous and full of curiosity . |	Jolly Miller									
|In those times panics were common , and few days passed without some city or other registering in its archives an event of this kind . |										
|There were nobles , who made war against each other ; there was the king , who made war against the cardinal ; there was Spain , which made war against the king . |										
|Then , in addition to these concealed or public , secret or open wars , there were robbers , mendicants , Huguenots , wolves , and scoundrels , who made war upon everybody . |										
|The citizens always took up arms readily against thieves , wolves or scoundrels , often against nobles or Huguenots , sometimes against the king , but never against the cardinal or Spain . |										
|It resulted , then , from this habit that on the said first Monday of April , 1625 , the citizens , on hearing the clamor , and seeing neither the red-and-yellow standard nor the livery of the Duc de Richelieu , rushed toward the hostel of the Jolly Miller . |	Jolly Miller									
|When arrived there , the cause of the hubbub was apparent to all . |										
|A young man -- we can sketch his portrait at a dash . |	DEFAULT									
|Imagine to yourself a Don Quixote of eighteen ; a Don Quixote without his corselet , without his coat of mail , without his cuisses ; a Don Quixote clothed in a woolen doublet , the blue color of which had faded into a nameless shade between lees of wine and a heavenly azure ; face long and brown ; high cheek bones , a sign of sagacity ; the maxillary muscles enormously developed , an infallible sign by which a Gascon may always be detected , even without his cap -- and our young man wore a cap set off with a sort of feather ; the eye open and intelligent ; the nose hooked , but finely chiseled . |	Don Quixote									
|Too big for a youth , too small for a grown man , an experienced eye might have taken him for a farmer 's son upon a journey had it not been for the long sword which , dangling from a leather baldric , hit against the calves of its owner as he walked , and against the rough side of his steed when he was on horseback . |	DEFAULT									
|For our young man had a steed which was the observed of all observers . |										
|It was a Bearn pony , from twelve to fourteen years old , yellow in his hide , without a hair in his tail , but not without windgalls on his legs , which , though going with his head lower than his knees , rendering a martingale quite unnecessary , contrived nevertheless to perform his eight leagues a day . |										
|Unfortunately , the qualities of this horse were so well concealed under his strange-colored hide and his unaccountable gait , that at a time when everybody was a connoisseur in horseflesh , the appearance of the aforesaid pony at Meung -- which place he had entered about a quarter of an hour before , by the gate of Beaugency -- produced an unfavorable feeling , which extended to his rider . |										
|And this feeling had been more painfully perceived by young dâ€™Artagnan -- for so was the Don Quixote of this second Rosinante named -- from his not being able to conceal from himself the ridiculous appearance that such a steed gave him , good horseman as he was . |	M. dâ€™Artagnan	Don Quixote								
|He had sighed deeply , therefore , when accepting the gift of the pony from M. dâ€™Artagnan the elder . |	M. dâ€™Artagnan	DEFAULT								
|He was not ignorant that such a beast was worth at least twenty livres ; and the words which had accompanied the present were above all price . |	M. dâ€™Artagnan									
|`` My son , '' said the old Gascon gentleman , in that pure Bearn PATOIS of which Henry IV could never rid himself , `` this horse was born in the house of your father about thirteen years ago , and has remained in it ever since , which ought to make you love it . |	Henry IV	DEFAULT	DEFAULT							
|Never sell it ; allow it to die tranquilly and honorably of old age , and if you make a campaign with it , take as much care of it as you would of an old servant . |	M. dâ€™Artagnan									
|At court , provided you have ever the honor to go there , '' continued M. dâ€™Artagnan the elder , `` -- an honor to which , remember , your ancient nobility gives you the right -- sustain worthily your name of gentleman , which has been worthily borne by your ancestors for five hundred years , both for your own sake and the sake of those who belong to you . |	DEFAULT	M. dâ€™Artagnan								
|By the latter I mean your relatives and friends . |	M. dâ€™Artagnan									
|Endure nothing from anyone except Monsieur the Cardinal and the king . |	Monsieur de Treville									
|It is by his courage , please observe , by his courage alone , that a gentleman can make his way nowadays . |	Monsieur de Treville									
|Whoever hesitates for a second perhaps allows the bait to escape which during that exact second fortune held out to him . |	DEFAULT									
|You are young . |	DEFAULT									
|You ought to be brave for two reasons : the first is that you are a Gascon , and the second is that you are my son . |	DEFAULT	DEFAULT								
|Never fear quarrels , but seek adventures . |										
|I have taught you how to handle a sword ; you have thews of iron , a wrist of steel . |	DEFAULT	DEFAULT								
|Fight on all occasions . |										
|Fight the more for duels being forbidden , since consequently there is twice as much courage in fighting . |										
|I have nothing to give you , my son , but fifteen crowns , my horse , and the counsels you have just heard . |	DEFAULT	DEFAULT								
|Your mother will add to them a recipe for a certain balsam , which she had from a Bohemian and which has the miraculous virtue of curing all wounds that do not reach the heart . |	DEFAULT	DEFAULT								
|Take advantage of all , and live happily and long . |										
|I have but one word to add , and that is to propose an example to you -- not mine , for I myself have never appeared at court , and have only taken part in religious wars as a volunteer ; I speak of Monsieur de Treville , who was formerly my neighbor , and who had the honor to be , as a child , the play-fellow of our king , Louis XIII , whom God preserve ! |	DEFAULT	DEFAULT	Monsieur de Treville	Louis XIII						
|Sometimes their play degenerated into battles , and in these battles the king was not always the stronger . |										
|The blows which he received increased greatly his esteem and friendship for Monsieur de Treville . |	DEFAULT	Monsieur de Treville								
|Afterward , Monsieur de Treville fought with others : in his first journey to Paris , five times ; from the death of the late king till the young one came of age , without reckoning wars and sieges , seven times ; and from that date up to the present day , a hundred times , perhaps ! |	Monsieur de Treville									
|So that in spite of edicts , ordinances , and decrees , there he is , captain of the Musketeers ; that is to say , chief of a legion of Caesars , whom the king holds in great esteem and whom the cardinal dreads -- he who dreads nothing , as it is said . |	Monsieur de Treville	DEFAULT								
|Still further , Monsieur de Treville gains ten thousand crowns a year ; he is therefore a great noble . |	Monsieur de Treville									
|He began as you begin . |	Monsieur de Treville	DEFAULT								
|Go to him with this letter , and make him your model in order that you may do as he has done . '' |	M. dâ€™Artagnan	DEFAULT								
|Upon which M. dâ€™Artagnan the elder girded his own sword round his son , kissed him tenderly on both cheeks , and gave him his benediction . |	M. dâ€™Artagnan	DEFAULT								
|On leaving the paternal chamber , the young man found his mother , who was waiting for him with the famous recipe of which the counsels we have just repeated would necessitate frequent employment . |	M. dâ€™Artagnan									
|The adieux were on this side longer and more tender than they had been on the other -- not that M. dâ€™Artagnan did not love his son , who was his only offspring , but M. dâ€™Artagnan was a man , and he would have considered it unworthy of a man to give way to his feelings ; whereas Mme. dâ€™Artagnan was a woman , and still more , a mother . |	M. dâ€™Artagnan	Mme. dâ€™Artagnan								
|She wept abundantly ; and -- let us speak it to the praise of M. dâ€™Artagnan the younger -- notwithstanding the efforts he made to remain firm , as a future Musketeer ought , nature prevailed , and he shed many tears , of which he succeeded with great difficulty in concealing the half . |	M. dâ€™Artagnan	Mme. dâ€™Artagnan								
|The same day the young man set forward on his journey , furnished with the three paternal gifts , which consisted , as we have said , of fifteen crowns , the horse , and the letter for M. de Treville -- the counsels being thrown into the bargain . |	M. dâ€™Artagnan	Monsieur de Treville								
|With such a VADE MECUM dâ€™Artagnan was morally and physically an exact copy of the hero of Cervantes , to whom we so happily compared him when our duty of an historian placed us under the necessity of sketching his portrait . |	M. dâ€™Artagnan	Cervantes								
|Don Quixote took windmills for giants , and sheep for armies ; dâ€™Artagnan took every smile for an insult , and every look as a provocation -- whence it resulted that from Tarbes to Meung his fist was constantly doubled , or his hand on the hilt of his sword ; and yet the fist did not descend upon any jaw , nor did the sword issue from its scabbard . |	Don Quixote	M. dâ€™Artagnan								
|It was not that the sight of the wretched pony did not excite numerous smiles on the countenances of passers-by ; but as against the side of this pony rattled a sword of respectable length , and as over this sword gleamed an eye rather ferocious than haughty , these passers-by repressed their hilarity , or if hilarity prevailed over prudence , they endeavored to laugh only on one side , like the masks of the ancients . |										
|Dâ€™Artagnan , then , remained majestic and intact in his susceptibility , till he came to this unlucky city of Meung . |	M. dâ€™Artagnan									
|But there , as he was alighting from his horse at the gate of the Jolly Miller , without anyone -- host , waiter , or hostler -- coming to hold his stirrup or take his horse , dâ€™Artagnan spied , though an open window on the ground floor , a gentleman , well-made and of good carriage , although of rather a stern countenance , talking with two persons who appeared to listen to him with respect . |	Jolly Miller	M. dâ€™Artagnan	DEFAULT							
|Dâ€™Artagnan fancied quite naturally , according to his custom , that he must be the object of their conversation , and listened . |	M. dâ€™Artagnan									
