Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.672029374221002	91	|The second was written to Mr. Booker , of the ` Literary Chronicle . ' |	|Mr. Booker was a hard-working professor of literature , by no means without talent , by no means without influence , and by no means without a conscience . |	|But , from the nature of the struggles in which he had been engaged , by compromises which had gradually been driven upon him by the encroachment of brother authors on the one side and by the demands on the other of employers who looked only to their profits , he had fallen into a routine of work in which it was very difficult to be scrupulous , and almost impossible to maintain the delicacies of a literary conscience . |	1	Mr. Booker									
0.124460312322526	292	|He was very dark , with that soft olive complexion which so generally gives to young men an appearance of aristocratic breeding . |	|His hair , which was never allowed to become long , was nearly black , and was soft and silky without that taint of grease which is so common with silken-headed darlings . |	|His eyes were long , brown in colour , and were made beautiful by the perfect arch of the perfect eyebrow . |	1	DEFAULT									
0.774945547479062	11	|I almost think you will like my ` Criminal Queens . ' |	|The sketch of Semiramis is at any rate spirited , though I had to twist it about a little to bring her in guilty . |	|Cleopatra , of course , I have taken from Shakespeare . |	2	DEFAULT	Semiramis								
0.608861589641564	230	|She had hitherto endeavoured to do her duty , knowing that in accepting her position she was bound to take the good and the bad together . |	|She had certainly encountered hitherto much that was bad . |	|To be scolded , watched , beaten , and sworn at by a choleric old man till she was at last driven out of her house by the violence of his ill-usage ; to be taken back as a favour with the assurance that her name would for the remainder of her life be unjustly tarnished ; to have her flight constantly thrown in her face ; and then at last to become for a year or two the nurse of a dying debauchee , was a high price to pay for such good things as she had hitherto enjoyed . |	1	DEFAULT									
0.393228726177405	182	|CHAPTER II . |	|THE CARBURY FAMILY . |	|Something of herself and condition Lady Carbury has told the reader in the letters given in the former chapter , but more must be added . |	0										
0.639723491255049	264	|She was almost proud of his vices , and had taken delight in hearing of doings which if not vicious of themselves had been ruinous from their extravagance . |	|She had so indulged him that even in her own presence he was never ashamed of his own selfishness or apparently conscious of the injustice which he did to others . |	|From all this it had come to pass that that dabbling in literature which had been commenced partly perhaps from a sense of pleasure in the work , partly as a passport into society , had been converted into hard work by which money if possible might be earned . |	2	DEFAULT	DEFAULT								
0.486606256492846	260	|The mother 's feeling was less noble , -- or perhaps , it might better be said , more open to censure . |	|The boy , who had been beautiful as a star , had ever been the cynosure of her eyes , the one thing on which her heart had rivetted itself . |	|Even during the career of his folly she had hardly ventured to say a word to him with the purport of stopping him on his road to ruin . |	1	DEFAULT									
0.257088955385429	248	|Sir Felix was then twenty-five , had been in a fashionable regiment for four years , had already sold out , and , to own the truth at once , had altogether wasted the property which his father had left him . |	|So much the mother knew , -- and knew , therefore , that with her limited income she must maintain not only herself and daughter , but also the baronet . |	|She did not know , however , the amount of the baronet 's obligations ; -- nor , indeed , did he , or any one else . |	1	DEFAULT									
0.028898966690792	141	|But censure from those who are always finding fault is regarded so much as a matter of course that it ceases to be objectionable . |	|The caricaturist , who draws only caricatures , is held to be justifiable , let him take what liberties he may with a man 's face and person . |	|It is his trade , and his business calls upon him to vilify all that he touches . |	1	DEFAULT									
0.787584906729553	157	|He also was intimate after his fashion with Lady Carbury , whose diligence in making and fostering useful friendships had been unwearied . |	|Her letter to Mr. Alf was as follows ; -- DEAR MR. ALF , -- Do tell me who wrote the review on Fitzgerald Barker 's last poem . |	|Only I know you wo n't . |	3	Lady Carbury	Mr. Ferdinand Alf	Fitzgerald Barker							
0.529377261705511	23	|I am afraid that I have been tempted into too great length about the Italian Catherine ; but in truth she has been my favourite . |	|What a woman ! |	|What a devil ! |	0										
0.031354894677161	14	|What a wench she was ! |	|I could not quite make Julia a queen ; but it was impossible to pass over so piquant a character . |	|You will recognise in the two or three ladies of the empire how faithfully I have studied my Gibbon . |	2	DEFAULT	Julia								
0.700822609977735	118	|Stretched-out type , insufficient lines , and the French habit of meandering with a few words over an entire page , had been rebuked by him with conscientious strength . |	|He was supposed to be rather an Aristides among reviewers . |	|But circumstanced as he was he could not oppose himself altogether to the usages of the time . |	1	DEFAULT									
0.014325299040076	301	|But he had been clever enough to dress himself always with simplicity and to avoid the appearance of thought about his outward man . |	|As yet the little world of his associates had hardly found out how callous were his affections , -- or rather how devoid he was of affection . |	|His airs and his appearance , joined with some cleverness , had carried him through even the viciousness of his life . |	1	DEFAULT									
0.713992506814351	167	|To puff and to get one 's self puffed have become different branches of a new profession . |	|Alas , me ! |	|I wish I might find a class open in which lessons could be taken by such a poor tyro as myself . |	1	DEFAULT									
0.525218779558693	66	|Is it not so ? |	|Surely you do not wish to put an end to the friendship between us ! ' |	|` Put an end to our friendship , Lady Carbury ! |	1	Lady Carbury									
0.569348284948791	247	|At the time of the writing of the three letters , at which our story is supposed to begin , she was driven very hard for money . |	|Sir Felix was then twenty-five , had been in a fashionable regiment for four years , had already sold out , and , to own the truth at once , had altogether wasted the property which his father had left him . |	|So much the mother knew , -- and knew , therefore , that with her limited income she must maintain not only herself and daughter , but also the baronet . |	1	Felix Carbury									
0.698784108994836	318	|Now there was another young lady , to whom the reader shall be introduced in time , whom Sir Felix was instigated to pursue with unremitting diligence . |	|Her wealth was not defined , as had been the # 40,000 of her predecessor , but was known to be very much greater than that . |	|It was , indeed , generally supposed to be fathomless , bottomless , endless . |	1	DEFAULT									
