Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.055857212218062	111	|` Yes , sir , ' said Roach , much surprised that Jim should assume he was a driver . |	|Jim had taken off his hat . |	|His sandy hair was close cropped , there were patches where someone had gone too low with the scissors . |	1	Jim									
0.847465041398355	270	|` You 've only got him till the end of term , ' Mr Stroll breathed . |	|` If you do n't fancy him , chuck him out . |	|You asked for temporary , temporary 's what you 've got . |	2	DEFAULT	DEFAULT								
0.138027449670311	282	|Let me go on a little - ' ` Not too much , darling , ' warned his mother . ' |	|I happen to know he was up at Oxford in thirty-eight . |	|Why did n't he finish ? |	2	DEFAULT	DEFAULT								
0.697967790748033	268	|But I assume he has not been in hospital for the whole of the last twenty-five years . |	|TouchÃ© , ' he murmured to his mother , his hand over the mouthpiece , and once more it crossed his mind that Mr Stroll had dropped off to sleep . |	|` You 've only got him till the end of term , ' Mr Stroll breathed . |	2	DEFAULT	Mr Stroll								
0.552166824551485	233	|There was no one who was not frightened ; even Spikely , a hero , was frightened . |	|Except for Jim , who had in a second folded the beast together and taken it out of the door without a word . |	|They heard nothing , though they listened like stowaways , till the sound of running water from down the corridor as Jim evidently washed his hands . |	1	Jim									
0.257693302025032	100	|There he hesitated , for in his mind the Dip was already Jim 's and Roach required leave to descend it . |	|But Jim had disappeared into the caravan , so having waited a moment Roach stepped gingerly down the bank and offered the marble through the doorway . |	|Jim did n't spot him at once . |	2	Jim	Bill Roach								
0.360789440209659	21	|Roach was a new boy in those days and graded dull , if not actually deficient . |	|Thursgood 's was his second prep school in two terms . |	|He was a fat round child with asthma and he spent large parts of his rest kneeling on the end of his bed , gazing through the window . |	2	Mrs Thursgood	Bill Roach								
0.065049145594128	24	|His mother lived grandly in Bath ; his father was agreed to be the richest in the school , a distinction which cost the son dear . |	|Coming from a broken home Roach was also a natural watcher . |	|In Roach 's observation Jim did not stop at the school buildings but continued across the sweep to the stable yard . |	1	Bill Roach									
0.845736380378879	184	|Well , you call when she rolls , ' Jim repeated and disappeared into the rain . |	|A moment later Roach felt the ground swaying under his feet and heard another roar either of pain or anger , as Jim wrestled with an off-side prop . |	|In the course of that same summer term , the boys paid Jim the compliment of a nickname . |	2	Bill Roach	Jim								
0.917483128938654	194	|- a convulsive jerk of the right hand - ` Do n't gawp at me , old boy , I 'm not a juju man . |	|Qu'est - ce qu'il regarde , Emile , dans le tableau que tu as sous le nez ? |	|Mon cher Berger , if you do not very soon summon one lucid sentence of French , je te mettrai tout de suite Ã  la porte , tu comprends , you beastly toad ? ' |	1	Emile									
0.089281604986551	246	|` Do you think that sweater 's kosher , ' he asked in a high , jokey voice , ` or do you think he pinched it ? ' |	|` Leonard , that 's very unfair , ' Thursgood scolded , hammering at the flanks of his Labrador . |	|` Bite him , Ginny , bite the bad man . ' |	2	Leonard	Mrs Thursgood								
0.690591910718056	161	|He felt the heat charging to his face , he watched his spectacles mist over and the caravan begin to dissolve into a sea of grief . |	|Whether Jim noticed this , Roach never knew , for suddenly he had turned his crooked back on him , moved away to the table and was helping himself from the plastic beaker while he threw out saving phrases . |	|` You 're a good watcher , anyway , I 'll tell you that for nothing , old boy . |	2	Jim	Bill Roach								
0.524611869755633	248	|` Bite him , Ginny , bite the bad man . ' |	|By the time he reached his study , however , Thursgood 's laughter had quite worn off and he became extremely nervous . |	|Bogus Oxford men he could deal with , just as in his time he had known classics masters who had no Greek and parsons who had no divinity . |	2	DEFAULT	Mrs Thursgood								
0.224682549228498	70	|Old as Rip Van Winkle if you want to know . |	|Older . |	|Got any friends ? ' |	0										
0.710880037731874	215	|Shivering in the shower queue first thing in the morning they would see the Rhino pounding down Combe Lane with a rucksack on his crooked back as he returned from his morning march . |	|Going to bed they could glimpse his lonely shadow through the perspex roof of the fives court as the Rhino tirelessly attacked the concrete wall . |	|And sometimes on warm evenings from their dormitory windows they would covertly watch him at golf , which he played with a dreadful old iron , zigzag across the playing fields , often after reading to them from an extremely English adventure book : Biggles , Percy Westerman or Jeffrey Farnol , grabbed haphazard from the dingy library . |	1	DEFAULT									
