Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.373705316929627	37	|We must go to Athens . |	|Will you come if I can get the aunt to fork out twenty quid ? |	|He laid the brush aside and , laughing with delight , cried : -- Will he come ? |	2	DEFAULT	DEFAULT								
0.070686498293425	38	|Will you come if I can get the aunt to fork out twenty quid ? |	|He laid the brush aside and , laughing with delight , cried : -- Will he come ? |	|The jejune jesuit ! |	2	DEFAULT	DEFAULT								
0.339525439782544	6	|Solemnly he came forward and mounted the round gunrest . |	|He faced about and blessed gravely thrice the tower , the surrounding land and the awaking mountains . |	|Then , catching sight of Stephen Dedalus , he bent towards him and made rapid crosses in the air , gurgling in his throat and shaking his head . |	1	DEFAULT									
0.098507482305099	216	|She asked you who was in your room . |	|-- Yes ? |	|Buck Mulligan said . |	0										
0.951859535136756	52	|Because he comes from Oxford . |	|You know , Dedalus , you have the real Oxford manner . |	|He ca n't make you out . |	1	Stephen Dedalus									
0.208550769248447	148	|-- I pinched it out of the skivvy 's room , Buck Mulligan said . |	|It does her all right . |	|The aunt always keeps plainlooking servants for Malachi . |	1	DEFAULT									
0.949315788117353	247	|Buck Mulligan asked . |	|-- Of the offence to me , Stephen answered . |	|Buck Mulligan swung round on his heel . |	1	Stephen Dedalus									
0.267348401540852	287	|Her glass of water from the kitchen tap when she had approached the sacrament . |	|A cored apple , filled with brown sugar , roasting for her at the hob on a dark autumn evening . |	|Her shapely fingernails reddened by the blood of squashed lice from the children 's shirts . |	1	DEFAULT									
0.090833152686379	75	|A new art colour for our Irish poets : snotgreen . |	|You can almost taste it , ca n't you ? |	|He mounted to the parapet again and gazed out over Dublin bay , his fair oakpale hair stirring slightly . |	1	DEFAULT									
0.323715092072767	122	|-- The mockery of it , he said contentedly . |	|Secondleg they should be . |	|God knows what poxy bowsy left them off . |	0										
0.901245898971801	64	|You saved men from drowning . |	|I 'm not a hero , however . |	|If he stays on here I am off . |	1	DEFAULT									
0.664863039844195	119	|How are the secondhand breeks ? |	|-- They fit well enough , Stephen answered . |	|Buck Mulligan attacked the hollow beneath his underlip . |	1	Stephen Dedalus									
0.63524412564938	201	|he asked . |	|-- Yes , what is it ? |	|Buck Mulligan answered . |	0										
0.623339967394463	63	|Out here in the dark with a man I do n't know raving and moaning to himself about shooting a black panther . |	|You saved men from drowning . |	|I 'm not a hero , however . |	1	DEFAULT									
0.988369709544611	168	|His old fellow made his tin by selling jalap to Zulus or some bloody swindle or other . |	|God , Kinch , if you and I could only work together we might do something for the island . |	|Hellenise it . |	2	Kinch	DEFAULT								
0.828412925206076	138	|He swept the mirror a half circle in the air to flash the tidings abroad in sunlight now radiant on the sea . |	|His curling shaven lips laughed and the edges of his white glittering teeth . |	|Laughter seized all his strong wellknit trunk . |	1	DEFAULT									
0.944637945487517	11	|-- Back to barracks ! |	|he said sternly . |	|He added in a preacher 's tone : -- For this , O dearly beloved , is the genuine Christine : body and soul and blood and ouns . |	1	DEFAULT									
0.101292486006636	199	|Stephen freed his arm quietly . |	|-- Do you wish me to tell you ? |	|he asked . |	2	Stephen Dedalus	DEFAULT								
0.772839051010618	300	|No , mother ! |	|Let me be and let me live . |	|-- Kinch ahoy ! |	1	DEFAULT									
0.246245712824947	217	|-- Yes ? |	|Buck Mulligan said . |	|What did I say ? |	1	Buck Mulligan									
0.862372211579278	231	|It 's a beastly thing and nothing else . |	|It simply does n't matter . |	|You would n't kneel down to pray for your mother on her deathbed when she asked you . |	0										
0.358224048993938	23	|That will do nicely . |	|Switch off the current , will you ? |	|He skipped off the gunrest and looked gravely at his watcher , gathering about his legs the loose folds of his gown . |	1	DEFAULT									
0.609191929190944	40	|The jejune jesuit ! |	|Ceasing , he began to shave with care . |	|-- Tell me , Mulligan , Stephen said quietly . |	1	Stephen Dedalus									
0.157994584066304	175	|Why do n't you trust me more ? |	|What have you up your nose against me ? |	|Is it Haines ? |	2	DEFAULT	DEFAULT								
0.53544077360269	180	|Palefaces : they hold their ribs with laughter , one clasping another . |	|O , I shall expire ! |	|Break the news to her gently , Aubrey ! |	1	DEFAULT									
0.248946295603553	128	|You look damn well when you 're dressed . |	|-- Thanks , Stephen said . |	|I ca n't wear them if they are grey . |	1	Stephen Dedalus									
0.031936875952279	289	|Her shapely fingernails reddened by the blood of squashed lice from the children 's shirts . |	|In a dream , silently , she had come to him , her wasted body within its loose graveclothes giving off an odour of wax and rosewood , her breath , bent over him with mute secret words , a faint odour of wetted ashes . |	|Her glazing eyes , staring out of death , to shake and bend my soul . |	2	DEFAULT	DEFAULT								
0.345898251116467	100	|I 'm hyperborean as much as you . |	|But to think of your mother begging you with her last breath to kneel down and pray for her . |	|And you refused . |	2	DEFAULT	DEFAULT								
0.419551451788985	246	|-- Of what then ? |	|Buck Mulligan asked . |	|-- Of the offence to me , Stephen answered . |	1	Buck Mulligan									
0.008454349671826	275	|Her door was open : she wanted to hear my music . |	|Silent with awe and pity I went to her bedside . |	|She was crying in her wretched bed . |	2	DEFAULT	DEFAULT								
0.551379592959529	218	|Buck Mulligan said . |	|What did I say ? |	|I forget . |	1	Buck Mulligan									
0.863025980580044	249	|Buck Mulligan swung round on his heel . |	|-- O , an impossible person ! |	|he exclaimed . |	0										
0.598593153163111	221	|-- You said , Stephen answered , O , it 's only Dedalus whose mother is beastly dead . |	|A flush which made him seem younger and more engaging rose to Buck Mulligan 's cheek . |	|-- Did I say that ? |	1	Buck Mulligan									
0.969953516326946	114	|A bowl of white china had stood beside her deathbed holding the green sluggish bile which she had torn up from her rotting liver by fits of loud groaning vomiting . |	|Buck Mulligan wiped again his razorblade . |	|-- Ah , poor dogsbody ! |	1	Buck Mulligan									
0.65847964106582	260	|Chuck Loyola , Kinch , and come on down . |	|The Sassenach wants his morning rashers . |	|His head halted again for a moment at the top of the staircase , level with the roof : -- Do n't mope over it all day , he said . |	0										
0.550028319852366	253	|Stephen stood at his post , gazing over the calm sea towards the headland . |	|Sea and headland now grew dim . |	|Pulses were beating in his eyes , veiling their sight , and he felt the fever of his cheeks . |	0										
0.592492239051851	133	|He kills his mother but he ca n't wear grey trousers . |	|He folded his razor neatly and with stroking palps of fingers felt the smooth skin . |	|Stephen turned his gaze from the sea and to the plump face with its smokeblue mobile eyes . |	1	Stephen Dedalus									
0.524386359446161	62	|-- I was , Stephen said with energy and growing fear . |	|Out here in the dark with a man I do n't know raving and moaning to himself about shooting a black panther . |	|You saved men from drowning . |	2	Stephen Dedalus	DEFAULT								
0.00190375421093	72	|Stephen suffered him to pull out and hold up on show by its corner a dirty crumpled handkerchief . |	|Buck Mulligan wiped the razorblade neatly . |	|Then , gazing over the handkerchief , he said : -- The bard 's noserag ! |	1	Buck Mulligan									
0.118994235574115	147	|It asks me too . |	|-- I pinched it out of the skivvy 's room , Buck Mulligan said . |	|It does her all right . |	1	Buck Mulligan									
0.178646319664562	178	|If he makes any noise here I 'll bring down Seymour and we 'll give him a ragging worse than they gave Clive Kempthorpe . |	|Young shouts of moneyed voices in Clive Kempthorpe 's rooms . |	|Palefaces : they hold their ribs with laughter , one clasping another . |	1	Clive Kempthorpe									
