Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.371035769223123	199	|Attempting once to scold her in public , Rebecca hit upon the before-mentioned plan of answering her in French , which quite routed the old woman . |	|In order to maintain authority in her school , it became necessary to remove this rebel , this monster , this serpent , this firebrand ; and hearing about this time that Sir Pitt Crawley 's family was in want of a governess , she actually recommended Miss Sharp for the situation , firebrand and serpent as she was . ' |	|I can not , certainly , ' she said , ` find fault with Miss Sharp 's conduct , except to myself ; and must allow that her talents and accomplishments are of a high order . |	2	Miss Rebecca Sharp	Pitt Crawley								
0.731384766127082	96	|The carriage rolled away ; the great gates were closed ; the bell rang for the dancing lesson . |	|The world is before the two young ladies ; and so , farewell to Chiswick Mall . |	|CHAPTER II In Which Miss Sharp and Miss Sedley Prepare to Open the Campaign When Miss Sharp had performed the heroical act mentioned in the last chapter , and had seen the Dixonary , flying over the pavement of the little garden , fall at length at the feet of the astonished Miss Jemima , the young lady 's countenance , which had before worn an almost livid look of hatred , assumed a smile that perhaps was scarcely more agreeable , and she sank back in the carriage in an easy frame of mind , saying -- ` So much for the Dixonary ; and , thank God , I 'm out of Chiswick . ' |	0										
0.871035907373534	43	|Now , Miss Amelia Sedley was a young lady of this singular species ; and deserved not only all that Miss Pinkerton said in her praise , but had many charming qualities which that pompous old Minerva of a woman could not see , from the differences of rank and age between her pupil and herself . |	|For she could not only sing like a lark , or a Mrs. Billington , and dance like Hillisberg or Parisot ; and embroider beautifully ; and spell as well as a Dixonary itself ; but she had such a kindly , smiling , tender , gentle , generous heart of her own , as won the love of everybody who came near her , from Minerva herself down to the poor girl in the scullery , and the one-eyed tart-woman 's daughter , who was permitted to vend her wares once a week to the young ladies in the Mall . |	|She had twelve intimate and bosom friends out of the twenty-four young ladies . |	3	Miss Amelia Sedley	Minerva	Mrs. Billington							
0.766842949819883	153	|She was small and slight in person ; pale , sandy-haired , and with eyes habitually cast down : when they looked up they were very large , odd , and attractive ; so attractive that the Reverend Mr. Crisp , fresh from Oxford , and curate to the Vicar of Chiswick , the Reverend Mr. Flowerdew , fell in love with Miss Sharp ; being shot dead by a glance of her eyes which was fired all the way across Chiswick Church from the school-pew to the reading-desk . |	|This infatuated young man used sometimes to take tea with Miss Pinkerton , to whom he had been presented by his mamma , and actually proposed something like marriage in an intercepted note , which the one-eyed apple-woman was charged to deliver . |	|Mrs. Crisp was summoned from Buxton , and abruptly carried off her darling boy ; but the idea , even , of such an eagle in the Chiswick dovecot caused a great flutter in the breast of Miss Pinkerton , who would have sent away Miss Sharp but that she was bound to her under a forfeit , and who never could thoroughly believe the young lady 's protestations that she had never exchanged a single word with Mr. Crisp , except under her own eyes on the two occasions when she had met him at tea . |	2	Mr. Crisp	Miss Pinkerton's								
0.931809269069515	8	|` The girls were up at four this morning , packing her trunks , sister , ' replied Miss Jemima ; ` we have made her a bow-pot . ' |	|` Say a bouquet , sister Jemima , ` tis more genteel . ' |	|` Well , a booky as big almost as a haystack ; I have put up two bottles of the gillyflower water for Mrs. Sedley , and the receipt for making it , in Amelia 's box . ' |	1	Miss Jemima									
0.916469996449099	196	|` Give me a sum of money , ' said the girl , ` and get rid of me -- or , if you like better , get me a good place as governess in a nobleman 's family -- you can do so if you please . ' |	|And in their further disputes she always returned to this point , ` Get me a situation -- we hate each other , and I am ready to go . ' |	|Worthy Miss Pinkerton , although she had a Roman nose and a turban , and was as tall as a grenadier , and had been up to this time an irresistible princess , had no will or strength like that of her little apprentice , and in vain did battle against her , and tried to overawe her . |	1	Miss Pinkerton's									
0.853842060733116	147	|The humble calling of her female parent Miss Sharp never alluded to , but used to state subsequently that the Entrechats were a noble family of Gascony , and took great pride in her descent from them . |	|And curious it is that as she advanced in life this young lady 's ancestors increased in rank and splendour . |	|Rebecca 's mother had had some education somewhere , and her daughter spoke French with purity and a Parisian accent . |	1	Miss Rebecca Sharp									
0.536616543184123	193	|I will do nothing here but what I am obliged to do . ' |	|It was in vain that the old lady asked her if she was aware she was speaking to Miss Pinkerton ? |	|Rebecca laughed in her face , with a horrid sarcastic demoniacal laughter , that almost sent the schoolmistress into fits . |	2	Miss Rebecca Sharp	Miss Pinkerton's								
0.552952342773383	225	|Amelia laughed . |	|` What ! |	|do n't you love him ? |	0										
0.74975090727718	158	|Many a dun had she talked to , and turned away from her father 's door ; many a tradesman had she coaxed and wheedled into good-humour , and into the granting of one meal more . |	|She sate commonly with her father , who was very proud of her wit , and heard the talk of many of his wild companions -- often but ill-suited for a girl to hear . |	|But she never had been a girl , she said ; she had been a woman since she was eight years old . |	2	DEFAULT	DEFAULT								
0.953165493947972	97	|The world is before the two young ladies ; and so , farewell to Chiswick Mall . |	|CHAPTER II In Which Miss Sharp and Miss Sedley Prepare to Open the Campaign When Miss Sharp had performed the heroical act mentioned in the last chapter , and had seen the Dixonary , flying over the pavement of the little garden , fall at length at the feet of the astonished Miss Jemima , the young lady 's countenance , which had before worn an almost livid look of hatred , assumed a smile that perhaps was scarcely more agreeable , and she sank back in the carriage in an easy frame of mind , saying -- ` So much for the Dixonary ; and , thank God , I 'm out of Chiswick . ' |	|Miss Sedley was almost as flurried at the act of defiance as Miss Jemima had been ; for , consider , it was but one minute that she had left school , and the impressions of six years are not got over in that space of time . |	3	Miss Rebecca Sharp	Miss Amelia Sedley	Miss Jemima							
0.713552413743637	111	|I hope I may never set eyes on it again . |	|I wish it were in the bottom of the Thames , I do ; and if Miss Pinkerton were there , I would n't pick her out , that I would n't . |	|O how I should like to see her floating in the water yonder , turban and all , with her train streaming after her , and her nose like the beak of a wherry . ' |	2	DEFAULT	Miss Pinkerton's								
0.65107435193358	9	|` Say a bouquet , sister Jemima , ` tis more genteel . ' |	|` Well , a booky as big almost as a haystack ; I have put up two bottles of the gillyflower water for Mrs. Sedley , and the receipt for making it , in Amelia 's box . ' |	|` And I trust , Miss Jemima , you have made a copy of Miss Sedley 's account . |	2	Miss Jemima	Miss Amelia Sedley								
0.658629908650648	103	|Dr. Raine and his rod were just as awful to him in his heart , then , at sixty-eight , as they had been at thirteen . |	|If the Doctor , with a large birch , had appeared bodily to him , even at the age of threescore and eight , and had said in awful voice , ` Boy , take down your pant -- ' ? |	|Well , well , Miss Sedley was exceedingly alarmed at this act of insubordination . |	2	Dr. Raine	DEFAULT								
